FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008772404736130527,0.02093149873405944,0.0026620641467296484,0.010666734178122594,0.0100849458616752,,0.003179812794298,0.00382119238217,
Hydrogen,2030,0.0052756661202738656,,,0.00048556376614155926,,1.1152298791855598e-09,0.0001827231370308589,,
Methanol,2030,,0.00012215407372900217,,,,,,,
Ammonia,2030,,0.008729580648044523,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0014823725983592543,0.00014685974860801157,,,5.035198728409827e-05,,
Fossil Gases,2030,,,,0.0018695820090590001,,,0.00016350933967691295,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0088988022673677,0.0002490546233072,0.0029406862632813703,0.0075029523755567,0.0004216652327745,0.0001424131506473
Fossil Liquids,2030,,,,0.0882955181804242,0.0017540186779005,0.026856640122734,0.048797634000050605,0.0025523405410916,0.001018155413845
Fossil Residuals,2030,0.04748099508246478,,0.017451291466643547,,,,,,
Biomass [Solid],2030,,,0.01236568429895008,,,,,,
Renewable Energy Carrier,2030,,,0.0004566597868233623,,,,,,
Overall Demand,2030,0.06152906593886918,0.029783233455832968,0.03441807229750589,0.11036306014972308,0.0120880191628829,0.029797327501245252,0.05987698363389717,0.0067951981560360995,0.0011605685644923
Power,2040,0.008727754114209412,0.022770524946440458,0.002863350770741068,0.030346266414114302,0.0118356141697125,,0.0123101007029516,0.0037685836858441,
Hydrogen,2040,0.02218391830577439,,,0.0023340995429285,,9.335705868852003e-08,0.00029381408453095406,,
Methanol,2040,,0.00013951993603076018,,,,,,,
Ammonia,2040,,0.009970609218424816,,,,,,,
Synthetic Gases,2040,,,,8.529267033332886e-10,,,1.0300001880382282e-10,,
Biogenic Gases,2040,,,0.0062366965361184915,0.00018111895770344028,,,7.116808198921916e-05,,
Fossil Gases,2040,,,,0.0010115703017415999,,,0.00017731452965882294,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.003933003359716599,0.0004060001237347,0.003586355591096711,0.0051493834043723,0.000512254822244,0.0001870184333603
Fossil Liquids,2040,,,,0.024860601959506602,0.0018856675971865,0.025323675952875102,0.022703929509389396,0.0022649738849363,0.0008983383025388
Fossil Residuals,2040,0.03327587745866158,7.673861546209083e-20,0.011667294138825385,,,,,,
Biomass [Solid],2040,,,0.013906360565802713,,,,,,
Renewable Energy Carrier,2040,,,0.0015414995564317642,,,,,,
Overall Demand,2040,0.06418754987864539,0.03288065410089604,0.03621520156791942,0.06266666138863775,0.0141272818906337,0.028910124901030503,0.040705710415892306,0.0065458123930244,0.0010853567358991001
Power,2050,0.008684745993746006,0.02454190141275648,0.0030572329385740054,0.0353988844847138,0.0132913255392536,,0.0193104046635765,0.0038489451931328,
Hydrogen,2050,0.058063493806171165,,,0.0032371523854853998,,1.5823269471585945e-07,0.0004748991182328069,,
Methanol,2050,,0.00015624698406929312,,,,,,,
Ammonia,2050,,0.011165985765424245,,,,,,,
Synthetic Gases,2050,,,,7.829013935122213e-09,,,3.5856443790152362e-09,,
Biogenic Gases,2050,,,0.016342757784914327,3.081962227811797e-05,,,1.9316521005540918e-05,,
Fossil Gases,2050,,,,6.233856403552209e-05,,,6.0336262512131444e-05,,
Synthetic Liquids,2050,,,,3.727194664208952e-11,1.495079014282506e-11,1.3764165894521866e-10,7.863278190362155e-11,3.5083439940989095e-12,3.1505121435984745e-11
Biogenic Liquids,2050,,,,0.0005043429529444853,0.0007254509390932,0.0047054734894274065,0.001343316704467,0.0006588408195702,0.0002539892107095
Fossil Liquids,2050,,,,0.0022828303593454,0.0017007923139726,0.022936967601032,0.0039441207358880005,0.0019495783044021,0.0007373195447192
Fossil Residuals,2050,,6.906475391588176e-19,,,,,,,
Biomass [Solid],2050,,,0.015484831452030317,,,,,,
Renewable Energy Carrier,2050,,,0.003055462608323681,,,,,,
Overall Demand,2050,0.06674823979991718,0.03586413416225002,0.037940284783842336,0.04151637623508861,0.01571756880727019,0.027642599460795784,0.025152397669959137,0.006457364320613444,0.0009913087869338215
