FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008083560184220599,0.05470615782744656,0.0017085754866932178,0.014885914704546857,0.0063404509534177,,0.0042986858503376996,0.0012489993638666,
Hydrogen,2030,0.0013208309040218284,,,0.0006733173068298376,,1.3199491533821183e-09,0.0002562620300817,,
Methanol,2030,,0.0005746595190444044,,,,,,,
Ammonia,2030,,0.017249600486565906,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0016829375216045655,0.00019084261735485478,,,6.247594833958614e-05,,
Fossil Gases,2030,,,,0.0025920864393685003,,,0.0002163464135149861,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0121057559488082,0.0001565817650843,0.0036115082661978,0.0100167268732999,0.0001378259859298,0.0147389595097205
Fossil Liquids,2030,,,,0.12138138647011641,0.0011027594546511,0.0330072382505642,0.0645689115726879,0.0008342609827941,0.1425875796848799
Fossil Residuals,2030,0.011887478136196455,8.185452315956356e-19,0.026732650879322632,,,,,,
Biomass [Solid],2030,,,0.009530239754080938,,,,,,
Renewable Energy Carrier,2030,,,0.0012873570205423942,,,,,,
Overall Demand,2030,0.021291869224438882,0.07253041783305687,0.040941760662243754,0.15182930348702464,0.0075997921731531,0.03661874783671115,0.07941940868826178,0.0022210863325905,0.1573265391946004
Power,2040,0.003787051018660992,0.056915636983482884,0.0017130858908339837,0.042272319897117105,0.0074411040154233,,0.0160522312499727,0.0012318036245075,
Hydrogen,2040,0.0007699912315037223,,,0.0032446492163511,,1.1049432307906579e-07,0.00039888519326,,
Methanol,2040,,0.0006650125840341093,,,,,,,
Ammonia,2040,,0.019961735624257237,,,,,,,
Synthetic Gases,2040,,,,1.1722788813340684e-09,,,1.3485397970764095e-10,,
Biogenic Gases,2040,,,0.006636213589168527,0.00023878534752260283,,,9.307475188124296e-05,,
Fossil Gases,2040,,,,0.0013916643288914,,,0.0002331063255768042,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0052083347968843,0.0002552541091374,0.0043964951972551,0.006796991789453701,0.0001674362039728,0.016798420807596498
Fossil Liquids,2040,,,,0.0332671969384972,0.0011855277240352,0.0311196580530564,0.0296940684743833,0.0007403319850265,0.137907734043315
Fossil Residuals,2040,0.0011549868472555834,,0.017458030634635153,,,,,,
Biomass [Solid],2040,,,0.009637146075907483,,,,,,
Renewable Energy Carrier,2040,,,0.005002473500588242,,,,,,
Overall Demand,2040,0.005712029097420298,0.07754238519177423,0.04044694969113339,0.08562295169754258,0.008881885848595901,0.03551626374463458,0.053268357919381726,0.0021395718135068,0.1547061548509115
Power,2050,,0.05888172320846848,0.0017170994355764407,0.0492046157271444,0.0083563163197336,,0.0247878202634636,0.0012580706797731,
Hydrogen,2050,,,,0.0044961530839154,,1.872789774787037e-07,0.0006419635623230999,,
Methanol,2050,,0.0007454124900373706,,,,,,,
Ammonia,2050,,0.02237510599706498,,,,,,,
Synthetic Gases,2050,,,,9.608903255707088e-09,,,4.324193808417835e-09,,
Biogenic Gases,2050,,,0.017057726421199598,3.907686398659966e-05,,,2.5685158647941063e-05,,
Fossil Gases,2050,,,,7.956341905744166e-05,,,8.155257579861415e-05,,
Synthetic Liquids,2050,,,,4.0321955760452244e-11,9.399629201348807e-12,1.6938501358395516e-10,1.0650564244537615e-10,1.1467413777179576e-12,1.237872620735417e-09
Biogenic Liquids,2050,,,,0.0005755361812726032,0.0004560942777006,0.0057584614714113,0.0017670319887263999,0.0002153494726861,0.0238728967774038
Fossil Liquids,2050,,,,0.0025021761359892997,0.0010692957995614,0.0282215235907074,0.0051971537488473,0.0006372414206017,0.1280942269072756
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.009715091483629127,,,,,,
Renewable Energy Carrier,2050,,,0.0121545750897348,,,,,,
Overall Demand,2050,,0.08200224169557083,0.04064449243013996,0.05689713106059095,0.009881706406395229,0.033980172510481195,0.0325012117285064,0.0021106615742076413,0.15196712492255202
