FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0006698010943704578,0.004129039467848635,0.0008113821620324929,0.008163292693383931,0.0013740453743714,,0.0016685413710315,0.0008394394232077,
Hydrogen,2030,,,,0.00036995302379663406,,8.523828527319799e-10,0.00010678404374181675,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,0.0045192815592555715,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0008486235072633815,0.00010629225858259947,,,1.9823969342955147e-05,,
Fossil Gases,2030,,,,0.0014242632169522227,,,8.025862017923084e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.006658482628641779,3.3932988616387864e-05,0.00220440146393377,0.0037880844391939,9.263140517044296e-05,0.0027623925437353
Fossil Liquids,2030,,,,0.066564228137772,0.0002389800881419,0.020124357161989497,0.023955416929995497,0.0005606980903764,0.025590140157652302
Fossil Residuals,2030,,,0.01372417470280633,,,,,,
Biomass [Solid],2030,,,0.0017670504203657494,,,,,,
Renewable Energy Carrier,2030,,,0.0006762847930484331,,,,,,
Overall Demand,2030,0.0006698010943704578,0.008648321027104207,0.017827515585516387,0.08328651195912917,0.0016469584511296879,0.02232875947830612,0.0296189093734849,0.001492768918754543,0.0283525327013876
Power,2040,0.0003762841433036594,0.004041214368187399,0.0008183696539209061,0.023188908897087565,0.0016125689840874,,0.0057642875475187,0.0008278823464414,
Hydrogen,2040,,,,0.0017818685016008531,,7.135385940852036e-08,0.0001561632335787969,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,0.004453516139235275,,,,,,,
Synthetic Gases,2040,,,,6.452770915871963e-10,,,4.887106473705467e-11,,
Biogenic Gases,2040,,,0.0034027687285582645,0.0001325854197537344,,,3.3646205988553284e-05,,
Fossil Gases,2040,,,,0.0007658853692322342,,,8.525818792382284e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.002868182631643872,5.531636953371903e-05,0.00269103731096634,0.0025082516179833004,0.0001125321233566,0.0032262798875323
Fossil Liquids,2040,,,,0.0182058077380439,0.0002569168813649,0.0189768366785348,0.0107355378940861,0.0004975693923245,0.0244778202293566
Fossil Residuals,2040,,,0.009057227332254858,,,,,,
Biomass [Solid],2040,,,0.001783854964824158,,,,,,
Renewable Energy Carrier,2040,,,0.002635382826278307,,,,,,
Overall Demand,2040,0.0003762841433036594,0.008494730507422674,0.017697603505836493,0.04694323920263925,0.0019248022349860191,0.02166794534336055,0.019283144735950337,0.0014379838621225,0.0277041001168889
Power,2050,0.00010103594819725172,0.003958855580802428,0.0008249222381025564,0.0269975000059482,0.0018109055444589,,0.008579009110444,0.0008455361598535,
Hydrogen,2050,,,,0.0024695872882565,,1.2093904425863338e-07,0.0002491497128281486,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,0.004391844017420131,,,,,,,
Synthetic Gases,2050,,,,5.419311215647068e-09,,,1.264475918242466e-09,,
Biogenic Gases,2050,,,0.008523752276313709,2.188064744053967e-05,,,9.630866481644564e-06,,
Fossil Gases,2050,,,,4.4486567205624165e-05,,,3.164362716767037e-05,,
Synthetic Liquids,2050,,,,2.0548381331997762e-11,2.037002907176165e-12,1.0306541804074143e-10,4.150217993694974e-11,7.707128990841736e-13,2.9362894114623057e-10
Biogenic Liquids,2050,,,,0.0003081190100342624,9.88406403828583e-05,0.0035340546461700034,0.0006471367414306,0.0001447341306725,0.0045478180094235
Fossil Liquids,2050,,,,0.0012861803472131,0.0002317281464704,0.0171768198088114,0.0019106303723634,0.0004282833010402,0.022429834925263802
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.001797963928962914,,,,,,
Renewable Energy Carrier,2050,,,0.006428867182493626,,,,,,
Overall Demand,2050,0.00010103594819725172,0.008350699598222558,0.017575505625872807,0.031127759305957826,0.002141474333349161,0.02071099549709108,0.011427201736693562,0.001418553592336913,0.02697765322831624
