FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,,0.00024296839646239542,0.00023434698039501048,0.0009961587849847155,,,0.00027926313308376257,,
Hydrogen,2030,,,,4.59950970830188e-05,,6.723258210591231e-10,1.8806909750478678e-05,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,,1.544500418921626e-05,,,2.752522045902856e-06,,
Fossil Gases,2030,,,,0.00017714543365653857,,,1.295809223857273e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.000860099140968865,,0.0018395483296547,0.000621245840522417,,0.0013020353565468034
Fossil Liquids,2030,,,,0.0083506374561865,,0.0168124798601847,0.0038679851530648997,,0.012752180254381205
Fossil Residuals,2030,,,0.0027468148175571897,,,,,,
Biomass [Solid],2030,,,0.0006371951440119037,,,,,,
Renewable Energy Carrier,2030,,,0.0003052016463952433,,,,,,
Overall Demand,2030,,0.00024296839646239542,0.003923558588359347,0.010445480917068851,,0.01865202886216522,0.004803011650706034,,0.014054215610928008
Power,2040,,0.0003200177929755582,0.0002423267586226396,0.002842481773607564,,,0.0009051863283643,,
Hydrogen,2040,,,,0.00022013716309141968,,5.6281097113593796e-08,2.6307561037472584e-05,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,8.204537662679023e-11,,,7.735919660828944e-12,,
Biogenic Gases,2040,,,,1.8637929450361488e-05,,,5.314437067099017e-06,,
Fossil Gases,2040,,,,9.714491376137427e-05,,,1.3602511491012512e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0003900651332413393,,0.0022393872034412,0.00040319722442693385,,0.0014732466068071717
Fossil Liquids,2040,,,,0.0023818121080788996,,0.0158510269869034,0.0016958533683974,,0.012371135520105641
Fossil Residuals,2040,,,0.0014987928735745333,,,,,,
Biomass [Solid],2040,,,0.0005726142571723211,,,,,,
Renewable Energy Carrier,2040,,,0.0009991952490496889,,,,,,
Overall Demand,2040,,0.0003200177929755582,0.003312929138419183,0.005950279103276335,,0.018090470471441713,0.0030494614385201376,,0.013844382126912812
Power,2050,,0.00038058817147764443,0.00024859985366923915,0.0033250725043906613,,,0.0013027043322090001,,
Hydrogen,2050,,,,0.0003057668397081666,,9.53919262555347e-08,4.1696335750041934e-05,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,8.910218250187293e-10,,,1.587538510713578e-10,,
Biogenic Gases,2050,,,,3.3577896860599855e-06,,,1.5686268889278533e-06,,
Fossil Gases,2050,,,,6.729120707691278e-06,,,5.294760342702713e-06,,
Synthetic Liquids,2050,,,,3.2629895230064355e-12,,8.62775039789545e-11,6.966879730170634e-12,,1.008722098966015e-10
Biogenic Liquids,2050,,,,5.0174137265745744e-05,,0.0029331147543705,0.00010336237402485796,,0.002098804903889274
Fossil Liquids,2050,,,,0.00020353381173063797,,0.0143748408573499,0.000306157425434054,,0.011532938818193974
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0005096977133942317,,,,,,
Renewable Energy Carrier,2050,,,0.0020738449883721103,,,,,,
Overall Demand,2050,,0.00038058817147764443,0.002832142555435581,0.0038946350977737774,,0.01730805108992416,0.0017607840203703153,,0.013631743822955457
