FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.006662813784368281,0.011872561542014918,0.00193220478741412,0.011338953720745268,0.0078867012569355,,0.004105922140507,0.0028430581042284,
Hydrogen,2030,0.0026368347776738565,,,0.0005210937701778214,,4.679537878854075e-10,0.00024309919545327513,,
Methanol,2030,,9.701819216868525e-05,,,,,,,
Ammonia,2030,,0.0017112405931025635,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0018749261803546662,0.0001697816373739507,,,6.0685634234644166e-05,,
Fossil Gases,2030,,,,0.0020067734328618,,,0.00020749404241327622,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.009704199855958301,0.0001947674719947,0.0012771866418345864,0.009590381865822301,0.000313728971853,1.596162336022546e-06
Fossil Liquids,2030,,,,0.09488339522763531,0.001371690190649,0.011672232813992524,0.0619264257483374,0.0018990021266557,1.141145544782768e-05
Fossil Residuals,2030,0.023731512999064706,8.952838470577263e-20,0.02277939359087382,,,,,,
Biomass [Solid],2030,,,0.00639754447043152,,,,,,
Renewable Energy Carrier,2030,,,0.0006561175519646474,,,,,,
Overall Demand,2030,0.033031161561106845,0.013680820327286165,0.033640186581038775,0.11862419764475246,0.0094531589195792,0.0129494199237809,0.07613400862676789,0.0050557892027370994,1.3007617783850226e-05
Power,2040,0.006143447100847251,0.0117591176906101,0.0019581553576464416,0.0323272125059983,0.0092557713674598,,0.0154389719268968,0.0028039159816962,
Hydrogen,2040,0.009979350073333344,,,0.0024972646234169,,3.9172900631964086e-08,0.0003806931026713,,
Methanol,2040,,9.843920302169559e-05,,,,,,,
Ammonia,2040,,0.0017363048764143236,,,,,,,
Synthetic Gases,2040,,,,9.252752796519075e-10,,,1.2960021648409765e-10,,
Biogenic Gases,2040,,,0.007474128760514786,0.00020613261603819237,,,8.946786981804565e-05,,
Fossil Gases,2040,,,,0.0010960988503425,,,0.00022384643818859715,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0043795341426325,0.0003175031110819,0.00155497867884227,0.0065219019431024,0.0003811297831029,2.096097011510452e-06
Fossil Liquids,2040,,,,0.0270882932946468,0.001474643217016,0.011004817328310526,0.02854306645396,0.0016851944930805,1.0068548845392038e-05
Fossil Residuals,2040,0.014969025110000011,,0.01512440969082456,,,,,,
Biomass [Solid],2040,,,0.006453919863473069,,,,,,
Renewable Energy Carrier,2040,,,0.0026088110333682573,,,,,,
Overall Demand,2040,0.031091822284180608,0.01359386177004612,0.033619424705827114,0.06759453695835047,0.011047917695557699,0.012559835180053429,0.051197947864237356,0.0048702402578796,1.2164645856902489e-05
Power,2050,0.005546582782663666,0.011628746241748937,0.0019879781589535704,0.0377892534040361,0.0103941771502339,,0.0239144387460175,0.0028637068563015,
Hydrogen,2050,0.02331652046354969,,,0.0034670938306758997,,6.639491125692976e-08,0.0006131830468041,,
Methanol,2050,,0.00010007225092566112,,,,,,,
Ammonia,2050,,0.0017651091429264011,,,,,,,
Synthetic Gases,2050,,,,9.588086302009341e-09,,,4.2248666918961185e-09,,
Biogenic Gases,2050,,,0.018611818230293394,3.6555142442399555e-05,,,2.461079464705437e-05,,
Fossil Gases,2050,,,,7.344238361320249e-05,,,7.789809888854212e-05,,
Synthetic Liquids,2050,,,,4.0576681930216305e-11,1.1691923489613193e-11,5.989385138145736e-11,1.0169268634333633e-10,2.61029145545919e-12,3.531084594319585e-13
Biogenic Liquids,2050,,,,0.0005809265804677798,0.0005673223150293,0.0020369203389366316,0.0016966448313037,0.0004901932549159,2.8467034824231013e-06
Fossil Liquids,2050,,,,0.0025018970452340998,0.0013300657300867,0.009979138206718429,0.0049884678431902,0.0014505326724771,8.263855420265018e-06
Fossil Residuals,2050,,2.0463630789890882e-19,,,,,,,
Biomass [Solid],2050,,,0.006518820299633993,,,,,,
Renewable Energy Carrier,2050,,,0.006476976186687356,,,,,,
Overall Demand,2050,0.028863103246213356,0.013493927635601,0.03359559287556831,0.044449178015132464,0.012291565207041822,0.012016125000460169,0.03131524768741047,0.004804432786304791,1.1110559255796579e-05
