FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.08945912940088817,0.197026444967278,0.010025093098631584,0.1261598424973813,0.0528087892306123,,0.0533846838878473,0.0203603673913666,
Hydrogen,2030,0.017652159609212483,,,0.0055711574186896,,9.292803084922136e-09,0.003325226126171,,
Methanol,2030,,0.029551190927357075,,,,,,,
Ammonia,2030,,0.04433969697185758,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.009016130437362074,0.0012313579486277,,,0.000689510299043,,
Fossil Gases,2030,,,,0.021436312264928502,,,0.002614249207034,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.09538061722872582,0.001304149103975,0.0185388170453178,0.1224462947912662,0.0022467487100401,0.018079471992316
Fossil Liquids,2030,,,,0.9958254338286147,0.0091847397039395,0.16821236589738459,0.7802677959975889,0.0135995746686256,0.16607326714633508
Fossil Residuals,2030,0.15886943648291238,,0.13760178799547745,,,,,,
Biomass [Solid],2030,,,0.05484772932331852,,,,,,
Renewable Energy Carrier,2030,,,0.006272957117690974,,,,,,
Overall Demand,2030,0.26598072549301305,0.27091733286649267,0.2177636979724806,1.2456047211869676,0.0632976780385268,0.18675119223550546,0.9627277603089504,0.0362066907700323,0.18415273913865107
Power,2040,0.08846899984382105,0.1993026405809962,0.009793575425898515,0.3562939005528756,0.0619759850648691,,0.1902489319831382,0.0200800537410582,
Hydrogen,2040,0.06834461583250408,,,0.0270646700994055,,7.779102579402707e-07,0.0049797474758592995,,
Methanol,2040,,0.0305041696259109,,,,,,,
Ammonia,2040,,0.04576958136529481,,,,,,,
Synthetic Gases,2040,,,,9.415866651455816e-09,,,1.6069662422557944e-09,,
Biogenic Gases,2040,,,0.03571390800381128,0.0016398987238418,,,0.0011074701344166,,
Fossil Gases,2040,,,,0.0112147808435617,,,0.0027930046060545,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.038145879212908,0.0021259781912552,0.0229721900621251,0.0818738179330495,0.0027294350390612,0.0212124707818128
Fossil Liquids,2040,,,,0.2594807462495054,0.0098741058271062,0.1587721892494528,0.35334538190066356,0.0120684058317329,0.158500639986639
Fossil Residuals,2040,0.10251692374875608,,0.09011906383622155,,,,,,
Biomass [Solid],2040,,,0.058553399766987854,,,,,,
Renewable Energy Carrier,2040,,,0.024365467887003105,,,,,,
Overall Demand,2040,0.2593305394250812,0.27557639157220193,0.2185454149199223,0.6938398850979646,0.0739760690832305,0.18174515722183582,0.6343483556401479,0.0348778946118523,0.17971311076845178
Power,2050,0.08768490330802928,0.20110518963405905,0.009610233555262615,0.41234827159899273,0.0695986690087505,,0.2874950210566098,0.0205082420259918,
Hydrogen,2050,0.16637926686161658,,,0.0373999340059031,,1.3184952277865051e-06,0.0079718677372713,,
Methanol,2050,,0.031258845911338436,,,,,,,
Ammonia,2050,,0.04690192550296291,,,,,,,
Synthetic Gases,2050,,,,4.5630823138678034e-08,,,4.562367519054078e-08,,
Biogenic Gases,2050,,,0.08858543133142696,0.00022393861540440533,,,0.00031236747737050004,,
Fossil Gases,2050,,,,0.000471489555175,,,0.0010125711050962,,
Synthetic Liquids,2050,,,,2.602191590338917e-10,7.828828595738394e-11,8.520247161008943e-10,1.3258346338924976e-09,1.8693424855668297e-11,1.998432281381614e-09
Biogenic Liquids,2050,,,,0.0031944332293496,0.0037987497667498,0.0305938708366804,0.0211885570301623,0.0035104856801954,0.0298563177951271
Fossil Liquids,2050,,,,0.0159963338059098,0.0089060252841762,0.14222221402055188,0.0624614820658483,0.0103878911517463,0.1448371735508255
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.061494109016065876,,,,,,
Renewable Energy Carrier,2050,,,0.059481630445170845,,,,,,
Overall Demand,2050,0.2540641701696459,0.2792659610483604,0.21917140434792629,0.4696344467017769,0.0823034441379648,0.17281740420448477,0.3804419134218682,0.034406618876626924,0.1746934933443849
