FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0006444730100779027,0.0055793968661695245,0.0007974757626754852,0.009463564721319536,0.0032139590089694,,0.0027573584833741,0.0004567236479811,
Hydrogen,2030,,,,0.0004249492896250961,,1.3063361700961783e-09,0.00017485099488359927,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.00038448257217810265,0.00011116235162954858,,,3.373774600869086e-05,,
Fossil Gases,2030,,,,0.001635641213188201,,,0.0001334526910548289,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.007470683708903277,7.937091197937183e-05,0.003168171690874954,0.0062820907408898,5.039905455642576e-05,0.004500659347109801
Fossil Liquids,2030,,,,0.07584242857359601,0.0005589860579383,0.0288833029545226,0.0398321786500645,0.0003050655832605,0.0437396477109587
Fossil Residuals,2030,,,0.012884078822971644,,,,,,
Biomass [Solid],2030,,,0.001572628624304701,,,,,,
Renewable Energy Carrier,2030,,,0.0010470817414854128,,,,,,
Overall Demand,2030,0.0006444730100779027,0.0055793968661695245,0.016685747523615346,0.09494842985826167,0.003852315978887072,0.03205147595173372,0.04921366930627552,0.0008121882857980258,0.048240307058068504
Power,2040,0.00039544131629349396,0.005735747136105064,0.0007986712993011486,0.026818509746195294,0.0037718773416514,,0.0096288164631719,0.0004504356537378,
Hydrogen,2040,,,,0.0020536040101607083,,1.0935476602157425e-07,0.00025777361659190003,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,7.322806083117311e-10,,,8.152913431792302e-11,,
Biogenic Gases,2040,,,0.001497759788412087,0.0001417368229084807,,,5.615015649739315e-05,,
Fossil Gases,2040,,,,0.0008703050421561751,,,0.00014204731883296807,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0031092016858363315,0.000129387680729,0.0038806073302648,0.0041737399182243,6.122667160201211e-05,0.005115832688583799
Fossil Liquids,2040,,,,0.020121667103184002,0.0006009410903166,0.027242133265133,0.0179156096703749,0.000270718412435,0.0423519848862636
Fossil Residuals,2040,,,0.008352469796889231,,,,,,
Biomass [Solid],2040,,,0.001564790190102735,,,,,,
Renewable Energy Carrier,2040,,,0.0040705534095140695,,,,,,
Overall Demand,2040,0.00039544131629349396,0.005735747136105064,0.016284244484219272,0.0531150251427216,0.004502206112697,0.03112284995016382,0.0321741372252225,0.0007823807377748121,0.0474678175748474
Power,2050,6.84762391541253e-05,0.005941026541683417,0.0008002409739039778,0.031140020159225273,0.0042357962099098,,0.0144075145076808,0.0004600407709618,
Hydrogen,2050,,,,0.0028429310518253,,1.853475200557468e-07,0.00041174041181140004,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,5.159994887463009e-09,,,2.1810423647497008e-09,,
Biogenic Gases,2050,,,0.003608512460127723,2.2008799556456844e-05,,,1.599038756056599e-05,,
Fossil Gases,2050,,,,4.522630829141753e-05,,,5.229533163129361e-05,,
Synthetic Liquids,2050,,,,1.7216470412420793e-11,4.764648946044249e-12,1.475616247131327e-10,6.85489413995898e-11,4.1933080229985013e-13,3.671568424888381e-10
Biogenic Liquids,2050,,,,0.000273505592033718,0.0002311930686831,0.0051125507058801005,0.0010779854908764,7.874719523598319e-05,0.0072768487878193
Fossil Liquids,2050,,,,0.0010985726600198,0.0005420234133979,0.0246011132586586,0.0031809784935991,0.0002330211164886,0.0393920586321853
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0015494354610822343,,,,,,
Renewable Energy Carrier,2050,,,0.009801744138411114,,,,,,
Overall Demand,2050,6.84762391541253e-05,0.005941026541683417,0.015759933033525048,0.03542226974816332,0.005009012696755449,0.02971384945962038,0.019146506872750865,0.000771809083105714,0.046668907787161436
