FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,,0.00023468457650050684,0.00017549694042693617,0.0019896228056298323,0.0002382038373178,,0.0007320087717729001,0.0003223164030038,
Hydrogen,2030,,,,9.082503198971148e-05,,1.1449655537161e-10,4.850652176654432e-05,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,5.951987479243202e-05,2.730757205598769e-05,,,7.693194052591921e-06,,
Fossil Gases,2030,,,,0.0003497013861488061,,,3.436751862763012e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0016361653114185352,5.882606390480593e-06,0.0003132736250606,0.0016392156151277,3.556733278696332e-05,0.002177464365623002
Fossil Liquids,2030,,,,0.016176140875136795,4.1429471762553785e-05,0.002863152017891,0.0102584426004798,0.0002152891401867,0.021323349711036457
Fossil Residuals,2030,,,0.00150444262044033,,,,,,
Biomass [Solid],2030,,,0.0002970049348188396,,,,,,
Renewable Energy Carrier,2030,,,0.00010764041636760461,,,,,,
Overall Demand,2030,,0.00023468457650050684,0.002144104786846142,0.020269762982379664,0.0002855159154708344,0.0031764257574481555,0.012720234221827168,0.0005731728759774634,0.02350081407665946
Power,2040,,0.000227793562643079,0.00017550961204847745,0.0056575344719303425,0.0002795541742026,,0.0024230831948967,0.0003178788756378,
Hydrogen,2040,,,,0.00043669678815248645,,9.58462630795624e-09,6.881349660176644e-05,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,1.5940777195675453e-10,,,2.065273219980239e-11,,
Biogenic Gases,2040,,,0.00023676863944663184,3.37213248451954e-05,,,1.4198341241198596e-05,,
Fossil Gases,2040,,,,0.00018907452936063412,,,3.621938182632187e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0007047696184429826,9.589618898468852e-06,0.0003813658689076,0.0010709142162089,4.320853681627712e-05,0.0024639835167091415
Fossil Liquids,2040,,,,0.00436006402907351,4.453898550539274e-05,0.0026994173542879,0.0045305831688898,0.0001910498510613,0.020685524302757455
Fossil Residuals,2040,,,0.0009949031946715973,,,,,,
Biomass [Solid],2040,,,0.000295424140406074,,,,,,
Renewable Energy Carrier,2040,,,0.0004265001570010997,,,,,,
Overall Demand,2040,,0.000227793562643079,0.0021291057435738805,0.011381860921212923,0.0003336827786064616,0.0030807928078218083,0.008143811820317419,0.0005521372635153771,0.023149507819466595
Power,2050,,0.0001698026360237932,0.0001756162493430979,0.006590272308833567,0.0003139377037732,,0.003527300630949,0.0003246573440787,
Hydrogen,2050,,,,0.0006056041171712137,,1.6245169565725932e-08,0.00010929824696622969,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,1.4485771076785523e-09,,,4.608565549328089e-10,,
Biogenic Gases,2050,,,0.0005637625130154859,5.71834062520828e-06,,,4.1483227480653584e-06,,
Fossil Gases,2050,,,,1.1573078301303744e-05,,,1.3879908667279116e-05,,
Synthetic Liquids,2050,,,,3.021982398372452e-12,3.531338325264679e-13,1.4692990663498514e-11,1.8244202901112163e-11,2.959277376230371e-13,1.688469752281557e-10
Biogenic Liquids,2050,,,,6.371611843765214e-05,1.713496530849602e-05,0.0004995071219427,0.0002751207677780113,5.557302063796528e-05,0.0035101277566556488
Fossil Liquids,2050,,,,0.0002032153415099435,4.017227868407744e-05,0.0024480240244066,0.0008140281851726,0.0001644463307791,0.01928324458791736
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.00028181133495953545,,,,,,
Renewable Energy Carrier,2050,,,0.000982692291157905,,,,,,
Overall Demand,2050,,0.0001698026360237932,0.002003882388476024,0.007480100756477978,0.0003712449481189073,0.0029475474062118563,0.004743776541381943,0.0005446766957916929,0.022793372513419983
