FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.00587868664442427,0.0015360450439810122,0.0026058654556291153,0.015172493915861899,0.0013135965290995,,0.0036365154885457003,0.0001034618876038,
Hydrogen,2030,,,,0.0006929550082569367,,5.119202010579284e-09,0.00023848413890087235,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,0.0019618732534265686,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.00020846764907210476,0.00023331513639029999,,,3.972484595547233e-05,,
Fossil Gases,2030,,,,0.0026688655762997,,,0.00017199763251947418,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0136010314688469,3.2440163112410346e-05,0.0108660619107528,0.0081773923115365,1.1416928685231142e-05,0.009414850482104999
Fossil Liquids,2030,,,,0.1339741348927592,0.0002284665558812,0.0987525188613676,0.051339213366295995,6.910669335085698e-05,0.0911124665966538
Fossil Residuals,2030,,,0.031052746689459645,,,,,,
Biomass [Solid],2030,,,0.00035717738477587373,,,,,,
Renewable Energy Carrier,2030,,,0.0032418375386456333,,,,,,
Overall Demand,2030,0.00587868664442427,0.003497918297407581,0.037466094717582374,0.16634279599841492,0.0015745032480931104,0.10961858589132241,0.06360332778375402,0.00018398550963988813,0.1005273170787588
Power,2040,0.0071377922714440534,0.0008410567681253181,0.00309116303333432,0.0433422224194379,0.0015416266885654,,0.0121962445666891,0.0001020374644181,
Hydrogen,2040,,,,0.0033161620761759,,4.285337502695454e-07,0.00034140126923541426,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,0.00210862566944133,,,,,,,
Synthetic Gases,2040,,,,1.236591495221729e-09,,,1.0378154378650462e-10,,
Biogenic Gases,2040,,,0.0008934860980501074,0.0002813980126402,,,7.13795499841473e-05,,
Fossil Gases,2040,,,,0.0014641080342316002,,,0.00018170983079186356,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0065796695125626,5.288281768360289e-05,0.0134120244731173,0.0053643901672684,1.3869715403721112e-05,0.010728224213251699
Fossil Liquids,2040,,,,0.0427780115978808,0.0002456142496622,0.09318696107376309,0.022776205415574798,6.132600771488283e-05,0.0881296132116407
Fossil Residuals,2040,,,0.022091780187223083,,,,,,
Biomass [Solid],2040,,,0.00034128551297052026,,,,,,
Renewable Energy Carrier,2040,,,0.013834367360098618,,,,,,
Overall Demand,2040,0.0071377922714440534,0.002949682437566648,0.04025208219167665,0.09776157288952049,0.001840123755911203,0.10659941408063066,0.040931330903325264,0.00017723318753670394,0.0988578374248924
Power,2050,0.008175998519390049,0.0002679982774326551,0.003491319276364664,0.0509004517377836,0.0017312377612105,,0.017877846791678302,0.0001042133175035,
Hydrogen,2050,,,,0.0046062812184038,,7.263301890013548e-07,0.0005429881562066,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,0.0022296316215537986,,,,,,,
Synthetic Gases,2050,,,,1.3484700783192635e-08,,,2.4303358931014614e-09,,
Biogenic Gases,2050,,,0.0023640455036831767,5.076604723722549e-05,,,2.0723588290435597e-05,,
Fossil Gases,2050,,,,0.00010171469491048069,,,6.895719913371703e-05,,
Synthetic Liquids,2050,,,,1.4436603918411883e-10,1.9473883457861805e-12,5.016665144292069e-10,9.057952916775318e-11,9.499126337812933e-14,7.890151725404005e-10
Biogenic Liquids,2050,,,,0.0014844764957819448,9.449231048887008e-05,0.0177972577647702,0.0013799432361925,1.7838650349375784e-05,0.0152473298017653
Fossil Liquids,2050,,,,0.0084554695500905,0.000221533651345,0.0837043172234941,0.0040802684447630005,5.278641618417322e-05,0.0818667823546865
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0003238150465660824,,,,,,
Renewable Energy Carrier,2050,,,0.036362040895751756,,,,,,
Overall Demand,2050,0.008175998519390049,0.0024976298989864538,0.04254122072236568,0.06559917337327437,0.0020472637249917586,0.10150230182011982,0.023970729937179976,0.00017483838413204027,0.09711411294546697
