FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.041517241483653135,0.02457766926522171,0.001866530721058474,0.0432821023575451,0.0130696404737198,,0.020950943292601602,0.0016628469142822,
Hydrogen,2030,0.002807666903085781,,,0.0019209473285694393,,2.3685400985421295e-08,0.0012854960942248,,
Methanol,2030,,0.00023820951143366167,,,,,,,
Ammonia,2030,,0.0067108799215094645,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0028856446119235432,0.0004881581331353,,,0.0002823960599972444,,
Fossil Gases,2030,,,,0.0073933194780874,,,0.0010358731721951,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0349902821856434,0.0003227636944798,0.033654599424248,0.048320637555041,0.0001834937006707,0.027955855578171998
Fossil Liquids,2030,,,,0.3606934657934278,0.0022731300513438,0.3020558268232559,0.3091684436036798,0.0011106877561975,0.271875801946682
Fossil Residuals,2030,0.025269002127772028,2.5579538487363607e-19,0.05441508687977327,,,,,,
Biomass [Solid],2030,,,0.006807962910043613,,,,,,
Renewable Energy Carrier,2030,,,0.0031604761524957094,,,,,,
Overall Demand,2030,0.06959391051451094,0.03152675869816483,0.06913570127529461,0.4487682752764085,0.0156655342195434,0.33571044993290483,0.38104378977773956,0.0029570283711504,0.29983165752485397
Power,2040,0.03649713543823536,0.01836592700663869,,0.1226828236222228,0.015338428595006,,0.0759066621912214,0.0016399534821802,
Hydrogen,2040,0.01130040264928582,,,0.0092921274292898,,1.9827296695744205e-06,0.0019507546497803002,,
Methanol,2040,,0.0002387323349413756,,,,,,,
Ammonia,2040,,0.006725608996596746,,,,,,,
Synthetic Gases,2040,,,,3.2985069855339423e-09,,,6.399127342672532e-10,,
Biogenic Gases,2040,,,0.009316387662931672,0.0006268563559189,,,0.00044124105580560004,,
Fossil Gases,2040,,,,0.0039217614839361994,,,0.0011100392878909,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0154013958773968,0.0005261580698875,0.042796197862415106,0.0324780615231965,0.0002229150655877,0.0317641657356248
Fossil Liquids,2040,,,,0.1056448027576519,0.0024437411847521,0.2855934527826279,0.1407773316599151,0.000985636015886,0.26329510231583836
Fossil Residuals,2040,0.016950603973928724,,0.03098559150022236,,,,,,
Biomass [Solid],2040,,,0.006707957513449276,,,,,,
Renewable Energy Carrier,2040,,,0.011340673337216566,,,,,,
Overall Demand,2040,0.06474814206144991,0.025330268338176812,0.05835061001381987,0.2575697708249234,0.0183083278496456,0.32839163337471255,0.2526640910077226,0.0028485045636539,0.29505926805146315
Power,2050,0.03185829326691079,0.012625950263953028,,0.1428012558921533,0.0172249656666338,,0.1156062375451638,0.0016749239497875,
Hydrogen,2050,0.028412103733147072,,,0.012859391909440701,,3.360567084237257e-06,0.0031286564013256,,
Methanol,2050,,0.0002392154513763277,,,,,,,
Ammonia,2050,,0.006739219437101654,,,,,,,
Synthetic Gases,2050,,,,2.192808869314449e-08,,,1.9008376536250105e-08,,
Biogenic Gases,2050,,,0.018595744714731022,9.538938267388972e-05,,,0.00012349245335443017,,
Fossil Gases,2050,,,,0.00019673545814193419,,,0.0003974155402997,,
Synthetic Liquids,2050,,,,2.8718479950729355e-10,1.937555785076872e-11,1.4994195387572606e-09,5.198955259817501e-10,1.5267064312304748e-12,2.270437790254754e-09
Biogenic Liquids,2050,,,,0.0027929515914906,0.0009401520925661,0.0583390639279881,0.008418742529125599,0.0002867040740836,0.045188042072178206
Fossil Liquids,2050,,,,0.0167916097829742,0.002204151055343,0.2510191337768113,0.024797393150804002,0.0008483870853384,0.2449439183098708
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.006458620893393013,,,,,,
Renewable Energy Carrier,2050,,,0.025251319733575372,,,,,,
Overall Demand,2050,0.06027039700005786,0.01960438515243101,0.05030568534169941,0.1755373562321481,0.020369268833918455,0.30936155977130314,0.15247195714834522,0.0028100151107362066,0.2901319626524868
