FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.34237438094688677,0.5628816558852643,0.04716776709385711,0.5717885897442716,0.211933108459677,,0.2213298425697075,0.0703367467137985,
Hydrogen,2030,0.04767602703736284,,,0.0256421399922213,,9.65071904724738e-08,0.0139364213478969,,
Methanol,2030,,0.06384674424382113,,,,,,,
Ammonia,2030,,0.26061667184066895,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.03142499635655529,0.006850337430653599,,,0.0027677793200257,,
Fossil Gases,2030,,,,0.0987018420880776,,,0.010762208168197101,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.4601054722175781,0.0052338328056217,0.1516791261017478,0.505603413592951,0.0077615983989883,0.1942107263741033
Fossil Liquids,2030,,,,4.674368493966905,0.0368603496540786,1.366319886400831,3.2122113357779902,0.0469809714380753,1.853329467755661
Fossil Residuals,2030,0.42908424333626555,,0.5108014857278653,,,,,,
Biomass [Solid],2030,,,0.19163654764120805,,,,,,
Renewable Energy Carrier,2030,,,0.025330724279874196,,,,,,
Overall Demand,2030,0.8191346513205151,0.8873450719697543,0.80636152109936,5.837456875439707,0.2540272909193773,1.5179991090097693,3.9666110007767683,0.1250793165508621,2.0475401941297644
Power,2040,0.3195504680691143,0.5466010291095664,0.042671783525145515,1.6217321157646705,0.248723050765084,,0.779183485989634,0.0693683776346374,
Hydrogen,2040,0.1667827207976706,,,0.12382850806606799,,8.07871777196514e-06,0.0206731691200213,,
Methanol,2040,,0.06861934800511871,,,,,,,
Ammonia,2040,,0.28009801146127133,,,,,,,
Synthetic Gases,2040,,,,4.430342018497615e-08,,,6.59107821886628e-09,,
Biogenic Gases,2040,,,0.10447977558179224,0.008690389568844499,,,0.0045405627177268,,
Fossil Gases,2040,,,,0.0526387370779597,,,0.0114723959868434,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.1976866876306986,0.0085320109238374,0.19123669035028498,0.33677439709497103,0.0094290823600573,0.2230998947077038
Fossil Liquids,2040,,,,1.300194312246819,0.0396269252086046,1.291110846047885,1.448721811248176,0.0416914089961789,1.7863736469610672
Fossil Residuals,2040,0.2501740811965058,1.3096723705530166e-17,0.2734504175289143,,,,,,
Biomass [Solid],2040,,,0.18013644876315138,,,,,,
Renewable Energy Carrier,2040,,,0.07782050277081738,,,,,,
Overall Demand,2040,0.7365072700632906,0.8953183885759565,0.6785589281698208,3.3047707946584803,0.296881986897526,1.4823556151159418,2.6013658287484507,0.1204888689908736,2.009473541668771
Power,2050,0.2968169652340385,0.5303848931234103,0.038193609438470916,1.8863393703126394,0.279314532345502,,1.170531877660387,0.0708475931303243,
Hydrogen,2050,0.3573902270062541,,,0.1714659724771745,,1.369277589573568e-05,0.0330503032681767,,
Methanol,2050,,0.07337304653696917,,,,,,,
Ammonia,2050,,0.2995021816343595,,,,,,,
Synthetic Gases,2050,,,,3.2525690002328474e-07,,,1.8065238002772892e-07,,
Biogenic Gases,2050,,,0.2110708549639757,0.0013688136789311999,,,0.0012880990814709,,
Fossil Gases,2050,,,,0.0028056621233245004,,,0.0041978333161224,,
Synthetic Liquids,2050,,,,2.1705420888765293e-09,3.14187847149323e-10,6.8288786856587955e-09,5.5001581490309906e-09,6.45781416421835e-11,1.769725436263565e-08
Biogenic Liquids,2050,,,,0.0255555178060996,0.0152452055435702,0.258722724004716,0.08705103431697761,0.0121272930583278,0.3162198265627567
Fossil Liquids,2050,,,,0.13056168677823932,0.0357418083238652,1.142093803362813,0.25677162471406,0.0358859177138772,1.65236904005886
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.15615903931060038,,,,,,
Renewable Energy Carrier,2050,,,0.14654700352019484,,,,,,
Overall Demand,2050,0.6542071922402926,0.903260121294739,0.5519705072332418,2.2180973506038506,0.3303015465271253,1.4008302269723034,1.5528909585097328,0.11886080396710744,1.968588884318871
