FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.01914225517524057,0.01788869543374266,0.0008262473801370253,0.010456274035926293,0.0025700103600667,,0.005132259644026299,0.0018897173957487,
Hydrogen,2030,0.0014029518274068955,,,0.000474926532832751,,1.4761174381311726e-09,0.00033237725034786073,,
Methanol,2030,,0.00010979931657845671,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.00012873169932689304,0.00013939759209357006,,,5.860434142776162e-05,,
Fossil Gases,2030,,,,0.0018284894720139002,,,0.0002448753361553812,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0085957893540222,6.346816045433619e-05,0.0024844380366219,0.0115982015087605,0.0002085286596075,0.0114125029185747
Fossil Liquids,2030,,,,0.0856194488976361,0.0004469876423517,0.022430536176281598,0.0730910372338776,0.001262224415311,0.11152117537584501
Fossil Residuals,2030,0.01262656644666206,,0.006984015524739921,,,,,,
Biomass [Solid],2030,,,0.0009191618769848918,,,,,,
Renewable Energy Carrier,2030,,,0.0006472700256442093,,,,,,
Overall Demand,2030,0.03317177344930952,0.017998494750321115,0.009505426506832941,0.10711432588452482,0.0030804661628727366,0.024914975689020933,0.0904573553145954,0.0033604704706672,0.1229336782944197
Power,2040,0.0211710060828088,0.01823879445021142,0.0008735195704653098,0.029719674579746298,0.0030161442065353,,0.0174803843175899,0.0018637004987512,
Hydrogen,2040,0.004893327624038706,,,0.002285625611307,,1.2356733340340373e-07,0.00048105751332189997,,
Methanol,2040,,0.00012691442587379483,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,8.307770458955971e-10,,,1.4846117145904492e-10,,
Biogenic Gases,2040,,,0.0005023819182251455,0.00017305099320890212,,,0.00010216263413142306,,
Fossil Gases,2040,,,,0.0009857459648998,,,0.0002594464697262092,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0037320909359087,0.0001034635721895,0.0031155881132626,0.007645443879223401,0.0002533284775631,0.012930593537495899
Fossil Liquids,2040,,,,0.023585924869958502,0.000480536566768,0.0211882838248329,0.0325978717363199,0.0011201112436139,0.1081287242643236
Fossil Residuals,2040,0.0073399914360580566,,0.0045798100179336495,,,,,,
Biomass [Solid],2040,,,0.0009335546700480942,,,,,,
Renewable Energy Carrier,2040,,,0.0025508247603972883,,,,,,
Overall Demand,2040,0.03340432514290556,0.018365708876085213,0.009440090937069486,0.060482113785806244,0.0036001443454927997,0.024303995505428902,0.058566366698773895,0.0032371402199282,0.1210593178018195
Power,2050,0.02273979001822048,0.018509517539374666,0.0009100740101957291,0.0346233471632715,0.0033871123160623,,0.025829472192026,0.0019034421613224,
Hydrogen,2050,0.010844361716360426,,,0.0031686521021152,,2.0943667696846509e-07,0.0007663428315054,,
Methanol,2050,,0.00014014912532121248,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,7.24395173919759e-09,,,3.6675382572938013e-09,,
Biogenic Gases,2050,,,0.0012319676216250687,2.8931078802358805e-05,,,2.9441933622241764e-05,,
Fossil Gases,2050,,,,5.8692023325873744e-05,,,9.732654094820575e-05,,
Synthetic Liquids,2050,,,,2.8116998467905817e-11,3.810004147296601e-12,1.1258033790017864e-10,1.2774313041771817e-10,1.7350025889443188e-12,8.979243127091083e-10
Biogenic Liquids,2050,,,,0.00041734615016491357,0.0001848712382557,0.0041947787431882,0.0019697635844429,0.0003258205380029,0.018412714501622
Fossil Liquids,2050,,,,0.0017541737383589,0.0004334236323312,0.0188169933896642,0.0058197415819615,0.0009641367583044,0.10073519692000209
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0009442267764325583,,,,,,
Renewable Energy Carrier,2050,,,0.006303342731630756,,,,,,
Overall Demand,2050,0.0335841517345809,0.018649666664695877,0.009389611139884112,0.04005114952810748,0.004005407190459204,0.02301198168210971,0.03451209245978763,0.003193399459364703,0.11914791231954841
