FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.03423377026449072,0.04931620788012066,0.008172352437924333,0.1016851508145791,0.0492917557102415,,0.0387515575752201,0.0058831598394431,
Hydrogen,2030,0.0048746542086085,,,0.0045163513952825,,2.0570459433360488e-08,0.0024604609291613002,,
Methanol,2030,,0.0006129557190792724,,,,,,,
Ammonia,2030,,0.017669987899884627,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.005093162104830904,0.001080894900308,,,0.0004722534772135,,
Fossil Gases,2030,,,,0.017380344910632402,,,0.0018739377393404,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.07891776393479051,0.0012172935600198,0.016641489133803998,0.0882449639807996,0.0006492015358147,0.0113650564560906
Fossil Liquids,2030,,,,0.8151922188048348,0.008573041577827,0.1450582004686673,0.5593229143354757,0.0039296182620895,0.1066088414847125
Fossil Residuals,2030,0.043871887877476465,,0.08235218961517672,,,,,,
Biomass [Solid],2030,,,0.013427574177471788,,,,,,
Renewable Energy Carrier,2030,,,0.004057081185744292,,,,,,
Overall Demand,2030,0.08298031235057568,0.06759915149908456,0.11310235952114804,1.0187727247604275,0.0590820908480883,0.16169971017293075,0.6911260880372105,0.0104619796373473,0.1179738979408031
Power,2040,0.026161244591346586,0.03379608527620145,0.008398720984399598,0.2876667626101583,0.0578484218295281,,0.1351227196089157,0.005802162774005,
Hydrogen,2040,0.014894116662150998,,,0.0218886354117585,,1.7219746568954025e-06,0.0036232878192384004,,
Methanol,2040,,0.0006983857284760861,,,,,,,
Ammonia,2040,,0.020132722458583635,,,,,,,
Synthetic Gases,2040,,,,7.700605968273356e-09,,,1.1443150857112899e-09,,
Biogenic Gases,2040,,,0.01920448962801058,0.0014092669340309998,,,0.0007880662831104,,
Fossil Gases,2040,,,,0.009162806825658999,,,0.0019940817043463,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.032601700068347,0.0019843893256297,0.0225829970778623,0.0586016115524272,0.0007886745016685,0.0131824989758322
Fossil Liquids,2040,,,,0.2190635790687897,0.0092164963328615,0.13779513676841681,0.2514457711626821,0.0034871846440972,0.10230755751289279
Fossil Residuals,2040,0.022341174993226496,5.1159076974727205e-19,0.05138815041114404,,,,,,
Biomass [Solid],2040,,,0.013966060607034501,,,,,,
Renewable Energy Carrier,2040,,,0.015054277312752131,,,,,,
Overall Demand,2040,0.06339653624672408,0.05462719346326117,0.10801169894334084,0.5717927586193494,0.0690493074880193,0.160379855820936,0.45157553927503513,0.0100780219197707,0.11549005648872498
Power,2050,0.017292570637960414,0.01674529935567451,0.008647415000780374,0.33362446404356466,0.0649634396190361,,0.2020356457383711,0.005925888445218,
Hydrogen,2050,0.024588750659496277,,,0.0302718254454241,,2.9186083411439206e-06,0.0057865336337599,,
Methanol,2050,,0.000792241224246837,,,,,,,
Ammonia,2050,,0.022838342820684143,,,,,,,
Synthetic Gases,2050,,,,4.5045763002215996e-08,,,3.047509334649297e-08,,
Biogenic Gases,2050,,,0.046219916569702424,0.00020517143044358418,,,0.0002245819442367875,,
Fossil Gases,2050,,,,0.00042664368140719997,,,0.0007349470329226001,,
Synthetic Liquids,2050,,,,2.9708532594333033e-10,7.307433331851369e-11,6.799397384838897e-10,9.63447110197638e-10,5.401494199910601e-12,1.135994197137435e-09
Biogenic Liquids,2050,,,,0.0034866209699271,0.003545755322836,0.0324869852113834,0.015133304789196701,0.0010143602997764,0.018624688760498498
Fossil Liquids,2050,,,,0.0179737077728897,0.008312889370362,0.1148108226452697,0.0446594584839062,0.0030015973123537,0.0941257766822439
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.014459622302585993,,,,,,
Renewable Energy Carrier,2050,,,0.034537382124764836,,,,,,
Overall Demand,2050,0.04188132129745669,0.04037588340060549,0.10386433599783362,0.38598847868650465,0.07682208438530844,0.147300727144934,0.2685745030609337,0.009941846062749594,0.1127504665787366
