FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0005147853254422725,0.0008421026685774733,0.0007836259586892497,0.003293061883258307,0.00064011970913,,0.001137940541329,0.0006112640170326,
Hydrogen,2030,,,,0.0001494315686924134,,3.2762394032017833e-10,7.140807280321497e-05,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,0.006923909833759821,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0002821052278641759,4.329939095298977e-05,,,1.437804029318445e-05,,
Fossil Gases,2030,,,,0.0005753006392829026,,,5.54567252492964e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.002690377581549762,1.580819324323321e-05,0.0007394122816492519,0.0026028361683547,6.745244893490615e-05,0.0012518333952328726
Fossil Liquids,2030,,,,0.0268422477686697,0.0001113324693366,0.0067299634888682,0.0165521734152812,0.0004082898153107,0.0120421763211259
Fossil Residuals,2030,,,0.009016695477754882,,,,,,
Biomass [Solid],2030,,,0.0006539468626333447,,,,,,
Renewable Energy Carrier,2030,,,0.0007197498252196999,,,,,,
Overall Demand,2030,0.0005147853254422725,0.007766012502337294,0.011456123352161353,0.033593718832406076,0.0007672603717098332,0.0074693760981413915,0.0204341929633106,0.0010870062812782062,0.013294009716358773
Power,2040,0.0005010576921071216,0.0006819866733664854,0.0007921452568742928,0.009356142887201364,0.0007512395211245,,0.0040216559867663,0.0006028483708597,
Hydrogen,2040,,,,0.0007195038800017403,,2.7425742436681934e-08,0.00010624398965730907,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,0.006922555424109728,,,,,,,
Synthetic Gases,2040,,,,2.6093911638340293e-10,,,3.4003221491218444e-11,,
Biogenic Gases,2040,,,0.000985768159613077,5.390726543100483e-05,,,2.3427617181800764e-05,,
Fossil Gases,2040,,,,0.0003096724302784673,,,5.9158365693184236e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0011591793072943668,2.576996294045299e-05,0.0009093343726798519,0.001735827221761,8.194377803387662e-05,0.0014314440640491
Fossil Liquids,2040,,,,0.007325348721515,0.000119688594305,0.006349186668053,0.007474822992653,0.0003623206834181,0.011630529304602899
Fossil Residuals,2040,,,0.005467751871113469,,,,,,
Biomass [Solid],2040,,,0.0006425771149646283,,,,,,
Renewable Energy Carrier,2040,,,0.0026593997544625708,,,,,,
Overall Demand,2040,0.0005010576921071216,0.0076045420974762135,0.010547642157028038,0.01892375475266106,0.000896698078369953,0.007258548466475288,0.013421136207715815,0.0010471128323116766,0.013061973368651999
Power,2050,0.0004895005497719998,0.0005471867918716412,0.000799317559580526,0.010894015651874171,0.0008436375915979,,0.006052965642765,0.0006157035461158,
Hydrogen,2050,,,,0.0009973084747489653,,4.648442433065776e-08,0.00016992510798005808,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,0.006921415161638838,,,,,,,
Synthetic Gases,2050,,,,2.224605818096596e-09,,,9.42629222471956e-10,,
Biogenic Gases,2050,,,0.002197953337008217,8.942595679751571e-06,,,6.633923700628604e-06,,
Fossil Gases,2050,,,,1.8165574437370473e-05,,,2.158302253128147e-05,,
Synthetic Liquids,2050,,,,7.75472823057078e-12,9.489684494844959e-13,3.428120915942979e-11,2.8272989906284133e-11,5.612186533637588e-13,1.0884964910173286e-10
Biogenic Liquids,2050,,,,0.00012135353265674384,4.604639930543995e-05,0.0012025496765864841,0.0004488562716203,0.0001053926747668,0.0020320418553158
Fossil Liquids,2050,,,,0.0004892418401882201,0.0001079540432089,0.0057176896227644,0.0013237224787816999,0.0003118678534556,0.010784457730426
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0006229032602935643,,,,,,
Renewable Energy Carrier,2050,,,0.006167135529215985,,,,,,
Overall Demand,2050,0.0004895005497719998,0.007468601953510479,0.009787309686098292,0.012529029901945769,0.0009976380350612084,0.006920285818056424,0.00802368741828118,0.0010329640748994186,0.01281649969459145
