FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.002433333858776966,0.013608254832846318,0.0016292648984751374,0.010630616574861865,0.0050911117051516,,0.0032331127110052,0.0021615145707513,
Hydrogen,2030,0.0007290507609989409,,,0.0005019750136645909,,6.093470415604716e-10,0.00020300589992996044,,
Methanol,2030,,0.00014141890111669055,,,,,,,
Ammonia,2030,,0.008878883495493777,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0006456721905622116,0.000193545431870701,,,4.077730721316057e-05,,
Fossil Gases,2030,,,,0.0019341040459175001,,,0.00015750171254466186,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.009632717318715784,0.0001257284793922,0.0016672323111387,0.0073935090736912,0.0002385212398292,0.0001771740192985
Fossil Liquids,2030,,,,0.0904894552949077,0.0008854688110969,0.0152376043626586,0.047009585516313,0.0014437695664922,0.0012666715547088
Fossil Residuals,2030,0.006561456848990467,7.162270776461812e-19,0.010287498761156368,,,,,,
Biomass [Solid],2030,,,0.0034345811015905957,,,,,,
Renewable Energy Carrier,2030,,,0.0004973832273440516,,,,,,
Overall Demand,2030,0.009723841468766373,0.022628557229456787,0.016494400179128364,0.11338241367993815,0.0061023089956407,0.01690483728314434,0.05803749222069718,0.0038438053770727004,0.0014438455740073
Power,2040,0.0024757995544587184,0.014575908590381867,0.0017976239728848995,0.030471351307714088,0.0059748891727885,,0.0114185666421503,0.002131755675547,
Hydrogen,2040,0.0026303262712824333,,,0.0023868523301649996,,5.1009077664042535e-08,0.0003018822379743,,
Methanol,2040,,0.00016401209189820896,,,,,,,
Ammonia,2040,,0.010297380649385823,,,,,,,
Synthetic Gases,2040,,,,9.158070027155819e-10,,,9.655214334369443e-11,,
Biogenic Gases,2040,,,0.0024903795096543582,0.0002275402508239,,,6.652124988123777e-05,,
Fossil Gases,2040,,,,0.0010817711436372,,,0.00016799378469380705,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.004505487666197732,0.0002049581634437,0.0020296170763985,0.0049296664257506995,0.0002897645947858,0.0002326667682776
Fossil Liquids,2040,,,,0.02606828246035,0.0009519282014734,0.0143662136684698,0.021224312700179902,0.0012812163233406,0.0011176089218385
Fossil Residuals,2040,0.00394548940692365,,0.006580882751423065,,,,,,
Biomass [Solid],2040,,,0.0035069350601477567,,,,,,
Renewable Energy Carrier,2040,,,0.0018968756579610183,,,,,,
Overall Demand,2040,0.009051615232664803,0.0250373013316659,0.0162726969520711,0.06474128607469493,0.0071317755377056005,0.016395881753945962,0.03810894313718239,0.0037027365936734,0.0013502756901161
Power,2050,0.0024985021372939628,0.015093225903417816,0.001887630406819176,0.035787906642344075,0.0067097656207581,,0.0171803474409267,0.0021772133629805,
Hydrogen,2050,0.0061937342705544,,,0.0033228171641966,,8.645627794124715e-08,0.0004827901376476,,
Methanol,2050,,0.00017609063616777366,,,,,,,
Ammonia,2050,,0.011055723321530736,,,,,,,
Synthetic Gases,2050,,,,1.2158319791244056e-08,,,2.671317737031262e-09,,
Biogenic Gases,2050,,,0.006138088587837133,4.3787262676835605e-05,,,1.8842651447157117e-05,,
Fossil Gases,2050,,,,8.686379908590892e-05,,,6.132142374082466e-05,,
Synthetic Liquids,2050,,,,2.6211106299823204e-11,7.547501369011686e-12,7.819563098138778e-11,8.033180951500578e-11,1.984547205170107e-12,3.9195038996947397e-11
Biogenic Liquids,2050,,,,0.0005482033453627935,0.0003662242532769,0.0026583610834959,0.0012746453100137998,0.0003726831545964,0.0003159840865489
Fossil Liquids,2050,,,,0.0017290128264531,0.000858598923233,0.0130283063285152,0.0037591839085436,0.0011028081002801,0.0009172879516494
Fossil Residuals,2050,,7.418066161335448e-19,,,,,,,
Biomass [Solid],2050,,,0.0035155735883074723,,,,,,
Renewable Energy Carrier,2050,,,0.004626033624961024,,,,,,
Overall Demand,2050,0.008692236407848363,0.026325039861116326,0.016167326207924805,0.04151860322465021,0.007934588804815502,0.015686753946484673,0.02277713362396923,0.003652704619841547,0.001233272077393339
