FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,,0.0028270092555880083,0.0010630062287556447,0.008348367252065949,0.0007252559397565,,0.0034352186015682,1.379491834718436e-05,
Hydrogen,2030,,,,0.00038663353954078206,,1.2581677541328023e-09,0.0002302426784932863,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.00012760041214865286,0.00012967772028157904,,,3.4525130438738883e-05,,
Fossil Gases,2030,,,,0.0014890748389714,,,0.00015995712647071393,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.007128437630251732,1.791069058325931e-05,0.0034259702475396905,0.007656994072575,1.522257158030819e-06,0.0033410621371624738
Fossil Liquids,2030,,,,0.0689140591071683,0.0001261397415553,0.03130859249984613,0.0477467910813372,9.214225780114264e-06,0.0326787456338598
Fossil Residuals,2030,,,0.012331725413265951,,,,,,
Biomass [Solid],2030,,,0.0017019726846892664,,,,,,
Renewable Energy Carrier,2030,,,0.0012425913004364525,,,,,,
Overall Demand,2030,,0.0028270092555880083,0.016466896039295967,0.08639625008827974,0.0008693063718950593,0.03473456400555358,0.05926372869088313,2.453140128532944e-05,0.036019807771022275
Power,2040,,0.002518016004647162,0.00116810709905385,0.023813684024156394,0.0008511547404404,,0.0112049210072502,1.360499525575504e-05,
Hydrogen,2040,,,,0.0018505625988016,,1.0532253758154184e-07,0.0003234085448113575,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,6.895466904779869e-10,,,9.568241845163511e-11,,
Biogenic Gases,2040,,,0.0005179764388878285,0.0001565225644405462,,,6.574642626760885e-05,,
Fossil Gases,2040,,,,0.0008164658281451999,,,0.00016811082480573656,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0031678982183393606,2.9197380463835447e-05,0.0041715965419239776,0.0049793053757623,1.849295387162815e-06,0.0037834003484552145
Fossil Liquids,2040,,,,0.0189383147124399,0.0001356072351823,0.029518582166552634,0.0209796775230359,8.176801028651042e-06,0.0316918999651766
Fossil Residuals,2040,,,0.008565807079992141,,,,,,
Biomass [Solid],2040,,,0.001623178834603923,,,,,,
Renewable Energy Carrier,2040,,,0.005192561614440269,,,,,,
Overall Demand,2040,,0.002518016004647162,0.017067631066978013,0.04874344863586969,0.0010159593560865353,0.03369028403101419,0.03772116979761553,2.3631091671568897e-05,0.035475300313631816
Power,2050,,0.0021723574819141386,0.0012856792837362516,0.027825042240180148,0.0009558417989345,,0.0161815084495004,1.389510900047971e-05,
Hydrogen,2050,,,,0.0025703545990333,,1.7851321763941853e-07,0.0005129114715790451,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,7.475041808045828e-09,,,2.0151525669024118e-09,,
Biogenic Gases,2050,,,0.0013226844152996228,2.818187897676415e-05,,,1.9346709154939826e-05,,
Fossil Gases,2050,,,,5.6482828640187045e-05,,,6.513257528425315e-05,,
Synthetic Liquids,2050,,,,1.2493308138102343e-11,1.0751817118169205e-12,1.6064115345328553e-10,8.567529130007003e-11,1.2665501783750576e-14,2.612182969878195e-10
Biogenic Liquids,2050,,,,0.0003073122161435503,5.217059266314125e-05,0.005465103009091464,0.0012772935523164,2.378486713250105e-06,0.005388433374178804
Fossil Liquids,2050,,,,0.0008654151399991,0.0001223119831201,0.026765328913599284,0.0037821014012263997,7.038188824556429e-06,0.02953301039053015
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0015211018856492915,,,,,,
Renewable Energy Carrier,2050,,,0.013614846066398246,,,,,,
Overall Demand,2050,,0.0021723574819141386,0.01774431165108341,0.031652796390508164,0.0011303243757929229,0.03223061059654954,0.021838296259889298,2.3311784550951746e-05,0.03492144402592725
