FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.061416703500598184,0.02300311900116973,0.0022331733914222975,0.0806738722904795,0.0202626093868865,,0.0254762017427467,0.0038681696716766,
Hydrogen,2030,,,,0.0036479357571302,,1.3351775683784882e-08,0.0016425518663523,,
Methanol,2030,,0.00016672219546133875,,,,,,,
Ammonia,2030,,0.01272982868714951,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.001517032094599047,0.0011196654984368,,,0.0002953533760394,,
Fossil Gases,2030,,,,0.0140462882103178,,,0.0012192777718048999,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0696096341435164,0.0005003989726162,0.0147095845978992,0.0576730690117931,0.0004268491355289,0.025010560373309298
Fossil Liquids,2030,,,,0.6962485521627411,0.0035241632245806,0.1305643970668376,0.36393101363139324,0.0025837187153698,0.2348176943229761
Fossil Residuals,2030,,,0.01929801489014259,,,,,,
Biomass [Solid],2030,,,0.0025373059675939183,,,,,,
Renewable Energy Carrier,2030,,,0.0006271917820834629,,,,,,
Overall Demand,2030,0.061416703500598184,0.03589966988378058,0.02621271812584132,0.8653459480626218,0.0242871715840833,0.14527399501651247,0.45023746740012965,0.0068787375225753,0.2598282546962854
Power,2040,0.057933555060551645,0.007599018070426296,,0.2297903092048551,0.0237800410695459,,0.0872399078572649,0.0038149142102286,
Hydrogen,2040,,,,0.0175253502218624,,1.1176910961328908e-06,0.0023865969783611997,,
Methanol,2040,,0.00018199305030961238,,,,,,,
Ammonia,2040,,0.013895812409874227,,,,,,,
Synthetic Gases,2040,,,,6.421190540173386e-09,,,7.404392471644982e-10,,
Biogenic Gases,2040,,,0.0020553096810448407,0.0013764905176361,,,0.000509620242557,,
Fossil Gases,2040,,,,0.007613812729963001,,,0.0012931202386089,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0325488940884981,0.0008157328785995,0.0191863575218352,0.0380820558157449,0.0005185524227517,0.0289957981166524
Fossil Liquids,2040,,,,0.2148972398498224,0.0037886713998633,0.1236661338043652,0.16260737413858428,0.0022928192073582,0.2253953088211194
Fossil Residuals,2040,,7.418066161335448e-19,0.0030829645215672613,,,,,,
Biomass [Solid],2040,,,,,,,,,
Renewable Energy Carrier,2040,,,,,,,,,
Overall Demand,2040,0.057933555060551645,0.021676823530610137,0.005138274202612102,0.5037521030338277,0.0283844453480087,0.14285360901729652,0.2921186760115604,0.0066262858403385,0.2543911069377718
Power,2050,0.05477241497253818,,,0.2689485676323284,0.0267048471384763,,0.1292627293996196,0.0038962636724318,
Hydrogen,2050,,,,0.0243107274205465,,1.8943963797220366e-06,0.003804105309536,,
Methanol,2050,,0.000195852152862953,,,,,,,
Ammonia,2050,,0.014954003856870695,,,,,,,
Synthetic Gases,2050,,,,6.040957825554191e-08,,,1.8621172085241793e-08,,
Biogenic Gases,2050,,,0.003784923913590072,0.00023621182865579183,,,0.00014648816379846588,,
Fossil Gases,2050,,,,0.00047711601070880003,,,0.00048313376960370006,,
Synthetic Liquids,2050,,,,6.626646519652098e-10,3.003903291544851e-11,6.34537903847718e-10,6.339460051053089e-10,3.5514751623354655e-12,2.4885983842191593e-09
Biogenic Liquids,2050,,,,0.0067572942771184,0.0014575714346724,0.0267308908885776,0.0098166842558465,0.0006669405310802,0.0409729797312409
Fossil Liquids,2050,,,,0.0388318373000604,0.0034172211511031,0.106560884069033,0.028995929800703597,0.0019735461906695,0.20742841980545862
Fossil Residuals,2050,,1.7905676941154524e-19,,,,,,,
Biomass [Solid],2050,,,,,,,,,
Renewable Energy Carrier,2050,,,,,,,,,
Overall Demand,2050,0.05477241497253818,0.015149856009733648,0.003784923913590072,0.3395618155416612,0.03157963975429083,0.13329366998852824,0.17250908995422598,0.006536750397732975,0.2484014020252979
