FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,,0.003320099186018064,0.00034311537934013836,0.004585194515972854,0.0001801154611316,,0.0006809853908923,0.002957518642947,
Hydrogen,2030,,,,0.00020390869120959297,,3.1333516284476235e-10,4.024665539268523e-05,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,0.014032486349938885,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,9.827902782993092e-05,4.7615026528396095e-05,,,1.0108800518794984e-05,,
Fossil Gases,2030,,,,0.0007846670604052373,,,3.445060087347233e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0034870215530411856,4.448074282126064e-06,0.0008573152441552,0.0015915965913147,0.0003263595920562,0.0032831972817105584
Fossil Liquids,2030,,,,0.0360089500660149,3.1326482792949226e-05,0.0078353990726053,0.0102817325873576,0.0019754552973177,0.03213083429072289
Fossil Residuals,2030,,,0.004429527024444044,,,,,,
Biomass [Solid],2030,,,0.00047144749578219796,,,,,,
Renewable Energy Carrier,2030,,,0.000393890641552741,,,,,,
Overall Demand,2030,,0.01735258553595695,0.005736259568949052,0.04511735691317217,0.0002158900182066753,0.008692714630095664,0.012639120626349552,0.005259333532320901,0.035414031572433446
Power,2040,,0.003121507747122562,0.00032204125964435416,0.012960277565962183,0.0002113821068742,,0.0025652394045968,0.0029168006720615,
Hydrogen,2040,,,,0.0009889928412376682,,2.622961394133191e-08,6.312641897502194e-05,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,0.012920838259985279,,,,,,,
Synthetic Gases,2040,,,,3.467063370201273e-10,,,2.1529150328983633e-11,,
Biogenic Gases,2040,,,0.0004169526670065891,6.248113136027162e-05,,,1.4863203771952968e-05,,
Fossil Gases,2040,,,,0.00041266753440261474,,,3.717762580518311e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0013897087467922534,7.251094900161178e-06,0.0010436587917408,0.0010829734611768,0.0003964739367207,0.0037166335167513873
Fossil Liquids,2040,,,,0.0091903822788067,3.367771066565236e-05,0.0073873172301697,0.0047418176879106995,0.001753039842156,0.031164827207343555
Fossil Residuals,2040,,,0.002966352299512221,,,,,,
Biomass [Solid],2040,,,0.00045647106952668586,,,,,,
Renewable Energy Carrier,2040,,,0.0015606155326682257,,,,,,
Overall Demand,2040,,0.01604234600710784,0.005722432828358076,0.025004510445268028,0.0002523109124400135,0.008431002251524442,0.008505197823765607,0.0050663144509382006,0.03488146072409494
Power,2050,,0.0031362986980352408,0.0003236108452804815,0.01500391815771454,0.0002373808705955,,0.0039766356570568,0.0029789987066568,
Hydrogen,2050,,,,0.0013674174169148075,,4.445708287726924e-08,0.00010169941804461123,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,0.013003633029095785,,,,,,,
Synthetic Gases,2050,,,,1.9181990216573437e-09,,,7.04811139942833e-10,,
Biogenic Gases,2050,,,0.001038000926619892,8.924190680993359e-06,,,4.08516418395332e-06,,
Fossil Gases,2050,,,,1.862511076346868e-05,,,1.2919855231020989e-05,,
Synthetic Liquids,2050,,,,4.213050100346972e-12,2.670186332968756e-13,4.020933736636608e-11,1.6864580528790494e-11,2.7153808891784175e-12,2.55712462674254e-10
Biogenic Liquids,2050,,,,8.375249519702783e-05,1.2956433501514058e-05,0.0013669681580208,0.0002817795873646104,0.0005099282662934,0.005293938082106364
Fossil Liquids,2050,,,,0.0002889457020113435,3.037586875746204e-05,0.006699345703858,0.0008284153699908,0.001508930617589,0.02904665318105566
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.00045756110054981554,,,,,,
Renewable Energy Carrier,2050,,,0.003904132150802423,,,,,,
Overall Demand,2050,,0.016139931727131025,0.005723305023252611,0.016771584995694255,0.0002807131731214947,0.008066358359171015,0.005205535773547516,0.0049978575932545805,0.03434059151887449
