FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.006580790760876854,0.0007351002290916817,5.022786824012664e-05,0.0011557510756058848,0.0002277903604785,,0.0003791725137432,3.01996861114036e-05,
Hydrogen,2030,,,,5.283656111244014e-05,,2.3166357481534434e-10,2.4598635870567576e-05,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0002070302133370287,1.6166631783461885e-05,,,4.303970734896349e-06,,
Fossil Gases,2030,,,,0.0002034442821474712,,,1.8069839566955087e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0009583835277984215,5.625438470382552e-06,0.0006338538975374,0.0008562968738091,3.332508913526928e-06,1.7823812752251766e-05
Fossil Liquids,2030,,,,0.009451835382458173,3.9618313514540174e-05,0.0057930828534679,0.005393546397117,2.017168346457447e-05,0.0001274279191674
Fossil Residuals,2030,,,0.0026457983909748727,,,,,,
Biomass [Solid],2030,,,0.0008830572976137143,,,,,,
Renewable Energy Carrier,2030,,,8.694738566017942e-05,,,,,,
Overall Demand,2030,0.006580790760876854,0.0007351002290916817,0.0038730611558259217,0.011838417460905852,0.0002730341124634227,0.0064269369826688745,0.006675988230841719,5.3703878489505e-05,0.00014525173191965175
Power,2040,0.0065166314464684795,0.0005215980805468769,1.4592972676775238e-05,0.003288198876422079,0.000267332998628,,0.0012887433199403001,2.9783908532869145e-05,
Hydrogen,2040,,,,0.0002538681704911405,,1.9392799954232513e-08,3.5548401868284336e-05,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,9.296301033643273e-11,,,1.0948156721779085e-11,,
Biogenic Gases,2040,,,0.0008090434386974429,1.9888199061606483e-05,,,7.533376086321518e-06,,
Fossil Gases,2040,,,,0.00011023453067298261,,,1.9137604212292347e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0004169401728129474,9.17039276247531e-06,0.0007716265368593,0.0005640913233956999,4.048457469194271e-06,2.340641662853338e-05
Fossil Liquids,2040,,,,0.0025783605942906558,4.259188969353732e-05,0.0054617946555969,0.0024037440514657,1.7900564414073904e-05,0.0001124321287735
Fossil Residuals,2040,,,0.0017488691665190042,,,,,,
Biomass [Solid],2040,,,0.0009767952413055328,,,,,,
Renewable Energy Carrier,2040,,,0.00035686933898189334,,,,,,
Overall Demand,2040,0.0065166314464684795,0.0005215980805468769,0.0039061701581806483,0.0066674906367144215,0.00031909528108401265,0.006233440585256155,0.004318798087916755,5.173293041613732e-05,0.00013583854540203337
Power,2050,0.0064390825119871155,0.0002635394606597107,,0.0038330763710021226,0.0003002133950296,,0.0019022272163612,3.041902240645558e-05,
Hydrogen,2050,,,,0.00035214441604083273,,3.2869233863525135e-08,5.661741231548529e-05,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,8.70044268609369e-10,,,2.6855198091930304e-10,,
Biogenic Gases,2050,,,0.001955551764325928,3.4068307217449766e-06,,,2.173206784143539e-06,,
Fossil Gases,2050,,,,6.883362693042184e-06,,,7.190442366028786e-06,,
Synthetic Liquids,2050,,,,2.22160304401638e-12,3.376959998382159e-13,2.97286737647877e-11,9.438632566327578e-12,2.7727179580643154e-14,3.94304446365687e-12
Biogenic Liquids,2050,,,,4.1418277099323036e-05,1.6385881807606203e-05,0.0010106645142242,0.00014530137280522698,5.206957399277256e-06,3.178818888705797e-05
Fossil Liquids,2050,,,,0.00014490104949215878,3.841608072198006e-05,0.0049531446154624,0.00042934381383429997,1.54079268861911e-05,9.227971885962604e-05
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0010963170979208044,,,,,,
Renewable Energy Carrier,2050,,,0.0009155415375954781,,,,,,
Overall Demand,2050,0.0064390825119871155,0.0002635394606597107,0.003967410399842211,0.004381831179315096,0.00035501535789688224,0.005963842028649137,0.002542853742456998,5.1033906719651114e-05,0.00012406791168972846
