FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,3.1808078813566334e-05,0.00021197213462857678,0.0002947738125624284,0.0024087161748257775,0.0004671275484928,,0.0006282312247357,0.0014874277498943,
Hydrogen,2030,,,,0.00010994556158042987,,2.9940609626369037e-10,3.860388707617408e-05,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.00012926908324502087,3.3056771124520497e-05,,,8.433250237987777e-06,,
Fossil Gases,2030,,,,0.0004233207034683043,,,3.103243109170354e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.001981514806922922,1.1536033730079156e-05,0.0008192039737558,0.0014481522324510001,0.0001641363495125,0.003883289897164569
Fossil Liquids,2030,,,,0.0195930929982781,8.12449026753831e-05,0.0074870826105117,0.0092620082230199,0.0009935176689125,0.0380367361995503
Fossil Residuals,2030,,,0.0022860551678964857,,,,,,
Biomass [Solid],2030,,,0.0033502898547493505,,,,,,
Renewable Energy Carrier,2030,,,0.0001247370465212553,,,,,,
Overall Demand,2030,3.1808078813566334e-05,0.00021197213462857678,0.0061851249649745406,0.024549647016200056,0.0005599084848982623,0.008306286883673596,0.011416461248612467,0.0026450817683193,0.04192002609671487
Power,2040,4.2531001030348526e-05,0.00021280622857605441,0.0002912593560803535,0.006849303336398848,0.0005482172644094,,0.0022724746679859,0.0014669494208874,
Hydrogen,2040,,,,0.000528630158911389,,2.5063597220873257e-08,5.850542560662657e-05,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,1.9296669613736468e-10,,,1.9161140236206433e-11,,
Biogenic Gases,2040,,,0.0005213250276825129,4.082073675471693e-05,,,1.3211566212401861e-05,,
Fossil Gases,2040,,,,0.00022887893221654486,,,3.3244582423229066e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0008541260658841722,1.8805638135225187e-05,0.0009972637664711,0.0009728642046391999,0.0001993990255969,0.004393672108948045
Fossil Liquids,2040,,,,0.005287681407832443,8.734278736125689e-05,0.0070589198916128,0.0042151413393947,0.0008816580460487,0.03690103808435079
Fossil Residuals,2040,,,0.001537674009507565,,,,,,
Biomass [Solid],2040,,,0.00327444339643678,,,,,,
Renewable Energy Carrier,2040,,,0.0005037909786558641,,,,,,
Overall Demand,2040,4.2531001030348526e-05,0.00021280622857605441,0.0061284927683630756,0.013789440830964811,0.0006543656899058821,0.008056208721681122,0.007565441805423198,0.002548006492533,0.041294710193298834
Power,2050,2.6696310778905983e-05,0.00021157451029703525,0.00029644920346250954,0.007978806780585332,0.0006156447838719,,0.0034583926904909,0.0014982307393895,
Hydrogen,2050,,,,0.0007330959630713696,,4.2480778456866494e-08,9.381509916396965e-05,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,1.7535708212727771e-09,,,5.667431723359336e-10,,
Biogenic Gases,2050,,,0.0012874728085888038,6.922281595571464e-06,,,3.7003714757829178e-06,,
Fossil Gases,2050,,,,1.400966101383919e-05,,,1.1916743997400548e-05,,
Synthetic Liquids,2050,,,,3.792808597832266e-12,6.925100088031969e-13,3.8421863109496965e-11,1.559076016035077e-11,1.3656491720614304e-12,3.006501821266712e-10
Biogenic Liquids,2050,,,,7.81585619163185e-05,3.360237361493725e-05,0.0013062006708534,0.0002521398314408,0.0002564587227705,0.006259399143320436
Fossil Liquids,2050,,,,0.00025361655629910863,7.877949520192128e-05,0.0064015315948016,0.0007427358011125,0.0007588879544748,0.03440180948670571
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0033867483194102285,,,,,,
Renewable Energy Carrier,2050,,,0.0012414394072420743,,,,,,
Overall Demand,2050,2.6696310778905983e-05,0.00021157451029703525,0.006212109738703616,0.00906461156184517,0.0007280266533812686,0.00770777478485532,0.004562701120015286,0.0025135774180004493,0.04066120893067633
