FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,,0.0003362737310847895,,0.0003931020036790653,,,7.83282584682332e-05,,
Hydrogen,2030,,,,1.827624446796205e-05,,4.101128240432117e-10,5.162994137005741e-06,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,,6.452553999631451e-06,,,8.397989397361688e-07,,
Fossil Gases,2030,,,,7.03991754360106e-05,,,3.691412585452613e-06,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.00034606456220322195,,0.0011221082647848,0.00017577808536670283,,0.0005524486940619629
Fossil Liquids,2030,,,,0.0033253677389378333,,0.0102554645064325,0.0011018500620336,,0.005409986315309055
Fossil Residuals,2030,,,,,,,,,
Biomass [Solid],2030,,,,,,,,,
Renewable Energy Carrier,2030,,,,,,,,,
Overall Demand,2030,,0.0003362737310847895,,0.004159662278723724,,0.011377573181330125,0.0013656506115307307,,0.005962435009371018
Power,2040,,0.0004347633703284716,,0.0011235145947395238,,,0.00026102931499502943,,
Hydrogen,2040,,,,8.727433796592085e-05,,3.4330973100431386e-08,7.358350436273957e-06,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,3.285836061700991e-11,,,2.22295410110442e-12,,
Biogenic Gases,2040,,,,7.710515658804638e-06,,,1.528587009732526e-06,,
Fossil Gases,2040,,,,3.887300101110755e-05,,,3.895215178152039e-06,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.00015944089805371706,,0.0013660064530657,0.00011508004792306241,,0.000625142156911351
Fossil Liquids,2040,,,,0.0009603169320751703,,0.0096689867292966,0.000487755378613,,0.0052481619899561035
Fossil Residuals,2040,,,,,,,,,
Biomass [Solid],2040,,,,,,,,,
Renewable Energy Carrier,2040,,,,,,,,,
Overall Demand,2040,,0.0004347633703284716,,0.002377130312362605,,0.011035027513335401,0.0008766468963782045,,0.005873304146867454
Power,2050,,0.00048631727864349397,,0.0013164394590794142,,,0.00038134486913309995,,
Hydrogen,2050,,,,0.00012131753498132059,,5.8188234100470244e-08,1.1695518369691473e-05,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,3.8478151792399006e-10,,,5.0865570315154466e-11,,
Biogenic Gases,2050,,,,1.424394012031528e-06,,,4.4515965081828994e-07,,
Fossil Gases,2050,,,,2.8433289809790198e-06,,,1.4852548911570242e-06,,
Synthetic Liquids,2050,,,,1.357403602652891e-12,,5.262851685878789e-11,1.9516057112091503e-12,,4.283859938684607e-11
Biogenic Liquids,2050,,,,2.131509547760184e-05,,0.0017891741436655,2.958439156361175e-05,,0.0008905614270451276
Fossil Liquids,2050,,,,8.481940484330691e-05,,0.0087685262034002,8.750451470732252e-05,,0.004892386530442252
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,,,,,,,
Renewable Energy Carrier,2050,,,,,,,,,
Overall Demand,2050,,0.00048631727864349397,,0.0015481596035135758,,0.010557758587928318,0.000512059761132877,,0.005782948000325978
