FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.007780804891708162,0.05047885156377294,0.0005869991914447611,0.01690386163585621,0.0073142933863905,,0.0088639922243538,0.0012424747403241,
Hydrogen,2030,0.004849937118253851,,,0.0007355988565083813,,2.747231989446974e-09,0.0005684959714187,,
Methanol,2030,,0.015532770043957032,,,,,,,
Ammonia,2030,,0.04109300256402446,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0011179198915986426,0.0001445082443118065,,,0.00010457855192162554,,
Fossil Gases,2030,,,,0.0028298084922793836,,,0.0004257505736205,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0126833508877942,0.000180631468834,0.007516691846522,0.020107308632963602,0.0001371059994361,0.0259973854341129
Fossil Liquids,2030,,,,0.1353900801138015,0.0012721344657017,0.0686985105243648,0.1270774641633629,0.0008299029030332,0.24404113026738708
Fossil Residuals,2030,0.04364943406428466,,0.010855127959413078,,,,,,
Biomass [Solid],2030,,,,,,,,,
Renewable Energy Carrier,2030,,,8.820543722503238e-05,,,,,,
Overall Demand,2030,0.05628017607424667,0.10710462417175443,0.012648252479681514,0.16868720823055147,0.0087670593209262,0.07621520511811879,0.15714759011764112,0.0022094836427934,0.2700385157015
Power,2040,0.0074381618203425565,0.051928143904875844,0.0005152157226032678,0.047665593825103,0.008583997934424,,0.030544896280585102,0.0012253688294541,
Hydrogen,2040,0.019924634432348747,,,0.0035848612445873863,,2.2997366090754366e-07,0.0008298263079343,,
Methanol,2040,,0.0168924454810686,,,,,,,
Ammonia,2040,,0.04469011666957987,,,,,,,
Synthetic Gases,2040,,,,1.2284889363178779e-09,,,2.590471797961311e-10,,
Biogenic Gases,2040,,,0.003849401952734385,0.00019906696354447898,,,0.00017833096862702243,,
Fossil Gases,2040,,,,0.001465163543308868,,,0.00045206042690439997,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0051496115134219995,0.0002944590938452,0.0091504981206292,0.0133033051550514,0.0001665615372356,0.030142725001402398
Fossil Liquids,2040,,,,0.037102652583597504,0.0013676152776829,0.064769858660804,0.0569005095930935,0.0007364645791345,0.2342383394986932
Fossil Residuals,2040,0.02988695164852312,3.2741809263825415e-18,0.006236467242410869,,,,,,
Biomass [Solid],2040,,,,,,,,,
Renewable Energy Carrier,2040,,,0.00030824287553952816,,,,,,
Overall Demand,2040,0.057249747901214426,0.11351070605552432,0.010909327793288051,0.09516695090205217,0.010246072305952099,0.0739205867550941,0.1022089289912429,0.0021283949458242,0.2643810645000956
Power,2050,0.006909876127734959,0.054162656936640866,0.0004045402625580216,0.0551511539971559,0.0096397795111195,,0.0454022673414259,0.0012514986687594,
Hydrogen,2050,0.05183475366938666,,,0.0049484627543391335,,3.897868312291493e-07,0.0013235829872827,,
Methanol,2050,,0.018988787535070304,,,,,,,
Ammonia,2050,,0.05023613255447214,,,,,,,
Synthetic Gases,2050,,,,4.26388055600474e-09,,,6.6487129559938905e-09,,
Biogenic Gases,2050,,,0.00730587944779736,2.4401112784959776e-05,,,5.110695766263079e-05,,
Fossil Gases,2050,,,,5.2541084395133837e-05,,,0.00016810238458665083,,
Synthetic Liquids,2050,,,,8.125075711298653e-11,1.0843336886769636e-11,3.5254382841824394e-10,2.2050386878479738e-10,1.1407509376851028e-12,2.589051001723168e-09
Biogenic Liquids,2050,,,,0.0007273686614734217,0.0005261467020982,0.0119851810380149,0.0034314317226407003,0.0002142245127542,0.0425923219994788
Fossil Liquids,2050,,,,0.0047371849411114,0.0012335310614793,0.0587379235030874,0.010132367438695,0.000633912547509,0.2155548826456272
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,,,,,,,
Renewable Energy Carrier,2050,,,0.0006387356599515332,,,,,,
Overall Demand,2050,0.05874462979712162,0.1233875770261833,0.008349155370306916,0.06564111689639127,0.011399457285540336,0.07072349468047735,0.0605088657015104,0.0020996357301633507,0.258147207234157
