FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.022066926315245063,0.0323190297383994,0.005560152563492024,0.0363581611178184,0.0114738672965508,,0.020593047966112,0.0095252047009152,
Hydrogen,2030,0.002592532533849774,,,0.0016381027941208166,,2.3745434344292673e-09,0.0012865162506582,,
Methanol,2030,,0.0001038501713575647,,,,,,,
Ammonia,2030,,0.04209353237000034,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.004211019860912202,0.0004441480958818,,,0.00026366850145559916,,
Fossil Gases,2030,,,,0.0063056012968686,,,0.0010065033100193,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0290593775171794,0.000283354986394,0.005933231760417807,0.0471813186045739,0.0010510979965776,0.005347852960847125
Fossil Liquids,2030,,,,0.2933332221728951,0.0019955860767069,0.0541264779238972,0.30040941637519747,0.0063622983846043,0.0523412282957232
Fossil Residuals,2030,0.023332792804647964,2.4428459255432245e-18,0.06231591602217428,,,,,,
Biomass [Solid],2030,,,0.028609998376365537,,,,,,
Renewable Energy Carrier,2030,,,0.0027129708082182786,,,,,,
Overall Demand,2030,0.0479922516537428,0.0745164122797573,0.10341005763116233,0.3671386129947641,0.013752808359651699,0.06005971205885845,0.37074047100801644,0.0169386010820971,0.057689081256570324
Power,2040,0.021989304642750576,0.03277453486385125,0.005854797558520175,0.1031255394647478,0.0134656415829187,,0.0731448907697398,0.0093940653728116,
Hydrogen,2040,0.009760146805220745,,,0.0079064770654711,,1.9877551247850697e-07,0.001921625411303,,
Methanol,2040,,0.00010762505346947101,,,,,,,
Ammonia,2040,,0.043623603243194795,,,,,,,
Synthetic Gases,2040,,,,2.835572424067695e-09,,,6.18072882759365e-10,,
Biogenic Gases,2040,,,0.017158843919222514,0.0005614740915223,,,0.000425910510187,,
Fossil Gases,2040,,,,0.003368365795429,,,0.0010746723895496,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.012258376022249901,0.0004619153742628,0.0072559170804441,0.0315148618346914,0.0012769134743577,0.006053531335024656
Fossil Liquids,2040,,,,0.0787735171741967,0.0021453659813628,0.0510458362244189,0.1358901254119314,0.0056459706129723,0.0507687284599282
Fossil Residuals,2040,0.014640220207831118,1.163869001175044e-18,0.041394582128672676,,,,,,
Biomass [Solid],2040,,,0.03106485599380355,,,,,,
Renewable Energy Carrier,2040,,,0.010437544166559279,,,,,,
Overall Demand,2040,0.04638967165580244,0.07650576316051552,0.10591062376677819,0.20599375244918922,0.0160729229385443,0.058301952080375474,0.24397208694547512,0.0163169494601416,0.056822259794952854
Power,2050,0.021896483178157202,0.033319236511155044,0.006207139618343215,0.119863573604836,0.0151218367975771,,0.1103569259693544,0.0095943849930879,
Hydrogen,2050,0.02257679299483188,,,0.0109500861912285,,3.369084826026959e-07,0.003075118625393,,
Methanol,2050,,0.00011213912892074802,,,,,,,
Ammonia,2050,,0.04545329094274342,,,,,,,
Synthetic Gases,2050,,,,2.141428474265807e-08,,,1.73833091785545e-08,,
Biogenic Gases,2050,,,0.043804888208937964,8.930977162742288e-05,,,0.0001203184374577695,,
Fossil Gases,2050,,,,0.0001827415596148154,,,0.0003905917191383,,
Synthetic Liquids,2050,,,,7.657144049931777e-11,1.7009846600094748e-11,2.768470007493469e-10,5.115228100542922e-10,8.745357826250263e-12,4.162602952504738e-10
Biogenic Liquids,2050,,,,0.0011775139283534,0.0008253616746665,0.00954504521893,0.0081532404406357,0.0016423129337868,0.00862275038394454
Fossil Liquids,2050,,,,0.0048371862589392,0.0019350292581813,0.0461476331789721,0.0240387721251929,0.0048597742726964,0.047319404481436254
Fossil Residuals,2050,,2.19984030991327e-18,,,,,,,
Biomass [Solid],2050,,,0.03410725045252412,,,,,,
Renewable Energy Carrier,2050,,,0.024757626158443204,,,,,,
Overall Demand,2050,0.04447327617298908,0.0788846665828192,0.1088769044382485,0.1371004328054555,0.017882227747434747,0.055693015583231704,0.14613498521200408,0.01609647220831646,0.05594215528164109
