FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008085735270605013,0.008947112198886964,0.0008199700040001456,0.013701956081362949,0.0024535981698883,,0.0034820206755329,0.0004291338112867,
Hydrogen,2030,,,,0.0006048130745747752,,4.6339966623162785e-09,0.00023006250283320965,,
Methanol,2030,,7.4739721563973e-05,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.00036212109255015984,0.00013463790811539528,,,3.7002435798279166e-05,,
Fossil Gases,2030,,,,0.002327188381595282,,,0.00016382159233385113,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0104205708008055,6.059328194027003e-05,0.0089490738962905,0.0078066219617339005,4.735454024036412e-05,0.005130419007949293
Fossil Liquids,2030,,,,0.10880883606830839,0.0004267407160212,0.0811276643944179,0.0488992894614437,0.0002866371317003,0.0501792817045569
Fossil Residuals,2030,,,0.0032590898329514385,,,,,,
Biomass [Solid],2030,,,,,,,,,
Renewable Energy Carrier,2030,,,,,,,,,
Overall Demand,2030,0.008085735270605013,0.009021851920450937,0.004441180929501744,0.13599800231476228,0.00294093216784977,0.09007674292470506,0.060618818629675844,0.0007631254832273641,0.05530970071250619
Power,2040,0.009639506677087344,0.009087767896480517,0.00044862187316005117,0.0387057742061143,0.0028795237638972,,0.011569060479869601,0.0004232256632263,
Hydrogen,2040,,,,0.002937579253255237,,3.8791670348915115e-07,0.00032720924655101655,,
Methanol,2040,,6.72894938918624e-05,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,1.0229838146886941e-09,,,9.85606236653328e-11,,
Biogenic Gases,2040,,,0.0014826386854801807,0.0001789569760776939,,,6.776706688190254e-05,,
Fossil Gases,2040,,,,0.0012183216566759155,,,0.00017276915173423553,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0042125048287027,9.877704592898886e-05,0.0111129260681684,0.0051060944550518,5.7528080827686485e-05,0.005809731408513409
Fossil Liquids,2040,,,,0.028783584932767697,0.0004587699952913,0.07658536659775869,0.021623831135409,0.0002543648103777,0.048663694730089
Fossil Residuals,2040,,,0.002223958028220271,,,,,,
Biomass [Solid],2040,,,,,,,,,
Renewable Energy Carrier,2040,,,,,,,,,
Overall Demand,2040,0.009639506677087344,0.00915505739037238,0.0041552185868605025,0.07603672287657737,0.0034370708051174887,0.08769868058263058,0.03886673163405818,0.0007351185544316864,0.054473426138602406
Power,2050,0.01139900570146329,0.009247047158318054,2.8105270015566383e-05,0.044818420732334795,0.0032336883574589,,0.016874626786280503,0.0004322505529608,
Hydrogen,2050,,,,0.0040596457540099,,6.574875663464897e-07,0.0005199128098262,,
Methanol,2050,,5.8852816356307354e-05,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,5.047263276392111e-09,,,2.230309643506691e-09,,
Biogenic Gases,2050,,,0.0037992639516216194,2.458547981493456e-05,,,1.9763942547637565e-05,,
Fossil Gases,2050,,,,5.170136468685901e-05,,,6.60249994654634e-05,,
Synthetic Liquids,2050,,,,3.635139314769846e-11,3.637424715607438e-12,4.102616117173518e-10,8.676915898679511e-11,3.93999798732349e-13,4.0117565537284074e-10
Biogenic Liquids,2050,,,,0.0004114165352042191,0.0001764972386482,0.0148291746122799,0.0013122610033398,7.399022180948297e-05,0.008274360287381074
Fossil Liquids,2050,,,,0.002196610500836,0.0004137911066812,0.0684978654615489,0.0038819883370274,0.0002189447388395,0.0453483827234034
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,,,,,,,
Renewable Energy Carrier,2050,,,,,,,,,
Overall Demand,2050,0.01139900570146329,0.009305899974674361,0.0038273692216371858,0.05156238545050138,0.0038239767064257245,0.08332769797165675,0.022674580195565806,0.0007251855140037827,0.053622743411960126
