FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.003347484038416777,0.010836237267449889,0.0038372947234971443,0.016457114504504308,0.0054385057909002,,0.0067536828970377,0.0022912613703411,
Hydrogen,2030,0.0005636930456788687,,,0.0007755803143845905,,1.5099343443555996e-09,0.0004504922364282554,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,0.010718682137313952,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.001321923751049473,0.00029468190533960003,,,6.918841025270784e-05,,
Fossil Gases,2030,,,,0.0029881629419515,,,0.00031557901936534263,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.014803441661572377,0.0001343076135147,0.0037493819089096385,0.015083355914879498,0.0002528386855318,0.0051948817831295
Fossil Liquids,2030,,,,0.1394516376886295,0.0009458891369323,0.0341995366953689,0.09419884985513931,0.0015304330954511,0.04768466602398019
Fossil Residuals,2030,0.005073237411109819,,0.024660534020233493,,,,,,
Biomass [Solid],2030,,,0.0032787499246074293,,,,,,
Renewable Energy Carrier,2030,,,0.0014181355845320268,,,,,,
Overall Demand,2030,0.008984414495205465,0.02155491940476384,0.03451663800391957,0.17477061901638188,0.0065187025413472,0.03794892011421288,0.1168711483331028,0.004074533151324,0.05287954780710969
Power,2040,0.002622470521128136,0.010653516202473727,0.0039679931786658984,0.047145297467156996,0.0063825881748611,,0.0221672230190457,0.002259716171466,
Hydrogen,2040,0.001614804446179017,,,0.0036905536638659002,,1.2639818196474568e-07,0.0006354295664757,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,0.008216655125306753,,,,,,,
Synthetic Gases,2040,,,,1.4114185250204872e-09,,,1.8914187679557487e-10,,
Biogenic Gases,2040,,,0.005249890622688761,0.00034735438587049996,,,0.00012999344468700487,,
Fossil Gases,2040,,,,0.0016676381462925,,,0.00033205549966931975,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.006877661779708368,0.0002189435674046,0.0045867319142269,0.0098279020055335,0.0003071579676164,0.0060974512509034
Fossil Liquids,2040,,,,0.039865990417804,0.0010168834109446,0.0322537194880227,0.0414804807529571,0.0013581224519344,0.045501693453126796
Fossil Residuals,2040,0.002422206669268525,,0.016381877466952008,,,,,,
Biomass [Solid],2040,,,0.003322654056724997,,,,,,
Renewable Energy Carrier,2040,,,0.005671361021945911,,,,,,
Overall Demand,2040,0.006659481636575678,0.01887017132778048,0.03459377634697758,0.09959449727211678,0.0076184151532103,0.03684057780043156,0.0745730844775102,0.0039249965910168,0.051599144704030195
Power,2050,0.0023262577005415484,0.010578863357048744,0.004021391573493941,0.05533447033966601,0.0071676092172858,,0.0321219410561958,0.0023079024962823,
Hydrogen,2050,0.00338334520507663,,,0.005136423638254999,,2.1423473725963334e-07,0.0010083991066546,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,0.007194422490000695,,,,,,,
Synthetic Gases,2050,,,,1.8360837688791704e-08,,,4.0844826586110994e-09,,
Biogenic Gases,2050,,,0.013086436692806487,6.640844061930469e-05,,,3.813628671025667e-05,,
Fossil Gases,2050,,,,0.000131868484186315,,,0.00012805475806426303,,
Synthetic Liquids,2050,,,,3.66240881979763e-11,8.062508206343759e-12,1.7488249162363834e-10,1.6839073711416238e-10,2.1036713841091666e-12,5.760775405349083e-10
Biogenic Liquids,2050,,,,0.0008048153837875063,0.0003912137147176,0.0060356504015384,0.0025226544953628003,0.0003950537863859,0.0085810074458284
Fossil Liquids,2050,,,,0.0024452817631911,0.0009171857712999,0.029152160259531802,0.0074672623820571,0.0011690051194949,0.0415694018698083
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0033408812647009044,,,,,,
Renewable Energy Carrier,2050,,,0.014177442942530503,,,,,,
Overall Demand,2050,0.005709602905618179,0.017773285847049437,0.03462615247353183,0.063919286447167,0.008476008711365808,0.03518802507068995,0.04328645233791821,0.0038719614042667713,0.050150409891714244
