FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.014801774614784782,0.01139030213870841,0.0007696813359221035,0.014667084745892624,0.0074607319912634,,0.0055395504256135,0.004118715215712,
Hydrogen,2030,0.001791074666066297,,,0.0006654177536922233,,2.347046654219773e-09,0.00034191414451279997,,
Methanol,2030,,4.291642936587502e-05,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.00016222185467326322,0.00019065518833377167,,,7.344404016194889e-05,,
Fossil Gases,2030,,,,0.0025617408934113,,,0.0002728638287244,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.011892869349592817,0.0001842478701587,0.0037413218503423,0.012748643301911,0.0004544966168855,0.0101141989679102
Fossil Liquids,2030,,,,0.1187344724613382,0.00129760371974,0.0337179086254337,0.08143998967468191,0.002751068978187,0.09821737666215119
Fossil Residuals,2030,0.01611967199459667,,0.006974068832852331,,,,,,
Biomass [Solid],2030,,,5.85212486519479e-05,,,,,,
Renewable Energy Carrier,2030,,,0.0006126746823103291,,,,,,
Overall Demand,2030,0.03271252127544775,0.011433218568074286,0.008577167954409975,0.1487122403922609,0.0089425835811621,0.03745923282282266,0.10041640541560556,0.007324280810784499,0.10833157563006139
Power,2040,0.013907209725379866,0.008461561151471965,0.0006792840706216341,0.0416551550964903,0.0087558571442402,,0.0199412739404764,0.004062010340279,
Hydrogen,2040,0.006453909620060234,,,0.0032052968789016,,1.9647372827089785e-07,0.0005161598021467,,
Methanol,2040,,4.050221105330121e-05,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,1.1601998388275791e-09,,,1.6823698775966117e-10,,
Biogenic Gases,2040,,,0.0006482590092512301,0.0002379655023168528,,,0.00011598112175275954,,
Fossil Gases,2040,,,,0.0013771077054220001,,,0.00029205766628809997,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.005067997332865368,0.0003003544246197,0.0047116911082996,0.008551460336099801,0.0005521396254591,0.0115019808757939
Fossil Liquids,2040,,,,0.0318974994688805,0.001394996141792,0.0318594924366628,0.0370039623846701,0.0024413275936083,0.0950828563896442
Fossil Residuals,2040,0.009680864430090348,,0.0046924939248701005,,,,,,
Biomass [Solid],2040,,,6.024014726360105e-05,,,,,,
Renewable Energy Carrier,2040,,,0.002480070273995504,,,,,,
Overall Demand,2040,0.030041983775530447,0.008502063362525266,0.00856034742600207,0.08344102314507645,0.0104512077106519,0.036571380018690675,0.06642089541967085,0.0070554775593464,0.1065848372654381
Power,2050,0.01297318438447194,0.005403629489461131,0.0005848992612697032,0.0484692583120926,0.0098327763993107,,0.0302788984452064,0.0041486288953594,
Hydrogen,2050,0.014280460916890432,,,0.0044422352797505,,3.3300714377582056e-07,0.0008272266979925001,,
Methanol,2050,,3.798149834801283e-05,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,9.696041495515883e-09,,,4.911530650737594e-09,,
Biogenic Gases,2050,,,0.0016187727596749062,3.920483739871504e-05,,,3.2558476933486135e-05,,
Fossil Gases,2050,,,,7.973232881405235e-05,,,0.0001050758894760794,,
Synthetic Liquids,2050,,,,2.543041249633832e-11,1.106043005517058e-11,1.6867318985981948e-10,1.3750810648846396e-10,3.7815080595970975e-12,8.293100622859092e-10
Biogenic Liquids,2050,,,,0.00046466388095050133,0.0005366806231407,0.0063679388916051995,0.0022152590609124,0.0007101389924668,0.016358070229206403
Fossil Liquids,2050,,,,0.0016600861490302,0.0012582274413164,0.028206035481242998,0.0065271019946059,0.002101374917429,0.0884168443851004
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,6.206055625769702e-05,,,,,,
Renewable Energy Carrier,2050,,,0.006276851166159292,,,,,,
Overall Demand,2050,0.027253645301362373,0.005441610987809144,0.008542583743361597,0.05515519050950848,0.011627684474828232,0.03457430754866516,0.03998612561416552,0.006960142809036708,0.10477491544361688
