FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0025849398453920906,0.0025644641690281645,0.00025910305664240133,0.003867550949853634,0.0002568735268459,,0.0008564715863256,0.0008810105960647,
Hydrogen,2030,,,,0.0001741233353551002,,2.4929170805076754e-11,5.2165601359514444e-05,,
Methanol,2030,,,,,,,,,
Ammonia,2030,,,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.00023872159308265255,4.6709348922256325e-05,,,1.1777428584393357e-05,,
Fossil Gases,2030,,,,0.0006702424723200279,,,4.254209269224784e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0030764507634778427,6.343667119656581e-06,6.820861712839786e-05,0.001980603565556,9.721874768721148e-05,0.0009813852249141
Fossil Liquids,2030,,,,0.0310967063710098,4.4676587274332656e-05,0.0006233899828972,0.0126970711122363,0.0005884652842813,0.0096127645369281
Fossil Residuals,2030,,,0.00368817969301038,,,,,,
Biomass [Solid],2030,,,0.0011460855018133173,,,,,,
Renewable Energy Carrier,2030,,,0.0001710761505851674,,,,,,
Overall Demand,2030,0.0025849398453920906,0.0025644641690281645,0.005503165995133919,0.038931783240938655,0.00030789378123988924,0.0006915986249547687,0.015640631386754058,0.0015666946280332114,0.010594149761842201
Power,2040,0.0025375694837052147,0.0026082066667257125,0.00020471324656825876,0.0109665996836283,0.0003014647768924,,0.0031276185176228,0.0008688811834959,
Hydrogen,2040,,,,0.0008407390440067625,,2.0868469410139035e-09,7.96762428343232e-05,,
Methanol,2040,,,,,,,,,
Ammonia,2040,,,,,,,,,
Synthetic Gases,2040,,,,3.0099976924572854e-10,,,2.634244282946768e-11,,
Biogenic Gases,2040,,,0.0009450240860476342,5.919770424781624e-05,,,1.816853598663156e-05,,
Fossil Gases,2040,,,,0.00035760987824630966,,,4.5653301544680066e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.0012898175122112677,1.0341223950440837e-05,8.303424373222285e-05,0.0013345459759956,0.0001181049999963,0.0011103608962393
Fossil Liquids,2040,,,,0.0082906328421787,4.802981521093037e-05,0.0005877402693978,0.0057965788066297,0.0005222102927216,0.0093257754520696
Fossil Residuals,2040,,,0.0024131526847960038,,,,,,
Biomass [Solid],2040,,,0.0010330863097827762,,,,,,
Renewable Energy Carrier,2040,,,0.0006637443704830346,,,,,,
Overall Demand,2040,0.0025375694837052147,0.0026082066667257125,0.005259720697677707,0.021804596965518924,0.0003598358160537712,0.0006707765999769638,0.010402241406956178,0.0015091964762138,0.0104361363483089
Power,2050,0.002499251978777664,0.002643589621623722,0.00016071776624449597,0.012741410382848936,0.0003385431825371,,0.0047808689103901,0.0008874092585982,
Hydrogen,2050,,,,0.0011642329606266306,,3.5370374728481372e-09,0.00012790057823395428,,
Methanol,2050,,,,,,,,,
Ammonia,2050,,,,,,,,,
Synthetic Gases,2050,,,,2.227370036129704e-09,,,7.98862568146151e-10,,
Biogenic Gases,2050,,,0.002485100133043488,9.349840352134126e-06,,,5.0662014148809195e-06,,
Fossil Gases,2050,,,,1.915507313125229e-05,,,1.624687691858186e-05,,
Synthetic Liquids,2050,,,,7.203956199715926e-12,3.8081138419554413e-13,3.199083786398123e-12,2.124473067637537e-11,8.088805598649355e-13,7.597388414361179e-11
Biogenic Liquids,2050,,,,0.00011657205610718347,1.8477951575998956e-05,0.0001087569693328,0.0003461973294988,0.0001519017325245,0.0015818679863456
Fossil Liquids,2050,,,,0.0004604453049551258,4.3320859240599866e-05,0.0005330047601981,0.0010193311062008,0.0004494929781736,0.0086941921019453
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0011638190404609997,,,,,,
Renewable Energy Carrier,2050,,,0.0017288856130916323,,,,,,
Overall Demand,2050,0.002499251978777664,0.002643589621623722,0.005538522552840616,0.014511167852595255,0.0004003419937345102,0.0006417652697674566,0.006295611822764415,0.0014888039701051806,0.010276060164264782
