FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008061202767657882,0.0037173543001739638,0.0008052079755571437,0.00408407370820503,0.0017490095903823,,0.001314333377595,0.0012877742694912,
Hydrogen,2030,0.0029297059664703993,,,0.00018952595691066237,,7.541896700914514e-11,7.787657911563706e-05,,
Methanol,2030,,3.699259365293863e-05,,,,,,,
Ammonia,2030,,0.006592284555037041,,,,,,,
Synthetic Gases,2030,,,,,,,,,
Biogenic Gases,2030,,,0.0005500310501749323,6.470281442104808e-05,,,1.939025248945784e-05,,
Fossil Gases,2030,,,,0.0007299738205062158,,,6.639032630352597e-05,,
Synthetic Liquids,2030,,,,,,,,,
Biogenic Liquids,2030,,,,0.0035155870790577306,4.319298592853771e-05,0.000206353572093,0.0030691416041586,0.0001421047628064,7.395552156904465e-05
Fossil Liquids,2030,,,,0.0338815414336028,0.0003041955337624,0.0018859603843858,0.0198141550304741,0.0008601604282301,0.0005287307690826
Fossil Residuals,2030,0.026367353698233585,1.2789769243681803e-20,0.009492208018359321,,,,,,
Biomass [Solid],2030,,,0.0021194958386509415,,,,,,
Renewable Energy Carrier,2030,,,0.00050465872964277,,,,,,
Overall Demand,2030,0.037358262432361865,0.010346631448863943,0.01347160161238511,0.042465404812703486,0.0020963981100732376,0.002092314031897767,0.024361287170136317,0.0022900394605277,0.0006026862906516446
Power,2040,0.00801421731639082,0.003457823638836334,0.0007873406744893012,0.01165675673348584,0.0020526240769976,,0.0049383647000153,0.0012700446922534,
Hydrogen,2040,0.011847192471960352,,,0.0009064259029022922,,6.313400547017451e-09,0.00012187317937679764,,
Methanol,2040,,3.6003104593611516e-05,,,,,,,
Ammonia,2040,,0.006415952138219271,,,,,,,
Synthetic Gases,2040,,,,3.389392637646076e-10,,,4.145795003056843e-11,,
Biogenic Gases,2040,,,0.0020781559525765475,7.782332623397337e-05,,,2.8619298704801818e-05,,
Fossil Gases,2040,,,,0.00040120773448202804,,,7.161271742331518e-05,,
Synthetic Liquids,2040,,,,,,,,,
Biogenic Liquids,2040,,,,0.001575216502142095,7.041169281899976e-05,0.0002512059842517,0.0020866582874543,0.0001726342234394,9.71191615333176e-05
Fossil Liquids,2040,,,,0.0093960001554407,0.0003270271112,0.0017781082385071,0.0091304669370087,0.0007633154257556,0.0004665094298364
Fossil Residuals,2040,0.017770788707940525,,0.006037271254771215,,,,,,
Biomass [Solid],2040,,,0.0019548385635546326,,,,,,
Renewable Energy Carrier,2040,,,0.0019466915506042624,,,,,,
Overall Demand,2040,0.037632198496291694,0.009909778881649216,0.012804297995995959,0.024013430693626193,0.0024500628810165998,0.002029320536159347,0.016377595161441164,0.0022059943414484,0.0005636285913697176
Power,2050,0.007974413997635115,0.0032379644832567535,0.0007722045448889857,0.013629900978535595,0.0023050848418919,,0.007646782207488201,0.0012971272023691,
Hydrogen,2050,0.02988984706647802,,,0.0012593296311043,,1.0700705392917398e-08,0.00019628379337097808,,
Methanol,2050,,3.516486749315624e-05,,,,,,,
Ammonia,2050,,0.006266573656065958,,,,,,,
Synthetic Gases,2050,,,,3.774845040325875e-09,,,1.3490761050136704e-09,,
Biogenic Gases,2050,,,0.0049398672685842,1.4139172757200905e-05,,,7.875353694012995e-06,,
Fossil Gases,2050,,,,2.8297697999390597e-05,,,2.4935617418122743e-05,,
Synthetic Liquids,2050,,,,7.20865110884525e-12,2.592882074158322e-12,9.678283984348044e-12,3.255381781524249e-11,1.1823417070560673e-12,1.6360691953680746e-11
Biogenic Liquids,2050,,,,0.0001622105500796102,0.0001258133327862,0.000329025716349,0.0005427956238868,0.0002220349488531,0.0001318972613522
Fossil Liquids,2050,,,,0.00048740168956104584,0.0002949646045886,0.0016125152633203,0.0015959837096004,0.0006570244378383,0.0003828919678056
Fossil Residuals,2050,,,,,,,,,
Biomass [Solid],2050,,,0.0018217831396290312,,,,,,
Renewable Energy Carrier,2050,,,0.004708618200607745,,,,,,
Overall Demand,2050,0.037864261064113135,0.009539703006815867,0.012242473153709962,0.015581283502090832,0.002725862781859582,0.001941551690052977,0.010014657687088438,0.0021761865902428417,0.000514789245518492
