FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008772404736130515,0.0209314987340594,0.002662064146729616,0.010666734178122509,0.010084945861675201,0.0,0.0031798127942980004,0.0038211923821699443,0.0
Hydrogen,2030,0.005275666120273808,0.0,0.0,0.0004855637661415005,0.0,1.1152298791855606e-09,0.00018272313703080002,0.0,0.0
Methanol,2030,0.0,0.000122154073729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0087295806480445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0014823725983592088,0.00014685974860800013,0.0,0.0,5.035198728409828e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0018695820090590014,0.0,0.0,0.00016350933967690002,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.008898802267367707,0.00024905462330720003,0.0029406862632813022,0.007502952375556701,0.0004216652327744938,0.0001424131506473
Fossil Liquids,2030,0.0,0.0,0.0,0.08829551818042428,0.0017540186779005005,0.026856640122734015,0.048797634000050605,0.0025523405410915628,0.001018155413845
Fossil Residuals,2030,0.04748099508246478,0.0,0.0174512914666436,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.012365684298950073,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0004566597868233027,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0615290659388691,0.0297832334558329,0.0344180722975058,0.110363060149723,0.0120880191628829,0.0297973275012452,0.0598769836338971,0.006795198156036,0.0011605685644923
Power,2040,0.012165757563708478,0.021176758892070262,0.005593366192300145,0.015812295810635257,0.012161801354414414,0.0,0.008079253533499567,0.004143870723351555,0.0001385977397442053
Hydrogen,2040,0.009183391350369533,0.001649065358342223,0.0016516442789451262,0.0004540568430497948,0.0,1.0820243821911349e-09,0.0008441345577653611,0.0,5.939903131894516e-06
Methanol,2040,0.0,0.00012358538678522638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.008831867558136808,0.00033032885578902527,0.0,0.0,0.0,0.0,0.0,4.751922505515613e-05
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0012752316045933757,6.81777915307136e-05,0.0,0.0,2.7985905619161345e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0008679299377219126,0.0,0.0,9.087937129929836e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.004746550178132019,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.004131157050234711,0.00023797174988135072,0.002332645101132761,0.0041701813249723566,0.00033209057256308424,0.00010888777467951432
Fossil Liquids,2040,0.0,0.0,0.0,0.04099008399959479,0.0016759652503607564,0.021303534075504445,0.027121987695510105,0.0020101449343829813,0.0007784721901564352
Fossil Residuals,2040,0.04049651148287559,0.0,0.015012715726037663,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.01063775156657614,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.002341889481691702,0.001099376905561482,0.0017141633436779256,0.0003429599558705342,5.15435359771781e-05,0.000527394464236891,0.0003712880272264504,5.9706162726780036e-05,5.939903131894516e-06
Overall Demand,2040,0.0641875498786453,0.032880654100896,0.0362152015679194,0.0626666613886377,0.0141272818906337,0.0289101249010305,0.0407057104158923,0.0065458123930244,0.0010853567358991
Power,2050,0.026699295919966844,0.016803415696474762,0.01897014239192115,0.03944055742333417,0.015403217431124697,0.0,0.02137953801946523,0.006134496104582729,0.00069391615085366
Hydrogen,2050,0.026699295919966844,0.007172826832449999,0.009485071195960575,0.0008303275247017721,0.0,1.034584450634046e-09,0.00251523976699591,0.0,2.9739263608014006e-05
Methanol,2050,0.0,9.80630057104438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.007007944072648126,0.0018970142391921152,0.0,0.0,0.0,0.0,0.0,0.00023791410886411205
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.024878338583590124,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.013349647959983422,0.0047818845549666665,0.007588056956768461,0.001245491287052658,0.000314351376145402,0.002764259842621125,0.001257619883497955,0.00032286821603067,2.9739263608014006e-05
Overall Demand,2050,0.0667482397999171,0.03586413416225,0.0379402847838423,0.0415163762350886,0.0157175688072701,0.0276425994607957,0.0251523976699591,0.0064573643206134,0.0009913087869338
