FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008083560184220538,0.054706157827446505,0.0017085754866932085,0.01488591470454681,0.0063404509534177,0.0,0.004298685850337605,0.0012489993638666,0.0
Hydrogen,2030,0.0013208309040218062,0.0,0.0,0.0006733173068298004,0.0,1.3199491533821162e-09,0.0002562620300817003,0.0,0.0
Methanol,2030,0.0,0.0005746595190444001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0172496004865659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0016829375216045085,0.00019084261735480016,0.0,0.0,6.247594833958622e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.002592086439368502,0.0,0.0,0.00021634641351490026,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.012105755948808208,0.0001565817650843,0.0036115082661977945,0.010016726873299912,0.0001378259859298,0.014738959509720501
Fossil Liquids,2030,0.0,0.0,0.0,0.1213813864701165,0.0011027594546511,0.03300723825056415,0.06456891157268799,0.0008342609827941001,0.14258757968487992
Fossil Residuals,2030,0.011887478136196455,8.185452315956358e-19,0.026732650879322733,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.009530239754080946,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0012873570205423064,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0212918692244388,0.0725304178330568,0.0409417606622437,0.1518293034870246,0.0075997921731531,0.0366187478367111,0.0794194086882617,0.0022210863325905,0.1573265391946004
Power,2040,0.0021184919212171773,0.05144744509865789,0.003593572099223135,0.020140210585931025,0.0076785850233448295,0.0,0.009159505928629819,0.0013544703798641052,0.009498761543690178
Hydrogen,2040,0.0008428767181314013,0.006221618594617044,0.0025824945943210267,0.0026534146478649078,0.0,1.280209311410798e-09,0.003055777640028696,0.0,0.013106512853738239
Methanol,2040,0.0,0.0005404284495670621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.016222083751623696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0013592976864970738,8.799080369693176e-05,0.0,0.0,3.42596436899509e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0011951196866469506,0.0,0.0,0.00011863687126975352,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.005831165677189919,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.005581537342438649,0.00014961391256993498,0.0028637804361067503,0.005492825683149665,0.00010854750883855034,0.011849492578962208
Fossil Liquids,2040,0.0,0.0,0.0,0.055964678630964035,0.0010536869126811354,0.02617340905366297,0.035407352152613814,0.0006570382993641298,0.1146343109372045
Fossil Residuals,2040,0.002547071826277473,6.29357781080746e-19,0.02159178818447945,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.007697512642735512,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00020358863179414875,0.003110809297308522,0.0036222844838771006,0.0,0.0,0.0006479072974655466,0.0,1.951562544001469e-05,0.005617076937316389
Overall Demand,2040,0.0057120290974202,0.0775423851917742,0.0404469496911333,0.0856229516975425,0.0088818858485959,0.0355162637446345,0.0532683579193817,0.0021395718135068,0.1547061548509115
Power,2050,0.0,0.03534302442973686,0.01219334772904197,0.04836256140150226,0.0098817064063952,0.0,0.02275084820995448,0.00200512849549722,0.05114738545340099
Hydrogen,2050,0.0,0.023429211913020227,0.014225572350548964,0.008534569659088635,0.0,1.2248397602305895e-09,0.00975036351855192,0.0,0.07057381762840571
Methanol,2050,0.0,0.00037125995001201266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.01114413944629158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.030582154157077202,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,0.011714605956510114,0.014225572350548964,0.0,0.0,0.003398017128564134,0.0,0.00010553307871038,0.030245921840745305
Overall Demand,2050,0.0,0.0820022416955708,0.0406444924301399,0.0568971310605909,0.0098817064063952,0.0339801725104811,0.0325012117285064,0.0021106615742076,0.151967124922552
