FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008083560184220538,0.054706157827446505,0.0017085754866932085,0.01488591470454681,0.0063404509534177,0.0,0.004298685850337605,0.0012489993638666,0.0
Hydrogen,2030,0.0013208309040218062,0.0,0.0,0.0006733173068298004,0.0,1.3199491533821162e-09,0.0002562620300817003,0.0,0.0
Methanol,2030,0.0,0.0005746595190444001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0172496004865659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0016829375216045085,0.00019084261735480016,0.0,0.0,6.247594833958622e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.002592086439368502,0.0,0.0,0.00021634641351490026,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.012105755948808208,0.0001565817650843,0.0036115082661977945,0.010016726873299912,0.0001378259859298,0.014738959509720501
Fossil Liquids,2030,0.0,0.0,0.0,0.1213813864701165,0.0011027594546511,0.03300723825056415,0.06456891157268799,0.0008342609827941001,0.14258757968487992
Fossil Residuals,2030,0.011887478136196455,8.185452315956358e-19,0.026732650879322733,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.009530239754080946,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0012873570205423064,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0212918692244388,0.0725304178330568,0.0409417606622437,0.1518293034870246,0.0075997921731531,0.0366187478367111,0.0794194086882617,0.0022210863325905,0.1573265391946004
Power,2040,0.0021897993310403866,0.05235413606118368,0.005438211095166725,0.02168464883552454,0.007646179369778462,0.0,0.009639707101879915,0.0013544703798641052,0.009498761543690178
Hydrogen,2040,0.000706509742669948,0.0031656330630096575,0.0018446389959435908,0.00037940510486599786,0.0,1.280209311410798e-09,0.00017177950944349523,0.0,0.0
Methanol,2040,0.0,0.0029821337925275753,0.0,0.0007803592781784349,0.0,0.0,0.0019423582866260275,0.0,0.013106512853738239
Ammonia,2040,0.0,0.016507975824645558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0013592976864970738,8.791967647259479e-05,0.0,0.0,3.423948926121844e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0011941536135746504,0.0,0.0,0.00011856707899786979,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.005831165677189919,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.005577025515724709,0.00014961391256993498,0.0028637804361067503,0.005489594337115458,0.00010854750883855034,0.011849492578962208
Fossil Liquids,2040,0.0,0.0,0.0,0.05591943967320155,0.0010536869126811354,0.02617340905366297,0.03538652254440121,0.0006570382993641298,0.1146343109372045
Fossil Residuals,2040,0.0026073160436910583,6.404493525126591e-19,0.02159178818447945,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.007697512642735512,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0002084039800188065,0.002532506450407726,0.002515501086310946,0.0,3.240565356636741e-05,0.0006479072974655466,0.0004855895716565069,1.951562544001469e-05,0.005617076937316389
Overall Demand,2040,0.0057120290974202,0.0775423851917742,0.0404469496911333,0.0856229516975425,0.0088818858485959,0.0355162637446345,0.0532683579193817,0.0021395718135068,0.1547061548509115
Power,2050,0.0,0.03766589099109603,0.022354470836576948,0.053813627252124,0.009684072278267295,0.0,0.024297508202862004,0.00200512849549722,0.05114738545340099
Hydrogen,2050,0.0,0.01248453062750067,0.010161123107534975,0.0002512076373024734,0.0,1.2248397602305895e-09,0.00010453412469039557,0.0,0.0
Methanol,2050,0.0,0.009987624502000537,0.0,0.0028322961711644214,0.0,0.0,0.006479335520763201,0.0,0.07057381762840571
Ammonia,2050,0.0,0.011876571072973031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.030582154157077202,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,0.009987624502000537,0.00812889848602798,0.0,0.00019763412812790398,0.003398017128564134,0.0016198338801908002,0.00010553307871038,0.030245921840745305
Overall Demand,2050,0.0,0.0820022416955708,0.0406444924301399,0.0568971310605909,0.0098817064063952,0.0339801725104811,0.0325012117285064,0.0021106615742076,0.151967124922552
