FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0006698010943704,0.004129039467848648,0.0008113821620324091,0.00816329269338392,0.0013740453743713269,0.0,0.0016685413710315067,0.0008394394232076759,0.0
Hydrogen,2030,0.0,0.0,0.0,0.000369953023796601,0.0,8.523828527319854e-10,0.00010678404374180042,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.004519281559255552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0008486235072633097,0.00010629225858250024,0.0,0.0,1.982396934295522e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0014242632169522034,0.0,0.0,8.025862017923115e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.006658482628641715,3.393298861638606e-05,0.0022044014639337147,0.003788084439193915,9.26314051704403e-05,0.0027623925437353005
Fossil Liquids,2030,0.0,0.0,0.0,0.06656422813777217,0.00023898008814188725,0.020124357161989532,0.023955416929995494,0.000560698090376384,0.025590140157652302
Fossil Residuals,2030,0.0,0.0,0.013724174702806456,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0017670504203657201,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0006762847930484076,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0006698010943704,0.0086483210271042,0.0178275155855163,0.0832865119591291,0.0016469584511296,0.0223287594783061,0.0296189093734849,0.0014927689187545,0.0283525327013876
Power,2040,0.0003391611527378212,0.0037166990863361764,0.0022727785870255376,0.011897222650972553,0.001657011066223114,0.0,0.003878200081474209,0.0009103253911235612,0.0019138083222129212
Hydrogen,2040,2.4748660377185858e-05,0.0004260367134199402,0.0008071236474173608,0.000341752448179886,0.0,8.271567864725628e-10,0.0004086122618943146,0.0,0.0003140126653194275
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.00406797023205319,0.00016142472948347218,0.0,0.0,0.0,0.0,0.0,0.00251210132255542
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0006887569889653147,4.8980965287691917e-05,0.0,0.0,1.0551804600604338e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0006563204895672218,0.0,0.0,4.271966239426807e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0035575076263887452,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0030683222922491776,3.242297843146452e-05,0.0017489248491896726,0.002016302896834758,7.29536466119429e-05,0.002206809809909508
Fossil Liquids,2040,0.0,0.0,0.0,0.030673731006361418,0.00022834552921260283,0.01596623341547099,0.012750871139797667,0.0004415885764233571,0.020443355331572197
Fossil Residuals,2040,0.0,0.0,0.011138769034129492,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.001434167586054574,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,1.2374330188592929e-05,0.00028402447561329345,0.0011945829327606493,0.00025690935002125665,7.022661118819023e-06,0.000395278625154305,0.00017588688895447637,1.3116247963638908e-05,0.0003140126653194275
Overall Demand,2040,0.0003762841433036,0.0084947305074226,0.0176976035058364,0.0469432392026392,0.001924802234986,0.0216679453433605,0.0192831447359503,0.0014379838621225,0.0277041001168889
Power,2050,6.314746762325e-05,0.002657962404274425,0.0087877528129364,0.02957137134065991,0.002098644846682118,0.0,0.009713121476189475,0.0013476259127200548,0.010215813522208204
Hydrogen,2050,2.52589870493e-05,0.001670139919644513,0.0043938764064682,0.000622555186119156,0.0,7.906259534017271e-10,0.00114272017366935,0.0,0.0016761839706107998
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.002909170661207221,0.00087877528129364,0.0,0.0,0.0,0.0,0.0,0.013409471764886398
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.018639895235818542,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,1.262949352465e-05,0.001113426613096342,0.00351510112517456,0.0009338327791787339,4.2829486666982e-05,0.0020710994706465047,0.000571360086834675,7.0927679616845e-05,0.0016761839706107998
Overall Demand,2050,0.0001010359481972,0.0083506995982225,0.0175755056258728,0.0311277593059578,0.0021414743333491,0.020710995497091,0.0114272017366935,0.0014185535923369,0.0269776532283162
