FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0006698010943704,0.004129039467848648,0.0008113821620324091,0.00816329269338392,0.0013740453743713269,0.0,0.0016685413710315067,0.0008394394232076759,0.0
Hydrogen,2030,0.0,0.0,0.0,0.000369953023796601,0.0,8.523828527319854e-10,0.00010678404374180042,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.004519281559255552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0008486235072633097,0.00010629225858250024,0.0,0.0,1.982396934295522e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0014242632169522034,0.0,0.0,8.025862017923115e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.006658482628641715,3.393298861638606e-05,0.0022044014639337147,0.003788084439193915,9.26314051704403e-05,0.0027623925437353005
Fossil Liquids,2030,0.0,0.0,0.0,0.06656422813777217,0.00023898008814188725,0.020124357161989532,0.023955416929995494,0.000560698090376384,0.025590140157652302
Fossil Residuals,2030,0.0,0.0,0.013724174702806456,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0017670504203657201,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0006762847930484076,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0006698010943704,0.0086483210271042,0.0178275155855163,0.0832865119591291,0.0016469584511296,0.0223287594783061,0.0296189093734849,0.0014927689187545,0.0283525327013876
Power,2040,0.0003309973672317652,0.0035675942832729445,0.0016270796690916489,0.011040858150901696,0.0016640337273419329,0.0,0.0033505394146107798,0.0009103253911235612,0.0019138083222129212
Hydrogen,2040,3.321030245267881e-05,0.0006815752849300817,0.001129973106384305,0.001455026298271998,0.0,8.271567864725628e-10,0.0011121598177122201,0.0,0.002198088657235992
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.003904773296754533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0006887569889653148,4.8980965287691917e-05,0.0,0.0,1.0551804600604338e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0006563204895672217,0.0,0.0,4.271966239426807e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0035575076263887452,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.003068322292249177,3.242297843146452e-05,0.0017489248491896726,0.002016302896834758,7.29536466119429e-05,0.002206809809909508
Fossil Liquids,2040,0.0,0.0,0.0,0.030673731006361418,0.00022834552921260283,0.01596623341547099,0.012750871139797667,0.0004415885764233571,0.020443355331572197
Fossil Residuals,2040,0.0,0.0,0.011138769034129492,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0014341675860545743,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,1.2076473619155932e-05,0.00034078764246504086,0.0016788571212110665,0.0,0.0,0.000395278625154305,0.0,1.3116247963638908e-05,0.0009420379959582826
Overall Demand,2040,0.0003762841433036,0.0084947305074226,0.0176976035058364,0.0469432392026392,0.001924802234986,0.0216679453433605,0.0192831447359503,0.0014379838621225,0.0277041001168889
Power,2050,5.773482754125714e-05,0.0022782534893780763,0.005272651687761839,0.02645859541006413,0.0021414743333491,0.0,0.007999041215685449,0.0013476259127200548,0.010215813522208206
Hydrogen,2050,3.1754155147691435e-05,0.00238591417092073,0.00615142696905548,0.00466916389589367,0.0,7.906259534017271e-10,0.0034281605210080496,0.0,0.011733287794275599
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0024935748524633292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.018639895235818542,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,1.154696550825143e-05,0.001192957085460365,0.00615142696905548,0.0,0.0,0.0020710994706465047,0.0,7.0927679616845e-05,0.0050285519118323995
Overall Demand,2050,0.0001010359481972,0.0083506995982225,0.0175755056258728,0.0311277593059578,0.0021414743333491,0.020710995497091,0.0114272017366935,0.0014185535923369,0.0269776532283162
