FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.006662813784368221,0.011872561542014914,0.0019322047874141056,0.01133895372074521,0.0078867012569355,0.0,0.004105922140507002,0.0028430581042283437,0.0
Hydrogen,2030,0.0026368347776738084,0.0,0.0,0.0005210937701778006,0.0,4.679537878854115e-10,0.00024309919545320016,0.0,0.0
Methanol,2030,0.0,9.701819216868535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.001711240593102502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0018749261803546052,0.0001697816373739002,0.0,0.0,6.068563423464421e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.002006773432861802,0.0,0.0,0.00020749404241320014,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.009704199855958308,0.00019476747199469998,0.001277186641834511,0.009590381865822306,0.0003137289718529938,1.596162336022546e-06
Fossil Liquids,2030,0.0,0.0,0.0,0.09488339522763538,0.001371690190649,0.0116722328139926,0.06192642574833744,0.0018990021266556622,1.141145544782768e-05
Fossil Residuals,2030,0.02373151299906477,8.952838470577273e-20,0.02277939359087387,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.006397544470431519,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.000656117551964602,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0330311615611068,0.0136808203272861,0.0336401865810387,0.1186241976447524,0.0094531589195792,0.0129494199237809,0.0761340086267678,0.005055789202737,1.3007617783850226e-05
Power,2040,0.007396296406608018,0.010766149358871139,0.004645266933805548,0.016996909559968215,0.009510858594983778,0.0,0.010196258108234931,0.0030831384721355763,1.5533993246549806e-06
Hydrogen,2040,0.0042980128562943925,0.0006789455824996329,0.00153326029050722,0.0004893818281588583,0.0,4.538753429551711e-10,0.0010676360896231959,0.0,6.657425677092776e-08
Methanol,2040,0.0,8.797700005339056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.0016081594402888482,0.00030665205810144404,0.0,0.0,0.0,0.0,0.0,5.325940541674221e-07
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0015319457276310995,7.909633340802255e-05,0.0,0.0,3.33646886705255e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0009348974540187801,0.0,0.0,0.00011407929097910046,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0020621110468843885,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0045209048465859455,0.00018610036430994332,0.001012780463894327,0.005272748801592725,0.0002470832921338107,1.220410924179229e-06
Fossil Liquids,2040,0.0,0.0,0.0,0.04420341787187833,0.0013106502928122462,0.009255819765745521,0.03404687026228962,0.0014955956871048894,8.725093040358999e-06
Fossil Residuals,2040,0.01826312462802103,6.637492521160673e-20,0.018612356611803473,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.005227240955670011,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0011343883932571604,0.0004526303883330886,0.001762702128308305,0.0003699290643322558,4.0308443451632166e-05,0.00022912344965382095,0.00046699062284720087,4.4422806505323784e-05,6.657425677092776e-08
Overall Demand,2040,0.0310918222841806,0.0135938617700461,0.0336194247058271,0.0675945369583504,0.0110479176955576,0.0125598351800534,0.0511979478642373,0.0048702402578796,1.2164645856902487e-05
Power,2050,0.011545241298485321,0.007679350922161714,0.01679779643778415,0.04222671911437578,0.012045733902900964,0.0,0.026617960534298837,0.004564211146989465,7.777391479057606e-06
Hydrogen,2050,0.011545241298485321,0.0026546879498030415,0.008398898218892075,0.000888983560302648,0.0,4.3422725029908443e-10,0.0031315247687410397,0.0,3.333167776738975e-07
Methanol,2050,0.0,6.275282219936295e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0013273439749015208,0.001679779643778415,0.0,0.0,0.0,0.0,0.0,2.66653422139118e-06
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.010814512109609563,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0057726206492426605,0.0017697919665353612,0.00671911857511366,0.001333475340453972,0.000245831304140836,0.0012016124566232849,0.0015657623843705198,0.00024022163931523502,3.333167776738975e-07
Overall Demand,2050,0.0288631032462133,0.013493927635601,0.0335955928755683,0.0444491780151324,0.0122915652070418,0.0120161250004601,0.0313152476874104,0.0048044327863047,1.111055925579658e-05
