FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.006662813784368221,0.011872561542014914,0.0019322047874141056,0.01133895372074521,0.0078867012569355,0.0,0.004105922140507002,0.0028430581042283437,0.0
Hydrogen,2030,0.0026368347776738084,0.0,0.0,0.0005210937701778006,0.0,4.679537878854115e-10,0.00024309919545320016,0.0,0.0
Methanol,2030,0.0,9.701819216868535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.001711240593102502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0018749261803546052,0.0001697816373739002,0.0,0.0,6.068563423464421e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.002006773432861802,0.0,0.0,0.00020749404241320014,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.009704199855958308,0.00019476747199469998,0.001277186641834511,0.009590381865822306,0.0003137289718529938,1.596162336022546e-06
Fossil Liquids,2030,0.0,0.0,0.0,0.09488339522763538,0.001371690190649,0.0116722328139926,0.06192642574833744,0.0018990021266556622,1.141145544782768e-05
Fossil Residuals,2030,0.02373151299906477,8.952838470577273e-20,0.02277939359087387,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.006397544470431519,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.000656117551964602,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0330311615611068,0.0136808203272861,0.0336401865810387,0.1186241976447524,0.0094531589195792,0.0129494199237809,0.0761340086267678,0.005055789202737,1.3007617783850226e-05
Power,2040,0.006545505111665147,0.010377285413497883,0.0034186587013997722,0.015763812678860692,0.00955116703843541,0.0,0.008795286239693327,0.0030831384721355763,1.553399324654981e-06
Hydrogen,2040,0.005148804151237263,0.0010907044315441638,0.0021465644067101075,0.002092407773598633,0.0,4.538753429551711e-10,0.0029355985810119996,0.0,4.660197973964944e-07
Methanol,2040,0.0,8.4799347375307e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.0014957203618566643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0015319457276310995,7.909633340802253e-05,0.0,0.0,3.33646886705255e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.00093489745401878,0.0,0.0,0.00011407929097910046,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0020621110468843885,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0045209048465859455,0.00018610036430994332,0.001012780463894327,0.005272748801592726,0.0002470832921338107,1.2204109241792292e-06
Fossil Liquids,2040,0.0,0.0,0.0,0.04420341787187833,0.0013106502928122462,0.009255819765745521,0.03404687026228963,0.0014955956871048894,8.725093040359e-06
Fossil Residuals,2040,0.01826312462802103,6.397752067714591e-20,0.018612356611803473,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.005227240955670011,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0011343883932571604,0.0005453522157720819,0.0026826583026126373,0.0,0.0,0.00022912344965382095,0.0,4.4422806505323784e-05,1.9972277031278333e-07
Overall Demand,2040,0.0310918222841806,0.0135938617700461,0.0336194247058271,0.0675945369583504,0.0110479176955576,0.0125598351800534,0.0511979478642373,0.0048702402578796,1.2164645856902487e-05
Power,2050,0.007215775811553325,0.006691640766918391,0.01007867786267049,0.03778180131286254,0.0122915652070418,0.0,0.021920673381187278,0.004564211146989465,7.777391479057606e-06
Hydrogen,2050,0.015874706785417317,0.003855407895886003,0.011758457506448904,0.00666737670226986,0.0,4.3422725029908443e-10,0.009394574306223119,0.0,2.3332174437172826e-06
Methanol,2050,0.0,5.4681619257247396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0009644934055963578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.010814512109609563,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0057726206492426605,0.0019277039479430015,0.011758457506448904,0.0,0.0,0.0012016124566232849,0.0,0.00024022163931523502,9.999503330216924e-07
Overall Demand,2050,0.0288631032462133,0.013493927635601,0.0335955928755683,0.0444491780151324,0.0122915652070418,0.0120161250004601,0.0313152476874104,0.0048044327863047,1.111055925579658e-05
