FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.08945912940088815,0.19702644496727809,0.010025093098631515,0.1261598424973813,0.0528087892306123,0.0,0.0533846838878473,0.0203603673913666,0.0
Hydrogen,2030,0.01765215960921241,0.0,0.0,0.0055711574186896,0.0,9.292803084922138e-09,0.003325226126171,0.0,0.0
Methanol,2030,0.0,0.029551190927357012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.044339696971857516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.009016130437362014,0.0012313579486277,0.0,0.0,0.000689510299043,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0214363122649285,0.0,0.0,0.002614249207034,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0953806172287258,0.001304149103975,0.018538817045317804,0.1224462947912662,0.0022467487100401,0.018079471992316
Fossil Liquids,2030,0.0,0.0,0.0,0.9958254338286148,0.0091847397039395,0.1682123658973845,0.7802677959975889,0.0135995746686256,0.166073267146335
Fossil Residuals,2030,0.15886943648291244,0.0,0.1376017879954776,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.054847729323318585,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.006272957117690909,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.265980725493013,0.2709173328664926,0.2177636979724806,1.2456047211869676,0.0632976780385268,0.1867511922355054,0.9627277603089504,0.0362066907700323,0.184152739138651
Power,2040,0.08586997002621248,0.1762943365949285,0.020186161290956527,0.16504294246751838,0.06395393341361268,0.0,0.10976357037302636,0.02207968662960989,0.012694667431977205
Hydrogen,2040,0.03946915894321981,0.022110890680016877,0.013953891627285523,0.021523298542064678,0.0,9.04370099142184e-09,0.03650771790366294,0.0,0.014062713654379132
Methanol,2040,0.0,0.02644166675693558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.03967405220031246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0073978194427026765,0.0005607776014904787,0.0,0.0,0.0003714431945951818,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.009762395889939615,0.0,0.0,0.001408311200393067,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.029839459684046415,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.04343766474875627,0.00124611476895299,0.014750570030455606,0.06596252872036493,0.0017694702041550654,0.014424960955148631
Fossil Liquids,2040,0.0,0.0,0.0,0.45351280584819514,0.00877602090066484,0.13383962294318322,0.42033478424810544,0.010710606868395846,0.13250389144649855
Fossil Residuals,2040,0.12467642013845609,0.0,0.11290355542831233,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.045003075454047824,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00931499031719284,0.011055445340008439,0.01910091167661743,0.0,0.0,0.0033154955204496017,0.0,0.0003181309096915025,0.0060268772804481984
Overall Demand,2040,0.2593305394250812,0.2755763915722019,0.2185454149199223,0.6938398850979646,0.0739760690832305,0.1817451572218358,0.6343483556401479,0.0348778946118523,0.1797131107684517
Power,2050,0.07865990121361917,0.11605602327586112,0.06575142130437786,0.39918927969651036,0.0823034441379648,0.0,0.26630933939530776,0.03268628793279556,0.06764453158357187
Hydrogen,2050,0.12862979723441959,0.07979027458524585,0.07670999152177417,0.07044516700526653,0.0,8.59945260741058e-09,0.11413257402656046,0.0,0.07493427323256913
Methanol,2050,0.0,0.01740676842981329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.026117757464817214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.15553565604452887,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.04677447172160712,0.03989513729262292,0.07670999152177417,0.0,0.0,0.01728173956050321,0.0,0.0017203309438313453,0.03211468852824391
Overall Demand,2050,0.2540641701696459,0.2792659610483604,0.2191714043479262,0.4696344467017769,0.0823034441379648,0.1728174042044847,0.3804419134218682,0.0344066188766269,0.1746934933443849
