FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.08945912940088815,0.19702644496727809,0.010025093098631515,0.1261598424973813,0.0528087892306123,0.0,0.0533846838878473,0.0203603673913666,0.0
Hydrogen,2030,0.01765215960921241,0.0,0.0,0.0055711574186896,0.0,9.292803084922138e-09,0.003325226126171,0.0,0.0
Methanol,2030,0.0,0.029551190927357012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.044339696971857516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.009016130437362014,0.0012313579486277,0.0,0.0,0.000689510299043,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0214363122649285,0.0,0.0,0.002614249207034,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0953806172287258,0.001304149103975,0.018538817045317804,0.1224462947912662,0.0022467487100401,0.018079471992316
Fossil Liquids,2030,0.0,0.0,0.0,0.9958254338286148,0.0091847397039395,0.1682123658973845,0.7802677959975889,0.0135995746686256,0.166073267146335
Fossil Residuals,2030,0.15886943648291244,0.0,0.1376017879954776,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.054847729323318585,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.006272957117690909,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.265980725493013,0.2709173328664926,0.2177636979724806,1.2456047211869676,0.0632976780385268,0.1867511922355054,0.9627277603089504,0.0362066907700323,0.184152739138651
Power,2040,0.09023423346873398,0.18241449180189917,0.03015322673901762,0.17755548077734035,0.0636840309505798,0.0,0.11547687598295574,0.02207968662960989,0.012694667431977205
Hydrogen,2040,0.0329945238234605,0.011439241227442401,0.009967065448061089,0.003100774887854261,0.0,9.04370099142184e-09,0.002189636120937176,0.0,0.0
Methanol,2040,0.0,0.031519906738922444,0.0,0.006323545678340405,0.0,0.0,0.023129692399162065,0.0,0.014062713654379132
Ammonia,2040,0.0,0.0410513588219839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0073978194427026765,0.0005603204214756131,0.0,0.0,0.0003712092989488469,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.009754436990928272,0.0,0.0,0.0014074243949185028,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.029839459684046415,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.043402251721982775,0.00124611476895299,0.014750570030455606,0.06592099249487088,0.0017694702041550654,0.014424960955148631
Fossil Liquids,2040,0.0,0.0,0.0,0.45314307462004283,0.00877602090066484,0.13383962294318322,0.4200701018485641,0.010710606868395846,0.13250389144649855
Fossil Residuals,2040,0.12664008023416565,0.0,0.11290355542831233,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.045003075454047824,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00946170189872108,0.00915139298195392,0.01312067240778078,0.0,0.00026990246303287054,0.0033154955204496017,0.005782423099790516,0.0003181309096915025,0.0060268772804481984
Overall Demand,2040,0.2593305394250812,0.2755763915722019,0.2185454149199223,0.6938398850979646,0.0739760690832305,0.1817451572218358,0.6343483556401479,0.0348778946118523,0.1797131107684517
Power,2050,0.10162566806785836,0.13180295617390633,0.12054427239135942,0.444166123519656,0.0806573752552055,0.0,0.28434930307589634,0.03268628793279556,0.06764453158357187
Hydrogen,2050,0.10162566806785836,0.045308264782024855,0.05479285108698155,0.0020911587863495116,0.0,8.59945260741058e-09,0.0013095093206731067,0.0,0.0
Methanol,2050,0.0,0.03624661182561988,0.0,0.023377164395771373,0.0,0.0,0.07582648082023902,0.0,0.07493427323256913
Ammonia,2050,0.0,0.02966151644118943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.15553565604452887,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.05081283403392918,0.03624661182561988,0.04383428086958524,0.0,0.0016460688827592959,0.01728173956050321,0.018956620205059754,0.0017203309438313453,0.03211468852824391
Overall Demand,2050,0.2540641701696459,0.2792659610483604,0.2191714043479262,0.4696344467017769,0.0823034441379648,0.1728174042044847,0.3804419134218682,0.0344066188766269,0.1746934933443849
