FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0006444730100779,0.0055793968661695,0.0007974757626754048,0.00946356472131952,0.00321395900896934,0.0,0.002757358483374106,0.00045672364798108553,0.0
Hydrogen,2030,0.0,0.0,0.0,0.0004249492896250009,0.0,1.3063361700961796e-09,0.0001748509948835004,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00038448257217810227,0.00011116235162950025,0.0,0.0,3.373774600869094e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0016356412131882034,0.0,0.0,0.0001334526910548003,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.007470683708903217,7.937091197937034e-05,0.003168171690874903,0.006282090740889814,5.039905455642416e-05,0.0045006593471098
Fossil Liquids,2030,0.0,0.0,0.0,0.07584242857359616,0.0005589860579382895,0.02888330295452263,0.03983217865006458,0.0003050655832604903,0.0437396477109587
Fossil Residuals,2030,0.0,0.0,0.012884078822971679,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0015726286243047092,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0010470817414854063,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0006444730100779,0.0055793968661695,0.0166857475236153,0.0949484298582616,0.003852315978887,0.0320514759517337,0.0492136693062755,0.000812188285798,0.0482403070580685
Power,2040,0.00034784892458827903,0.00504543503877095,0.001527505640747028,0.012564349341138847,0.0038922558810448532,0.0,0.005582379436230677,0.0004952914075622191,0.0028773960647771385
Hydrogen,2040,3.4901087250422006e-05,0.0004602080648893671,0.0010397316404385647,0.001647784690109167,0.0,1.2684877403245994e-09,0.0018542731751640018,0.0,0.004047361794181274
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0003067792136146594,5.0841066771102255e-05,0.0,0.0,1.803285756103096e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.000748074711575279,0.0,0.0,7.133059121102977e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.005109841946062055,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0034167820642734435,7.583892466076418e-05,0.002515170068832522,0.003357783518992502,3.969274576932175e-05,0.003620701055041953
Fossil Liquids,2040,0.0,0.0,0.0,0.03468719326885376,0.0005341113069913829,0.022930076450552367,0.02129033764606326,0.0002402602736480307,0.035187775034769345
Fossil Residuals,2040,0.0,0.0,0.010280225569312946,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0012548027078028885,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,1.269130445469891e-05,0.00023010403244468354,0.0018751997123031127,0.0,0.0,0.0005677602162291172,0.0,7.136310795228384e-06,0.001734583626077689
Overall Demand,2040,0.0003954413162934,0.005735747136105,0.0162842444842192,0.0531150251427216,0.004502206112697,0.0311228499501638,0.0321741372252225,0.0007823807377748,0.0474678175748474
Power,2050,3.9129279516643024e-05,0.0033948723095333713,0.004727979910057499,0.030108929285938807,0.0050090126967554,0.0,0.013402554810925558,0.000733218628950415,0.015507522349855167
Hydrogen,2050,2.152110373415367e-05,0.0016974361547666857,0.0055159765617337495,0.005313340462224495,0.0,1.2110604447138761e-09,0.0057439520618252395,0.0,0.021812969806114364
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.02674246342370387,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,7.825855903328606e-06,0.0008487180773833428,0.0055159765617337495,0.0,0.0,0.002971384824855986,0.0,3.8590454155285e-05,0.00934841563119187
Overall Demand,2050,6.84762391541253e-05,0.0059410265416834,0.015759933033525,0.0354222697481633,0.0050090126967554,0.0297138494596203,0.0191465068727508,0.0007718090831057,0.0466689077871614
