FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0006444730100779,0.0055793968661695,0.0007974757626754048,0.00946356472131952,0.00321395900896934,0.0,0.002757358483374106,0.00045672364798108553,0.0
Hydrogen,2030,0.0,0.0,0.0,0.0004249492896250009,0.0,1.3063361700961796e-09,0.0001748509948835004,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00038448257217810227,0.00011116235162950025,0.0,0.0,3.373774600869094e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0016356412131882034,0.0,0.0,0.0001334526910548003,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.007470683708903217,7.937091197937034e-05,0.003168171690874903,0.006282090740889814,5.039905455642416e-05,0.0045006593471098
Fossil Liquids,2030,0.0,0.0,0.0,0.07584242857359616,0.0005589860579382895,0.02888330295452263,0.03983217865006458,0.0003050655832604903,0.0437396477109587
Fossil Residuals,2030,0.0,0.0,0.012884078822971679,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0015726286243047092,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0010470817414854063,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0006444730100779,0.0055793968661695,0.0166857475236153,0.0949484298582616,0.003852315978887,0.0320514759517337,0.0492136693062755,0.000812188285798,0.0482403070580685
Power,2040,0.0003564283402875663,0.0051277196259522885,0.002270171098203146,0.013522262582752033,0.0038758295348769955,0.0,0.0058720427298243364,0.0004952914075622191,0.0028773960647771385
Hydrogen,2040,2.6008650670555795e-05,0.0002338567346741199,0.0007426654574561177,0.00023752661096478793,0.0,1.2684877403245994e-09,0.0001142372865788421,0.0,0.0
Methanol,2040,0.0,0.00018708538773929594,0.0,0.000484081580926164,0.0,0.0,0.0011731164250947655,0.0,0.004047361794181274
Ammonia,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0003067792136146594,5.0799590936172194e-05,0.0,0.0,1.802117733832822e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0007474644367477989,0.0,0.0,7.128438903879814e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.005109841946062055,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0034139946741203655,7.583892466076418e-05,0.002515170068832522,0.0033556086191377952,3.969274576932175e-05,0.003620701055041953
Fossil Liquids,2040,0.0,0.0,0.0,0.034658895666274274,0.0005341113069913829,0.022930076450552367,0.021276547491935943,0.0002402602736480307,0.035187775034769345
Fossil Residuals,2040,0.0,0.0,0.010280225569312946,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0012548027078028883,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,1.3004325335277897e-05,0.00018708538773929594,0.0014296004378294422,0.0,1.6426346167858343e-05,0.0005677602162291172,0.00029327910627369137,7.136310795228384e-06,0.001734583626077689
Overall Demand,2040,0.0003954413162934,0.005735747136105,0.0162842444842192,0.0531150251427216,0.004502206112697,0.0311228499501638,0.0321741372252225,0.0007823807377748,0.0474678175748474
Power,2050,4.279764947132831e-05,0.003600622146474788,0.00866796316843875,0.033501218877013135,0.004908832442820292,0.0,0.014309041633463,0.000733218628950415,0.015507522349855167
Hydrogen,2050,1.7119059788531324e-05,0.000900155536618697,0.00393998325838125,0.0001578288249915771,0.0,1.2110604447138761e-09,6.778469480013325e-05,0.0,0.0
Methanol,2050,0.0,0.0007201244292949577,0.0,0.0017632220461585863,0.0,0.0,0.0038157444355901337,0.0,0.021812969806114364
Ammonia,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.02674246342370387,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,8.559529894265662e-06,0.0007201244292949577,0.003151986606705,0.0,0.000100180253935108,0.002971384824855986,0.0009539361088975334,3.8590454155285e-05,0.00934841563119187
Overall Demand,2050,6.84762391541253e-05,0.0059410265416834,0.015759933033525,0.0354222697481633,0.0050090126967554,0.0297138494596203,0.0191465068727508,0.0007718090831057,0.0466689077871614
