FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0058786866444242,0.001536045043981,0.002605865455629107,0.015172493915861819,0.0013135965290994914,0.0,0.0036365154885457125,0.00010346188760375043,0.0
Hydrogen,2030,0.0,0.0,0.0,0.0006929550082569009,0.0,5.119202010579283e-09,0.00023848413890080082,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0019618732534265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0002084676490721005,0.0002333151363902003,0.0,0.0,3.972484595547247e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.002668865576299703,0.0,0.0,0.00017199763251940059,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.013601031468846917,3.244016311241013e-05,0.010866061910752796,0.00817739231153653,1.1416928685225674e-05,0.009414850482104909
Fossil Liquids,2030,0.0,0.0,0.0,0.13397413489275936,0.00022846655588119847,0.09875251886136757,0.05133921336629608,6.910669335082387e-05,0.09111246659665388
Fossil Residuals,2030,0.0,0.0,0.03105274668945968,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0003571773847758009,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.003241837538645608,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0058786866444242,0.0034979182974075,0.0374660947175823,0.1663427959984149,0.0015745032480931,0.1096185858913224,0.063603327783754,0.0001839855096398,0.1005273170787588
Power,2040,0.006433600506075051,0.0011870256842764805,0.005960416335393792,0.0242328475359209,0.0015841136150733111,0.0,0.008260206767591451,0.00011219866579464442,0.006063910908582129
Hydrogen,2040,0.00046946117691263207,0.00014793559492385454,0.001835751794528282,0.0006896475599000323,0.0,4.978206257651821e-09,0.0008721685798209964,0.0,0.0011970281866017498
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.001516097428417029,0.0003671503589056564,0.0,0.0,0.0,0.0,0.0,0.009576225492813999
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.00018311162540235237,0.00011210743670598983,0.0,0.0,2.0900928223389634e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0012823843463435965,0.0,0.0,9.049525770119963e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.017501808406895664,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.006535267270357757,3.099658331889269e-05,0.008639132175485014,0.004302473317316365,8.991622000807782e-06,0.007569509979114626
Fossil Liquids,2040,0.0,0.0,0.0,0.06437429255601701,0.00021829984671818415,0.07851382314149971,0.02701174007866528,5.4426306887635804e-05,0.07325413467117815
Fossil Residuals,2040,0.0,0.0,0.02727578569060315,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.00031373372211166426,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00023473058845631603,9.862372994923636e-05,0.004316132664731705,0.0005350261842751218,6.713710800812373e-06,0.001944645378543963,0.0003733459740065211,1.616592853612001e-06,0.0011970281866017498
Overall Demand,2040,0.007137792271444,0.0029496824375666,0.0402520821916766,0.0977615728895204,0.0018401237559112,0.1065994140806306,0.0409313309033252,0.0001772331875367,0.0988578374248924
Power,2050,0.00510999907461875,0.000731191469105162,0.0212706103611828,0.062319214704610576,0.002006318450491866,0.0,0.020375120446602914,0.00016609646492539998,0.032654155150028195
Hydrogen,2050,0.0020439996298475,0.00049952597979728,0.0106353051805914,0.0013119834674654859,0.0,4.7401702828500605e-09,0.00239707299371799,0.0,0.006445995779543871
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0009338951302191048,0.00212706103611828,0.0,0.0,0.0,0.0,0.0,0.051567966236350966
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.09135206737195456,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00102199981492375,0.0003330173198648533,0.00850824414447312,0.001967975201198229,4.0945274499834005e-05,0.010150229707994951,0.001198536496858995,8.7419192066e-06,0.006445995779543871
Overall Demand,2050,0.00817599851939,0.0024976298989864,0.0425412207223656,0.0655991733732743,0.0020472637249917,0.1015023018201198,0.0239707299371799,0.000174838384132,0.0971141129454669
