FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0058786866444242,0.001536045043981,0.002605865455629107,0.015172493915861819,0.0013135965290994914,0.0,0.0036365154885457125,0.00010346188760375043,0.0
Hydrogen,2030,0.0,0.0,0.0,0.0006929550082569009,0.0,5.119202010579283e-09,0.00023848413890080082,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0019618732534265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0002084676490721005,0.0002333151363902003,0.0,0.0,3.972484595547247e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.002668865576299703,0.0,0.0,0.00017199763251940059,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.013601031468846917,3.244016311241013e-05,0.010866061910752796,0.00817739231153653,1.1416928685225674e-05,0.009414850482104909
Fossil Liquids,2030,0.0,0.0,0.0,0.13397413489275936,0.00022846655588119847,0.09875251886136757,0.05133921336629608,6.910669335082387e-05,0.09111246659665388
Fossil Residuals,2030,0.0,0.0,0.03105274668945968,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0003571773847758009,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.003241837538645608,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0058786866444242,0.0034979182974075,0.0374660947175823,0.1663427959984149,0.0015745032480931,0.1096185858913224,0.063603327783754,0.0001839855096398,0.1005273170787588
Power,2040,0.006278740392706316,0.0011394051406775328,0.004491814899771167,0.02244942692167049,0.0015908273258741236,0.0,0.007140168845571887,0.00011219866579464442,0.006063910908582129
Hydrogen,2040,0.0006299713777409674,0.00023666797270154732,0.002570052512339594,0.00300809435842556,0.0,4.978206257651821e-09,0.0023655524758470804,0.0,0.008379197306212248
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.0014552753378367467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.00018311162540235237,0.00011210743670598983,0.0,0.0,2.0900928223389634e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0012823843463435965,0.0,0.0,9.049525770119963e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.017501808406895664,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.006535267270357755,3.099658331889269e-05,0.008639132175485014,0.004302473317316365,8.991622000807782e-06,0.007569509979114626
Fossil Liquids,2040,0.0,0.0,0.0,0.064374292556017,0.00021829984671818415,0.07851382314149971,0.02701174007866528,5.4426306887635804e-05,0.07325413467117815
Fossil Residuals,2040,0.0,0.0,0.02727578569060315,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.00031373372211166426,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00022908050099671544,0.00011833398635077366,0.005417583741448674,0.0,0.0,0.001944645378543963,0.0,1.616592853612001e-06,0.0035910845598052486
Overall Demand,2040,0.007137792271444,0.0029496824375666,0.0402520821916766,0.0977615728895204,0.0018401237559112,0.1065994140806306,0.0409313309033252,0.0001772331875367,0.0988578374248924
Power,2050,0.004671999153937143,0.0006267355449472818,0.01276236621670968,0.05575929736728315,0.0020472637249917,0.0,0.01677951095602593,0.00016609646492539998,0.0326541551500282
Hydrogen,2050,0.002569599534665429,0.0007136085425675428,0.01488942725282796,0.009839876005991144,0.0,4.7401702828500605e-09,0.00719121898115397,0.0,0.045121970456807096
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.000800481540187804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.09135206737195456,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0009343998307874287,0.0003568042712837714,0.01488942725282796,0.0,0.0,0.010150229707994951,0.0,8.7419192066e-06,0.01933798733863161
Overall Demand,2050,0.00817599851939,0.0024976298989864,0.0425412207223656,0.0655991733732743,0.0020472637249917,0.1015023018201198,0.0239707299371799,0.000174838384132,0.0971141129454669
