FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.04151724148365316,0.02457766926522178,0.0018665307210584054,0.043282102357545114,0.0130696404737198,0.0,0.020950943292601602,0.0016628469142822,0.0
Hydrogen,2030,0.0028076669030857038,0.0,0.0,0.0019209473285694003,0.0,2.3685400985421285e-08,0.0012854960942248002,0.0,0.0
Methanol,2030,0.0,0.00023820951143360076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.006710879921509422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0028856446119235077,0.0004881581331353001,0.0,0.0,0.00028239605999720005,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.007393319478087402,0.0,0.0,0.0010358731721951003,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.03499028218564341,0.0003227636944798,0.03365459942424799,0.04832063755504101,0.0001834937006707,0.0279558555781719
Fossil Liquids,2030,0.0,0.0,0.0,0.3606934657934279,0.0022731300513438,0.3020558268232558,0.3091684436036798,0.0011106877561975,0.271875801946682
Fossil Residuals,2030,0.025269002127772035,2.5579538487363694e-19,0.05441508687977335,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.006807962910043619,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.003160476152495709,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0695939105145109,0.0315267586981648,0.0691357012752946,0.4487682752764085,0.0156655342195434,0.3357104499329048,0.3810437897777395,0.0029570283711504,0.2998316575248539
Power,2040,0.03728929670960381,0.017820966113864176,0.007142521580452657,0.06494786486081783,0.015761152652196037,0.0,0.050536461540204906,0.0018032650430430538,0.01785131107648857
Hydrogen,2040,0.006622845798147361,0.0010425466137150281,0.002661160149047881,0.0018411417973322078,0.0,2.3169035751442296e-08,0.005306131909503063,0.0,0.0035975030451719688
Methanol,2040,0.0,0.0007667417135907244,0.0,0.0,0.0,0.0,0.0,0.0,0.014390012180687875
Ammonia,2040,0.0,0.004865976606034848,0.0,0.0,0.0,0.0,0.0,0.0,0.014390012180687875
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.001991192264882108,0.0002290659819706371,0.0,0.0,0.00015309273920923074,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0034692815121065185,0.0,0.0,0.0005615682506557471,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.053916313464866555,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.01641903064649463,0.00030840078434836844,0.02691528412013206,0.026195616056792718,0.00014451399684175725,0.02249219748926895
Fossil Liquids,2040,0.0,0.0,0.0,0.16925376701541897,0.0021719762871413926,0.24156931112458188,0.1676066015538999,0.0008747435269146214,0.21874072903398592
Fossil Residuals,2040,0.018555434104897062,1.5163888346378843e-19,0.037548248193899465,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.004697724394081581,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00228056544880165,0.0008340372909720226,0.004309763431456107,0.0014096190107825942,6.6798125959802e-05,0.005990701496096284,0.0023046189574570343,2.5981996854467964e-05,0.0035975030451719688
Overall Demand,2040,0.0647481420614499,0.0253302683381768,0.0583506100138198,0.2575697708249234,0.0183083278496456,0.3283916333747125,0.2526640910077226,0.0028485045636539,0.2950592680514631
Power,2050,0.030048670807920008,0.009597328773502679,0.027668126937934672,0.1667604884205407,0.01996188345724003,0.0,0.12960116357609341,0.00266951435519939,0.09622121384243575
Hydrogen,2050,0.020147817461425195,0.0030777193020629944,0.01257642133542485,0.0035107471246429624,0.0,2.1826404501724607e-08,0.01524719571483452,0.0,0.019391074881005107
Methanol,2050,0.0,0.0018466315812377964,0.0,0.0,0.0,0.0,0.0,0.0,0.07756429952402043
Ammonia,2050,0.0,0.002620530053977134,0.0,0.0,0.0,0.0,0.0,0.0,0.07756429952402043
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.2784253841504087,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.010073908730712598,0.0024621754416503955,0.01006113706833988,0.005266120686964443,0.000407385376678368,0.030936153794489857,0.00762359785741726,0.00014050075553681,0.019391074881005107
Overall Demand,2050,0.0602703970000578,0.019604385152431,0.0503056853416994,0.1755373562321481,0.0203692688339184,0.3093615597713031,0.1524719571483452,0.0028100151107362,0.2901319626524868
