FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.04151724148365316,0.02457766926522178,0.0018665307210584054,0.043282102357545114,0.0130696404737198,0.0,0.020950943292601602,0.0016628469142822,0.0
Hydrogen,2030,0.0028076669030857038,0.0,0.0,0.0019209473285694003,0.0,2.3685400985421285e-08,0.0012854960942248002,0.0,0.0
Methanol,2030,0.0,0.00023820951143360076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.006710879921509422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0028856446119235077,0.0004881581331353001,0.0,0.0,0.00028239605999720005,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.007393319478087402,0.0,0.0,0.0010358731721951003,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.03499028218564341,0.0003227636944798,0.03365459942424799,0.04832063755504101,0.0001834937006707,0.0279558555781719
Fossil Liquids,2030,0.0,0.0,0.0,0.3606934657934279,0.0022731300513438,0.3020558268232558,0.3091684436036798,0.0011106877561975,0.271875801946682
Fossil Residuals,2030,0.025269002127772035,2.5579538487363694e-19,0.05441508687977335,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.006807962910043619,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.003160476152495709,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0695939105145109,0.0315267586981648,0.0691357012752946,0.4487682752764085,0.0156655342195434,0.3357104499329048,0.3810437897777395,0.0029570283711504,0.2998316575248539
Power,2040,0.0363295933190365,0.01737039864637546,0.004481361431404776,0.06024913482487585,0.01582795077815584,0.0,0.04362260466783381,0.0018032650430430538,0.01785131107648857
Hydrogen,2040,0.00811879902933968,0.0020323758175568537,0.0037256242086670323,0.007949490844056785,0.0,2.3169035751442296e-08,0.014524607739331197,0.0,0.02518252131620378
Methanol,2040,0.0,0.0001683558408369949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.004742950124629063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.001991192264882108,0.0002290659819706371,0.0,0.0,0.00015309273920923074,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0034692815121065185,0.0,0.0,0.0005615682506557471,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.053916313464866555,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.01641903064649463,0.00030840078434836844,0.02691528412013206,0.026195616056792718,0.00014451399684175725,0.02249219748926895
Fossil Liquids,2040,0.0,0.0,0.0,0.16925376701541897,0.0021719762871413926,0.24156931112458188,0.1676066015538999,0.0008747435269146214,0.21874072903398592
Fossil Residuals,2040,0.018077878489874383,1.4780499773287164e-19,0.037548248193899465,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.004697724394081581,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0022218712231993226,0.0010161879087784269,0.005906459520884835,0.0,0.0,0.005990701496096284,0.0,2.5981996854467964e-05,0.010792509135515906
Overall Demand,2040,0.0647481420614499,0.0253302683381768,0.0583506100138198,0.2575697708249234,0.0183083278496456,0.3283916333747125,0.2526640910077226,0.0028485045636539,0.2950592680514631
Power,2050,0.02670141091801415,0.00873326323090415,0.01509170560250982,0.1492067527973259,0.0203692688339184,0.0,0.10673037000384163,0.00266951435519939,0.09622121384243575
Hydrogen,2050,0.024617256460165337,0.005601252900694581,0.01760698986959479,0.026330603434822217,0.0,2.1826404501724607e-08,0.045741587144503555,0.0,0.13573752416703574
Methanol,2050,0.0,8.464376117219816e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.00238459880931278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.2784253841504087,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.008951729621878306,0.0028006264503472903,0.01760698986959479,0.0,0.0,0.030936153794489857,0.0,0.00014050075553681,0.05817322464301532
Overall Demand,2050,0.0602703970000578,0.019604385152431,0.0503056853416994,0.1755373562321481,0.0203692688339184,0.3093615597713031,0.1524719571483452,0.0028100151107362,0.2901319626524868
