FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.34237438094688677,0.5628816558852644,0.047167767093857116,0.5717885897442716,0.211933108459677,0.0,0.22132984256970745,0.0703367467137985,0.0
Hydrogen,2030,0.04767602703736281,0.0,0.0,0.025642139992221296,0.0,9.650719047247382e-08,0.013936421347896896,0.0,0.0
Methanol,2030,0.0,0.06384674424382111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.26061667184066895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.03142499635655521,0.0068503374306535,0.0,0.0,0.0027677793200256997,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0987018420880776,0.0,0.0,0.010762208168197097,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.4601054722175781,0.0052338328056217,0.1516791261017478,0.5056034135929509,0.0077615983989883,0.1942107263741033
Fossil Liquids,2030,0.0,0.0,0.0,4.674368493966905,0.0368603496540786,1.366319886400831,3.2122113357779893,0.0469809714380753,1.853329467755661
Fossil Residuals,2030,0.42908424333626555,0.0,0.5108014857278654,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.19163654764120805,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.025330724279874112,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.8191346513205151,0.8873450719697543,0.80636152109936,5.837456875439707,0.2540272909193773,1.5179991090097693,3.966611000776768,0.1250793165508621,2.0475401941297644
Power,2040,0.3068326462227793,0.5204663086520501,0.09434440816048001,0.8373860384421419,0.255577808831391,0.0,0.5220444296034012,0.07627629188289811,0.12813735167149579
Hydrogen,2040,0.08849981836020661,0.044902955237960375,0.03094661697621482,0.02392608422744445,0.0,9.424114493064826e-08,0.05492795755849272,0.0,0.02384419117424437
Methanol,2040,0.0,0.059035640882222316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.24097818031175,0.006189323395242965,0.0,0.0,0.0,0.0,0.0,0.19075352939395496
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.021620231231737307,0.003170713106672308,0.0,0.0,0.0014840229047328173,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.04568464364411801,0.0,0.0,0.005770461290591191,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.24337754677670528,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.21296213011112297,0.0050009284501574,0.12109717830296413,0.27109352290271177,0.00611279625632115,0.155829757115629
Fossil Liquids,2040,0.0,0.0,0.0,2.163554948828715,0.03522007257660857,1.0908388461532714,1.722317658292451,0.037000768599729575,1.4870645211392026
Fossil Residuals,2040,0.3143910666708017,0.0,0.3514287196614973,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.13184493087746973,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.026783738809503223,0.029935303491973583,0.04218469786717857,0.01808623629826565,0.00108317703936906,0.027041949641856144,0.023727776196069614,0.001099012251924778,0.02384419117424437
Overall Demand,2040,0.7365072700632906,0.8953183885759565,0.6785589281698208,3.3047707946584803,0.296881986897526,1.4823556151159418,2.6013658287484507,0.1204888689908736,2.009473541668771
Power,2050,0.26861233226760667,0.3819848435745392,0.2759852536166209,2.107192483073658,0.3236955155965828,0.0,1.3199573147332728,0.11291776376875202,0.6881179361248416
Hydrogen,2050,0.25706323998179065,0.18065202425894777,0.13799262680831045,0.04436194701207701,0.0,8.905814248300303e-08,0.15528909585097328,0.0,0.12804709481940293
Methanol,2050,0.0,0.043327915126960326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.17686065549499302,0.02759852536166209,0.0,0.0,0.0,0.0,0.0,1.0243767585552235
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,1.2607471241227448,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.12853161999089532,0.12043468283929853,0.11039410144664837,0.06654292051811551,0.006606030930542506,0.14008301379141608,0.07764454792548664,0.0059430401983553705,0.12804709481940293
Overall Demand,2050,0.6542071922402926,0.903260121294739,0.5519705072332418,2.2180973506038506,0.3303015465271253,1.4008302269723034,1.5528909585097328,0.1188608039671074,1.968588884318871
