FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.34237438094688677,0.5628816558852644,0.047167767093857116,0.5717885897442716,0.211933108459677,0.0,0.22132984256970745,0.0703367467137985,0.0
Hydrogen,2030,0.04767602703736281,0.0,0.0,0.025642139992221296,0.0,9.650719047247382e-08,0.013936421347896896,0.0,0.0
Methanol,2030,0.0,0.06384674424382111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.26061667184066895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.03142499635655521,0.0068503374306535,0.0,0.0,0.0027677793200256997,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0987018420880776,0.0,0.0,0.010762208168197097,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.4601054722175781,0.0052338328056217,0.1516791261017478,0.5056034135929509,0.0077615983989883,0.1942107263741033
Fossil Liquids,2030,0.0,0.0,0.0,4.674368493966905,0.0368603496540786,1.366319886400831,3.2122113357779893,0.0469809714380753,1.853329467755661
Fossil Residuals,2030,0.42908424333626555,0.0,0.5108014857278654,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.19163654764120805,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.025330724279874112,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.8191346513205151,0.8873450719697543,0.80636152109936,5.837456875439707,0.2540272909193773,1.5179991090097693,3.966611000776768,0.1250793165508621,2.0475401941297644
Power,2040,0.3068326462227793,0.5137628709714165,0.10053373155572298,0.8367155457918184,0.255577808831391,0.0,0.47428488913697664,0.07627629188289811,0.12813735167149579
Hydrogen,2040,0.08849981836020661,0.036937183084118815,0.03094661697621482,0.014505210910885913,0.0,9.424114493064826e-08,0.009133869866853361,0.0,0.0
Methanol,2040,0.0,0.07719412874551944,0.0,0.030119591166053613,0.0,0.0,0.09485031144217315,0.0,0.1669093382197106
Ammonia,2040,0.0,0.23787445930760664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.021620231231737307,0.0031681743255884205,0.0,0.0,0.0014830723446024238,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.04564806407819521,0.0,0.0,0.0057667651411454374,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.24337754677670528,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.21279161193135682,0.0050009284501574,0.12109717830296413,0.27091987956226377,0.00611279625632115,0.155829757115629
Fossil Liquids,2040,0.0,0.0,0.0,2.161822596454582,0.03522007257660857,1.0908388461532714,1.7212144633938926,0.037000768599729575,1.4870645211392026
Fossil Residuals,2040,0.3143910666708017,0.0,0.3514287196614973,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.13184493087746973,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.026783738809503223,0.02954974646729505,0.04218469786717857,0.0,0.00108317703936906,0.027041949641856144,0.023712577860543288,0.001099012251924778,0.07153257352273312
Overall Demand,2040,0.7365072700632906,0.8953183885759565,0.6785589281698208,3.3047707946584803,0.296881986897526,1.4823556151159418,2.6013658287484507,0.1204888689908736,2.009473541668771
Power,2050,0.26861233226760667,0.3630925463166687,0.30358377897828304,2.09797672115333,0.3236955155965828,0.0,1.1605905618900398,0.11291776376875202,0.6881179361248416
Hydrogen,2050,0.25706323998179065,0.1430977445589022,0.13799262680831045,0.009700802021398074,0.0,8.905814248300303e-08,0.005436875989679726,0.0,0.0
Methanol,2050,0.0,0.11447819564712176,0.0,0.11041982742912264,0.0,0.0,0.3094908165040106,0.0,0.8963296637358205
Ammonia,2050,0.0,0.16811343912492455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,1.2607471241227448,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.12853161999089532,0.11447819564712176,0.11039410144664837,0.0,0.006606030930542506,0.14008301379141608,0.07737270412600265,0.0059430401983553705,0.38414128445820883
Overall Demand,2050,0.6542071922402926,0.903260121294739,0.5519705072332418,2.2180973506038506,0.3303015465271253,1.4008302269723034,1.5528909585097328,0.1188608039671074,1.968588884318871
