FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.019142255175240618,0.0178886954337427,0.0008262473801370174,0.010456274035926217,0.00257001036006667,0.0,0.0051322596440262136,0.0018897173957487,0.0
Hydrogen,2030,0.0014029518274068084,0.0,0.0,0.0004749265328327009,0.0,1.476117438131176e-09,0.0003323772503478009,0.0,0.0
Methanol,2030,0.0,0.0001097993165784006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00012873169932680272,0.00013939759209350027,0.0,0.0,5.860434142776178e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0018284894720139032,0.0,0.0,0.0002448753361553007,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.008595789354022216,6.346816045433544e-05,0.002484438036621906,0.01159820150876053,0.0002085286596075,0.0114125029185747
Fossil Liquids,2030,0.0,0.0,0.0,0.08561944889763626,0.0004469876423516947,0.022430536176281556,0.07309103723387779,0.001262224415311,0.111521175375845
Fossil Residuals,2030,0.012626566446662078,0.0,0.006984015524740046,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0009191618769848192,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0006472700256442136,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0331717734493095,0.0179984947503211,0.0095054265068329,0.1071143258845248,0.0030804661628727,0.0249149756890209,0.0904573553145954,0.0033604704706672,0.1229336782944197
Power,2040,0.018191082912173053,0.01605679275782477,0.0011875096494865223,0.014205530057088986,0.003112403708447774,0.0,0.01019549168902354,0.002049293468758665,0.007225934957707601
Hydrogen,2040,0.004252900637886605,0.0014735739114057692,0.0006027397368910931,0.0018742689409726742,0.0,1.4399191731858979e-09,0.003381139398301285,0.0,0.010400862152750632
Methanol,2040,0.0,9.855525115177775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0001045243309968321,6.435199256074332e-05,0.0,0.0,3.102140836915262e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0008441102829201788,0.0,0.0,0.00012962141741274796,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.003990302156471429,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.003968190298385695,6.0643841919121545e-05,0.0019814024616304216,0.006139349689552918,0.00016423076076064027,0.009188308584105555
Fossil Liquids,2040,0.0,0.0,0.0,0.039525662213877925,0.00042709679512580484,0.017888922541133275,0.03868974309611416,0.0009940891403961442,0.08978669975607687
Fossil Residuals,2040,0.009810204155029659,0.0,0.005670705461144739,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0007463179680843953,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.001150137437816178,0.0007367869557028846,0.0011282937904658176,0.0,0.0,0.00044336690627460327,0.0,2.9526850012751278e-05,0.004457512351178842
Overall Demand,2040,0.0334043251429055,0.0183657088760852,0.0094400909370694,0.0604821137858062,0.0036001443454927,0.0243039955054289,0.0585663666987738,0.0032371402199282,0.1210593178018195
Power,2050,0.014603829017796563,0.010591939938266688,0.00281688334196523,0.03404347709889129,0.0040054071904592,0.0,0.024158464721851316,0.003033729486396465,0.0389849212294041
Hydrogen,2050,0.013918903325641848,0.005328476189913103,0.0032863638989594347,0.00600767242921611,0.0,1.3633722086828424e-09,0.010353627737936279,0.0,0.05611409376310102
Methanol,2050,0.0,6.501244155945848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.02071078228686374,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00506141939114249,0.0026642380949565515,0.0032863638989594347,0.0,0.0,0.0023011980318737493,0.0,0.000159669972968235,0.02404889732704329
Overall Demand,2050,0.0335841517345809,0.0186496666646958,0.0093896111398841,0.0400511495281074,0.0040054071904592,0.0230119816821097,0.0345120924597876,0.0031933994593647,0.1191479123195484
