FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.019142255175240618,0.0178886954337427,0.0008262473801370174,0.010456274035926217,0.00257001036006667,0.0,0.0051322596440262136,0.0018897173957487,0.0
Hydrogen,2030,0.0014029518274068084,0.0,0.0,0.0004749265328327009,0.0,1.476117438131176e-09,0.0003323772503478009,0.0,0.0
Methanol,2030,0.0,0.0001097993165784006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00012873169932680272,0.00013939759209350027,0.0,0.0,5.860434142776178e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0018284894720139032,0.0,0.0,0.0002448753361553007,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.008595789354022216,6.346816045433544e-05,0.002484438036621906,0.01159820150876053,0.0002085286596075,0.0114125029185747
Fossil Liquids,2030,0.0,0.0,0.0,0.08561944889763626,0.0004469876423516947,0.022430536176281556,0.07309103723387779,0.001262224415311,0.111521175375845
Fossil Residuals,2030,0.012626566446662078,0.0,0.006984015524740046,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0009191618769848192,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0006472700256442136,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0331717734493095,0.0179984947503211,0.0095054265068329,0.1071143258845248,0.0030804661628727,0.0249149756890209,0.0904573553145954,0.0033604704706672,0.1229336782944197
Power,2040,0.018673284932326086,0.016334910242547688,0.00161803803298016,0.015296505707379041,0.003099268544087674,0.0,0.010722504337815174,0.002049293468758665,0.007225934957707601
Hydrogen,2040,0.003480166224299157,0.0007495487405740811,0.00043052838349363795,0.0002679505795889612,0.0,1.4399191731858979e-09,0.00021505258847863705,0.0,0.0
Methanol,2040,0.0,0.0006816109005041623,0.0,0.0005512282070865754,0.0,0.0,0.0021353686743879954,0.0,0.010400862152750632
Ammonia,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0001045243309968321,6.429998393952133e-05,0.0,0.0,3.1000628466690874e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0008434280816358513,0.0,0.0,0.00012953458962018812,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.003990302156471429,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.003964983247633216,6.0643841919121545e-05,0.0019814024616304216,0.006135237204194118,0.00016423076076064027,0.009188308584105555
Fossil Liquids,2040,0.0,0.0,0.0,0.039493717978543036,0.00042709679512580484,0.017888922541133275,0.03866382650721399,0.0009940891403961442,0.08978669975607687
Fossil Residuals,2040,0.010070249160844208,0.0,0.005670705461144739,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0007463179680843953,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0011806248254360471,0.0005996389924592648,0.0008699767603696347,0.0,1.3135164360099829e-05,0.00044336690627460327,0.0005338421685969989,2.9526850012751278e-05,0.004457512351178842
Overall Demand,2040,0.0334043251429055,0.0183657088760852,0.0094400909370694,0.0604821137858062,0.0036001443454927,0.0243039955054289,0.0585663666987738,0.0032371402199282,0.1210593178018195
Power,2050,0.01646487760328735,0.011275564338529049,0.0051642861269362555,0.03788063581540267,0.0039252990466500165,0.0,0.025789308896124803,0.003033729486396465,0.0389849212294041
Hydrogen,2050,0.011412849420862368,0.002836193202371828,0.002347402784971025,0.00017679603820984765,0.0,1.3633722086828424e-09,0.00012634726495452389,0.0,0.0
Methanol,2050,0.0,0.0022689545618974623,0.0,0.001993717674494878,0.0,0.0,0.0068771490389666155,0.0,0.05611409376310102
Ammonia,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.02071078228686374,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.005706424710431184,0.0022689545618974623,0.0018779222279768201,0.0,8.010814380918402e-05,0.0023011980318737493,0.0017192872597416539,0.000159669972968235,0.02404889732704329
Overall Demand,2050,0.0335841517345809,0.0186496666646958,0.0093896111398841,0.0400511495281074,0.0040054071904592,0.0230119816821097,0.0345120924597876,0.0031933994593647,0.1191479123195484
