FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0342337702644907,0.04931620788012067,0.008172352437924314,0.10168515081457913,0.049291755710241504,0.0,0.0387515575752201,0.005883159839443101,0.0
Hydrogen,2030,0.0048746542086085,0.0,0.0,0.004516351395282502,0.0,2.0570459433360498e-08,0.0024604609291613,0.0,0.0
Methanol,2030,0.0,0.0006129557190792009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.017669987899884627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00509316210483091,0.0010808949003080005,0.0,0.0,0.00047225347721350006,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.017380344910632405,0.0,0.0,0.0018739377393404003,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.07891776393479052,0.0012172935600198002,0.016641489133803904,0.08824496398079959,0.0006492015358147,0.0113650564560906
Fossil Liquids,2030,0.0,0.0,0.0,0.8151922188048351,0.008573041577827002,0.14505820046866735,0.5593229143354757,0.0039296182620895,0.1066088414847125
Fossil Residuals,2030,0.0438718878774764,0.0,0.08235218961517685,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.013427574177471724,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.004057081185744207,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0829803123505756,0.0675991514990845,0.113102359521148,1.0187727247604277,0.0590820908480883,0.1616997101729307,0.6911260880372105,0.0104619796373473,0.1179738979408031
Power,2040,0.02609467012816848,0.035974560687890914,0.01721802658716252,0.1457542716727253,0.059442712889159796,0.0,0.09072298690881522,0.006379959808676661,0.007716057101497993
Hydrogen,2040,0.0076533524201656085,0.002248913129422987,0.004926022689238359,0.004158605268730747,0.0,2.040255506953219e-08,0.00955225825754496,0.0,0.0013352276947883324
Methanol,2040,0.0,0.001714910892939505,0.0,0.0,0.0,0.0,0.0,0.0,0.0053409107791533295
Ammonia,2040,0.0,0.012889678249469296,0.0,0.0,0.0,0.0,0.0,0.0,0.0053409107791533295
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.003976618750372457,0.0004959891022567095,0.0,0.0,0.0002522758114111828,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.00797530052799781,0.0,0.0,0.0010010496196143684,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.02633164067442966,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.03621291105635718,0.0011631242767169935,0.013494601918641165,0.04714008676561297,0.0005112911688710039,0.009096149444370484
Fossil Liquids,2040,0.0,0.0,0.0,0.37406639318628726,0.008191543200403153,0.1176278549725957,0.29878793669751713,0.00309484652084073,0.08532557299497309
Fossil Residuals,2040,0.02734076910526635,0.0,0.06429861343846083,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.010483927695037268,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.002307744593123559,0.0017991305035383897,0.007108489783069366,0.003129287804994489,0.0002519271217393617,0.0029257378527144068,0.0041189452145193066,9.192442138230554e-05,0.0013352276947883324
Overall Demand,2040,0.063396536246724,0.0546271934632611,0.1080116989433408,0.5717927586193494,0.0690493074880193,0.160379855820936,0.4515755392750351,0.0100780219197707,0.1154900564887249
Power,2050,0.01706405767429351,0.018514786790683406,0.05712538479880848,0.36668905475217933,0.07528564269760223,0.0,0.22828832760179366,0.009444753759612024,0.04129367971396962
Hydrogen,2050,0.016544842415442063,0.006344688344038159,0.0259660839994584,0.0077197695737300925,0.0,1.8738705490165e-08,0.026857450306093374,0.0,0.007145678686476698
Methanol,2050,0.0,0.0038068130064228957,0.0,0.0,0.0,0.0,0.0,0.0,0.028582714745906793
Ammonia,2050,0.0,0.006633844584230408,0.0,0.0,0.0,0.0,0.0,0.0,0.028582714745906793
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.13257063756560566,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.008272421207721032,0.005075750675230528,0.02077286719956672,0.011579654360595137,0.001536441687706168,0.014730070840622852,0.013428725153046687,0.0004970923031374751,0.007145678686476698
Overall Demand,2050,0.0418813212974566,0.0403758834006054,0.1038643359978336,0.3859884786865046,0.0768220843853084,0.147300727144934,0.2685745030609337,0.0099418460627495,0.1127504665787366
