FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0005147853254422,0.0008421026685774,0.0007836259586892207,0.003293061883258301,0.0006401197091299723,0.0,0.0011379405413290001,0.0006112640170325965,0.0
Hydrogen,2030,0.0,0.0,0.0,0.00014943156869240006,0.0,3.2762394032017647e-10,7.140807280321499e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0069239098337598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0002821052278641074,4.3299390952989776e-05,0.0,0.0,1.4378040293184452e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0005753006392829001,0.0,0.0,5.545672524929641e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0026903775815497006,1.5808193243232524e-05,0.0007394122816491959,0.0026028361683547003,6.745244893490576e-05,0.0012518333952328
Fossil Liquids,2030,0.0,0.0,0.0,0.026842247768669707,0.00011133246933659519,0.006729963488868162,0.0165521734152812,0.0004082898153106977,0.0120421763211259
Fossil Residuals,2030,0.0,0.0,0.009016695477755037,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0006539468626333172,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.000719749825219619,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0005147853254422,0.0077660125023372,0.0114561233521613,0.033593718832406,0.0007672603717098,0.0074693760981413,0.0204341929633106,0.0010870062812782,0.0132940097163587
Power,2040,0.0004407540946652689,0.0008781554293656548,0.0011671143969848802,0.004450968326067101,0.000775215146017853,0.0,0.0023249031920572535,0.0006628818471005535,0.0008147123759139834
Hydrogen,2040,4.422263812400943e-05,0.0005965980063826325,0.000673455700896258,0.0005866470528839642,0.0,3.1837655505858744e-10,0.0007728521367617599,0.0,0.0010976874704649114
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.005831489658536597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.00021235190694010605,1.9941523768374678e-05,0.0,0.0,7.720737996248662e-06,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.00026495456679001957,0.0,0.0,2.9779221441097715e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0011917300459277527,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0012390527281694074,1.5104732281617025e-05,0.0005874615335773414,0.0013976742096454082,5.312347484800154e-05,0.0010056032307777037
Fossil Liquids,2040,0.0,0.0,0.0,0.012362190554982133,0.00010637820007042985,0.0053469421190460225,0.008888206709814031,0.00032155650501710503,0.0096735328041532
Fossil Residuals,2040,0.0,0.0,0.006787227920220771,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0004922520024498727,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,1.608095931782161e-05,0.00029829900319131627,0.0012152402295361124,0.0,0.0,0.00013241444954752808,0.0,9.551005345940005e-06,0.0004704374873421049
Overall Demand,2040,0.0005010576921071,0.0076045420974762,0.010547642157028,0.018923754752661,0.0008966980783699,0.0072585484664752,0.0134211362077158,0.0010471128323116,0.0130619733686519
Power,2050,0.0002797145998696571,0.000987092627498402,0.00293619290582946,0.010649675416653844,0.0009976380350612,0.0,0.00561658119279677,0.00098131587115443,0.004382070386976739
Hydrogen,2050,0.00015384302992831145,0.001974185254996804,0.0034255583901343697,0.0018793544852918548,0.0,3.035395699208192e-10,0.00240710622548433,0.0,0.005904100515330263
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0035202314435167927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.006228256963065147,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,5.5942919973931434e-05,0.000987092627498402,0.0034255583901343697,0.0,0.0,0.0006920285514516831,0.0,5.164820374497e-05,0.0025303287922843983
Overall Demand,2050,0.0004895005497719,0.0074686019535104,0.0097873096860982,0.0125290299019457,0.0009976380350612,0.0069202858180564,0.0080236874182811,0.0010329640748994,0.0128164996945914
