FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0005147853254422,0.0008421026685774,0.0007836259586892207,0.003293061883258301,0.0006401197091299723,0.0,0.0011379405413290001,0.0006112640170325965,0.0
Hydrogen,2030,0.0,0.0,0.0,0.00014943156869240006,0.0,3.2762394032017647e-10,7.140807280321499e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0069239098337598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0002821052278641074,4.3299390952989776e-05,0.0,0.0,1.4378040293184452e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0005753006392829001,0.0,0.0,5.545672524929641e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0026903775815497006,1.5808193243232524e-05,0.0007394122816491959,0.0026028361683547003,6.745244893490576e-05,0.0012518333952328
Fossil Liquids,2030,0.0,0.0,0.0,0.026842247768669707,0.00011133246933659519,0.006729963488868162,0.0165521734152812,0.0004082898153106977,0.0120421763211259
Fossil Residuals,2030,0.0,0.0,0.009016695477755037,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0006539468626333172,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.000719749825219619,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0005147853254422,0.0077660125023372,0.0114561233521613,0.033593718832406,0.0007672603717098,0.0074693760981413,0.0204341929633106,0.0010870062812782,0.0132940097163587
Power,2040,0.0004516249421280635,0.0009974750306421811,0.0016481541833393502,0.004792297131256022,0.0007719435336849976,0.0,0.0024457619260749544,0.0006628818471005535,0.0008147123759139834
