FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.002433333858776925,0.01360825483284636,0.0016292648984751192,0.010630616574861817,0.0050911117051516,0.0,0.003233112711005202,0.0021615145707513,0.0
Hydrogen,2030,0.0007290507609989076,0.0,0.0,0.0005019750136645009,0.0,6.093470415604701e-10,0.00020300589992990013,0.0,0.0
Methanol,2030,0.0,0.00014141890111660062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.008878883495493739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0006456721905622079,0.00019354543187070033,0.0,0.0,4.0777307213160604e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0019341040459175032,0.0,0.0,0.00015750171254460014,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.009632717318715716,0.0001257284793922,0.0016672323111386958,0.007393509073691207,0.0002385212398292,0.00017717401929850002
Fossil Liquids,2030,0.0,0.0,0.0,0.09048945529490786,0.0008854688110969,0.015237604362658563,0.047009585516313034,0.0014437695664922,0.0012666715547088002
Fossil Residuals,2030,0.006561456848990468,7.162270776461843e-19,0.010287498761156423,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.003434581101590541,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0004973832273440059,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0097238414687663,0.0226285572294567,0.0164944001791283,0.1133824136799381,0.0061023089956407,0.0169048372831443,0.0580374922206971,0.0038438053770727,0.0014438455740073
Power,2040,0.002512397011225693,0.013474424604846953,0.0029468466086070622,0.0161696191503508,0.006139555936188435,0.0,0.006945268310252923,0.0023440423961977384,0.00017242732503669318
Hydrogen,2040,0.0012153453431821325,0.0010218573441606216,0.0007421388163059243,0.00028639610625447344,0.0,5.910013688690156e-10,0.00013321400745986895,0.0,0.0
Methanol,2040,0.0,0.0009319692909925906,0.0,0.0005900466013754218,0.0,0.0,0.0013895221349993264,0.0,5.1728197511007966e-05
Ammonia,2040,0.0,0.008791564216337238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.000520789735498628,9.028077096252656e-05,0.0,0.0,2.1876966477358825e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0009021778643880645,0.0,0.0,8.44994415019332e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0026919245678064104,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.004493255860353826,0.0001201335909913133,0.0013220479985528847,0.003966606949048069,0.00018785199477353633,0.00013546561258389187
Fossil Liquids,2040,0.0,0.0,0.0,0.04220950972100978,0.0008460656527631458,0.01208280586682897,0.025220574793692982,0.0011370685195712337,0.0009684853274797894
Fossil Residuals,2040,0.004993623748234478,5.798102063630148e-19,0.008297745879530695,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0027702828301904244,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00033024913002249675,0.0008174858753284974,0.000994893081938366,0.0,2.6020357762706052e-05,0.0002991027297562678,0.0003473805337498316,3.3773683130891674e-05,2.2169227504717702e-05
Overall Demand,2040,0.0090516152326648,0.0250373013316659,0.0162726969520711,0.0647412860746949,0.0071317755377056,0.0163958817539459,0.0381089431371823,0.0037027365936734,0.0013502756901161
Power,2050,0.00347689456313932,0.009631162898791946,0.008892029414358642,0.03926881924045657,0.00777589702871919,0.0,0.01702330540820063,0.0034700693888494246,0.0008632904541753101
Hydrogen,2050,0.00347689456313932,0.004003807312519835,0.0040418315519812,0.00018300402416960502,0.0,5.654403295534199e-10,7.939307970169661e-05,0.0,0.0
Methanol,2050,0.0,0.0032030458500158687,0.0,0.0020667799600240302,0.0,0.0,0.0045395481088535,0.0,0.00025898713625259305
Ammonia,2050,0.0,0.0062839779497727835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.014118078042939844,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00173844728156966,0.0032030458500158687,0.0032334652415849604,0.0,0.00015869177609631,0.0015686753381044271,0.001134887027213375,0.000182635230992075,0.00011099448696539703
Overall Demand,2050,0.0086922364078483,0.0263250398611163,0.0161673262079248,0.0415186032246502,0.0079345888048155,0.0156867539464846,0.0227771336239692,0.0036527046198415,0.0012332720773933
