FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0614167035005981,0.023003119001169702,0.0022331733914222256,0.0806738722904795,0.0202626093868865,0.0,0.02547620174274671,0.0038681696716766,0.0
Hydrogen,2030,0.0,0.0,0.0,0.0036479357571302,0.0,1.3351775683784875e-08,0.0016425518663523004,0.0,0.0
Methanol,2030,0.0,0.00016672219546130004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.012729828687149503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0015170320945990172,0.0011196654984368,0.0,0.0,0.0002953533760394,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0140462882103178,0.0,0.0,0.0012192777718048001,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0696096341435164,0.0005003989726162,0.014709584597899193,0.05767306901179311,0.0004268491355289,0.02501056037330921
Fossil Liquids,2030,0.0,0.0,0.0,0.6962485521627411,0.0035241632245806005,0.13056439706683753,0.3639310136313933,0.0025837187153698,0.23481769432297622
Fossil Residuals,2030,0.0,0.0,0.01929801489014272,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.002537305967593929,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0006271917820834071,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0614167035005981,0.0358996698837805,0.0262127181258413,0.8653459480626218,0.0242871715840833,0.1452739950165124,0.4502374674001296,0.0068787375225753,0.2598282546962854
Power,2040,0.05221801573680272,0.012426683704317142,0.0008734382700010471,0.12560190722900522,0.024435414296261896,0.0,0.05344572620008719,0.004194814982415169,0.01695567707740161
Hydrogen,2040,0.0038103595491659173,0.000884473008139528,0.00023433809071805222,0.0021219758274216675,0.0,1.3129323737686842e-08,0.0010649956795865706,0.0,0.0
Methanol,2040,0.0,0.0007812142496072711,0.0,0.004591331193935836,0.0,0.0,0.010650892083481737,0.0,0.020616227700180158
Ammonia,2040,0.0,0.006876874162034537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0002431237091549362,0.0005324868309570543,0.0,0.0,0.0001565662025788479,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.006680087496010079,0.0,0.0,0.0006463365788472007,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.023454129614109323,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.033104720598170004,0.00047813133348432026,0.011825814513440976,0.030572372414797523,0.00033617325498509765,0.020020102476597315
Fossil Liquids,2040,0.0,0.0,0.0,0.33111959385832773,0.0033673387720512147,0.10496763735885477,0.19291906383131086,0.002034857419672514,0.1879635735263726
Fossil Residuals,2040,0.0,0.0,0.0030927526030085917,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0004066355881979176,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0019051797745829587,0.0007075784065116224,0.0002879859415315553,0.0,0.00010356094621126763,0.002606014401567702,0.0026627230208704344,6.044018326571965e-05,0.008835526157220067
Overall Demand,2040,0.0579335550605516,0.0216768235306101,0.0051382742026121,0.5037521030338277,0.0283844453480087,0.1428536090172965,0.2921186760115604,0.0066262858403385,0.2543911069377718
Power,2050,0.03423275935783631,0.0058999037592507115,0.0020817081524745003,0.3212295556200678,0.030948046959204986,0.0,0.1289115237224425,0.006209912877846255,0.09075731781472617
Hydrogen,2050,0.013693103743134524,0.0023019117243666606,0.0009462309783975,0.0014254412047477749,0.0,1.225069234162999e-08,0.0006270583243025642,0.0,0.0
Methanol,2050,0.0,0.0018415293794933286,0.0,0.016906818716845674,0.0,0.0,0.03437640632598467,0.0,0.11035085894740021
Ammonia,2050,0.0,0.0032649817671295727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.1199642919640523,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.006846551871567262,0.0018415293794933286,0.000756984782718,0.0,0.000631592795085816,0.013329365773783589,0.008594101581496167,0.000326837519886645,0.04729322526317152
Overall Demand,2050,0.0547724149725381,0.0151498560097336,0.00378492391359,0.3395618155416612,0.0315796397542908,0.1332936699885282,0.1725090899542259,0.0065367503977329,0.2484014020252979
