FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0,0.003320099186018019,0.00034311537934011017,0.004585194515972821,0.0001801154611315372,0.0,0.0006809853908922971,0.002957518642947,0.0
Hydrogen,2030,0.0,0.0,0.0,0.00020390869120950092,0.0,3.1333516284476e-10,4.024665539268506e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.014032486349938882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,9.827902782993383e-05,4.761502652839631e-05,0.0,0.0,1.0108800518794941e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0007846670604052035,0.0,0.0,3.445060087347218e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.003487021553041116,4.448074282124513e-06,0.0008573152441551937,0.0015915965913146932,0.0003263595920562,0.0032831972817105094
Fossil Liquids,2030,0.0,0.0,0.0,0.03600895006601506,3.13264827929383e-05,0.007835399072605243,0.010281732587357557,0.0019754552973177,0.03213083429072289
Fossil Residuals,2030,0.0,0.0,0.004429527024444131,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.000471447495782114,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0003938906415527117,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0,0.0173525855359569,0.005736259568949,0.0451173569131721,0.0002158900182066,0.0086927146300956,0.0126391206263495,0.0052593335323209,0.0354140315724334
Power,2040,0.0,0.0031041422849872303,0.0008540009958295975,0.006410977626900451,0.00021720775591521242,0.0,0.001693486382957412,0.003207264563663377,0.002073255167090506
Hydrogen,2040,0.0,0.0006426853856438923,0.00026097945153998064,0.00018362194162417685,0.0,3.0390154956988095e-10,0.00017729891622728628,0.0,0.0004290013576633366
Methanol,2040,0.0,0.0003856112313863354,0.0,0.0,0.0,0.0,0.0,0.0,0.0017160054306533464
Ammonia,2040,0.0,0.01139575879657523,0.0,0.0,0.0,0.0,0.0,0.0,0.0017160054306533464
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,8.015674718736848e-05,2.1574764398422906e-05,0.0,0.0,5.561532916363625e-06,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.00035553916890814586,0.0,0.0,1.895359893491708e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.001384226992650004,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0015799984572983214,4.250136000141647e-06,0.0006798164209582466,0.0008756446242767497,0.0002570307802572763,0.002643891311774164
Fossil Liquids,2040,0.0,0.0,0.0,0.016315954658673498,2.9932461517367696e-05,0.006213155534831266,0.005656674510049015,0.001555807853643541,0.025874300668596865
Fossil Residuals,2040,0.0,0.0,0.003612739011545672,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.00038451436248349713,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0,0.0005141483085151139,0.0005300422597718838,0.00013684382746498617,9.205590072782717e-07,0.00015380299918333376,7.757825840385579e-05,4.6211253374005684e-05,0.0004290013576633366
Overall Demand,2040,0.0,0.0160423460071078,0.005722432828358,0.025004510445268,0.00025231091244,0.0084310022515244,0.0085051978237656,0.0050663144509382,0.0348814607240949
Power,2050,0.0,0.0032120758708207692,0.0031478177627889303,0.01593300574590949,0.000275098909658972,0.0,0.004424705407515375,0.0047479647135917746,0.011188716314657081
Hydrogen,2050,0.0,0.002294339907729121,0.00143082625581315,0.000335431699913884,0.0,2.9075768922402216e-10,0.00052055357735475,0.0,0.002315187520421732
Methanol,2050,0.0,0.0013766039446374725,0.0,0.0,0.0,0.0,0.0,0.0,0.009260750081686928
Ammonia,2050,0.0,0.007421440077760341,0.0,0.0,0.0,0.0,0.0,0.0,0.009260750081686928
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.007259722261571979,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,0.0018354719261832971,0.0011446610046505201,0.000503147549870826,5.614263462428e-06,0.000806635806841331,0.000260276788677375,0.000249892879662725,0.002315187520421732
Overall Demand,2050,0.0,0.016139931727131,0.0057233050232526,0.0167715849956942,0.0002807131731214,0.008066358359171,0.0052055357735475,0.0049978575932545,0.0343405915188744
