FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0,0.003320099186018019,0.00034311537934011017,0.004585194515972821,0.0001801154611315372,0.0,0.0006809853908922971,0.002957518642947,0.0
Hydrogen,2030,0.0,0.0,0.0,0.00020390869120950092,0.0,3.1333516284476e-10,4.024665539268506e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.014032486349938882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,9.827902782993383e-05,4.761502652839631e-05,0.0,0.0,1.0108800518794941e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0007846670604052035,0.0,0.0,3.445060087347218e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.003487021553041116,4.448074282124513e-06,0.0008573152441551937,0.0015915965913146932,0.0003263595920562,0.0032831972817105094
Fossil Liquids,2030,0.0,0.0,0.0,0.03600895006601506,3.13264827929383e-05,0.007835399072605243,0.010281732587357557,0.0019754552973177,0.03213083429072289
Fossil Residuals,2030,0.0,0.0,0.004429527024444131,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.000471447495782114,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0003938906415527117,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0,0.0173525855359569,0.005736259568949,0.0451173569131721,0.0002158900182066,0.0086927146300956,0.0126391206263495,0.0052593335323209,0.0354140315724334
Power,2040,0.0,0.003079468470067805,0.0008540009958295975,0.006405696288045185,0.00021720775591521242,0.0,0.0015374367749635114,0.003207264563663377,0.002073255167090506
Hydrogen,2040,0.0,0.0006375768890606368,0.00026097945153998064,0.00011291523063660112,0.0,3.0390154956988095e-10,2.7067313248621185e-05,0.0,0.0
Methanol,2040,0.0,0.0005100615112485094,0.0,0.00022788516007195473,0.0,0.0,0.00031013287860356275,0.0,0.003003009503643356
Ammonia,2040,0.0,0.011305177625482339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,8.015674718736848e-05,2.1556991190007314e-05,0.0,0.0,5.558304118601454e-06,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.00035524627710028107,0.0,0.0,1.8942595253243976e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.001384226992650004,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0015786968606106685,4.250136000141647e-06,0.0006798164209582466,0.0008751362609449419,0.0002570307802572763,0.002643891311774164
Fossil Liquids,2040,0.0,0.0,0.0,0.0163025136376133,2.9932461517367696e-05,0.006213155534831266,0.005653390476982226,0.001555807853643541,0.025874300668596865
Fossil Residuals,2040,0.0,0.0,0.003612739011545672,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.00038451436248349713,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0,0.0005100615112485094,0.0005300422597718838,0.0,9.205590072782717e-07,0.00015380299918333376,7.753321965089069e-05,4.6211253374005684e-05,0.0012870040729900097
Overall Demand,2040,0.0,0.0160423460071078,0.005722432828358,0.025004510445268,0.00025231091244,0.0084310022515244,0.0085051978237656,0.0050663144509382,0.0348814607240949
Power,2050,0.0,0.0031232791627886156,0.0031478177627889303,0.015861320229069734,0.000275098909658972,0.0,0.0038917593306125237,0.0047479647135917746,0.011188716314657081
Hydrogen,2050,0.0,0.002230913687706154,0.00143082625581315,7.545843877868811e-05,0.0,2.9075768922402216e-10,1.652333273080127e-05,0.0,0.0
Methanol,2050,0.0,0.0017847309501649235,0.0,0.0008348063278457756,0.0,0.0,0.0010378024881633398,0.0,0.01620631264295212
Ammonia,2050,0.0,0.0072162769763063845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.007259722261571979,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,0.0017847309501649235,0.0011446610046505201,0.0,5.614263462428e-06,0.000806635806841331,0.00025945062204083496,0.000249892879662725,0.0069455625612651955
Overall Demand,2050,0.0,0.016139931727131,0.0057233050232526,0.0167715849956942,0.0002807131731214,0.008066358359171,0.0052055357735475,0.0049978575932545,0.0343405915188744
