FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,3.1808078813566334e-05,0.0002119721346285,0.0002947738125624095,0.0024087161748257077,0.0004671275484927481,0.0,0.0006282312247356963,0.0014874277498943,0.0
Hydrogen,2030,0.0,0.0,0.0,0.00010994556158040037,0.0,2.994060962636869e-10,3.860388707617386e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00012926908324500418,3.30567711245206e-05,0.0,0.0,8.433250237987728e-06,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0004233207034683014,0.0,0.0,3.103243109170336e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0019815148069229063,1.1536033730077871e-05,0.0008192039737557904,0.0014481522324509915,0.0001641363495125,0.0038832898971645
Fossil Liquids,2030,0.0,0.0,0.0,0.01959309299827816,8.124490267537406e-05,0.007487082610511614,0.009262008223019848,0.0009935176689125,0.0380367361995503
Fossil Residuals,2030,0.0,0.0,0.0022860551678964736,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.003350289854749409,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.00012473704652120403,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,3.1808078813566334e-05,0.0002119721346285,0.0061851249649745,0.0245496470162,0.0005599084848982,0.0083062868836735,0.0114164612486124,0.0026450817683193,0.0419200260967148
Power,2040,3.833502844393831e-05,0.00019024734684086112,0.0008536893339779052,0.003495919518213278,0.0005633260237452222,0.0,0.001513478943423391,0.0016130327105874935,0.0024483787374981235
Hydrogen,2040,2.797315057606806e-06,8.676492975053409e-06,0.00027949837585302913,0.00010080104251941369,0.0,2.903918467978863e-10,0.00015892812640439194,0.0,0.0005084830399946092
Methanol,2040,0.0,5.205895785032046e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0020339321599784368
Ammonia,2040,0.0,1.735298595010682e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0020339321599784368
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.00010471941153134622,1.518060776872956e-05,0.0,0.0,4.569041472885035e-06,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.00019440088493604058,0.0,0.0,1.6813027084593198e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0013226922776538236,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0009099678537421815,1.10226828837093e-05,0.0006495957202093558,0.0007845928227428532,0.00012926874224219805,0.0031275194261766747
Fossil Liquids,2040,0.0,0.0,0.0,0.008997704544787592,7.762952320202937e-05,0.005936954624797873,0.005018053360085944,0.0007824639687501922,0.03063398162967791
Fossil Residuals,2040,0.0,0.0,0.001851907245730107,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0027140316403718,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,1.398657528803403e-06,6.941194380042728e-06,0.0003246467608988127,7.546637899756553e-05,2.3874600748392494e-06,0.00014696580862820263,6.900648420904043e-05,2.3241070953116466e-05,0.0005084830399946092
Overall Demand,2040,4.2531001030348526e-05,0.000212806228576,0.006128492768363,0.0137894408309648,0.0006543656899058,0.0080562087216811,0.0075654418054231,0.002548006492533,0.0412947101932988
Power,2050,1.668519423681624e-05,0.00012822697593757576,0.0034166603562869806,0.008611380983752845,0.0007134661203135759,0.0,0.00387829595201292,0.0023878985471003796,0.013215355842438789
