FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0,0.0003362737310847,0.0,0.00039310200367900913,0.0,0.0,7.83282584682316e-05,0.0,0.0
Hydrogen,2030,0.0,0.0,0.0,1.8276244467962474e-05,0.0,4.1011282404321085e-10,5.162994137005635e-06,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0,6.4525539996316e-06,0.0,0.0,8.397989397361516e-07,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,7.039917543601224e-05,0.0,0.0,3.691412585452538e-06,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.00034606456220320796,0.0,0.0011221082647847977,0.00017577808536669643,0.0,0.0005524486940619093
Fossil Liquids,2030,0.0,0.0,0.0,0.0033253677389378762,0.0,0.01025546450643248,0.0011018500620335776,0.0,0.005409986315309091
Fossil Residuals,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0,0.0003362737310847,0.0,0.0041596622787237,0.0,0.0113775731813301,0.0013656506115307,0.0,0.005962435009371
Power,2040,0.0,0.0003886755489350234,0.0,0.000595632244320702,0.0,0.0,0.0001770427839560767,0.0,0.00034845633510893786
Hydrogen,2040,0.0,1.772608515129868e-05,0.0,1.721202786945896e-05,0.0,3.977655159850705e-10,1.8701932262127314e-05,0.0,7.229842503574071e-05
Methanol,2040,0.0,1.063565109077921e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00028919370014296285
Ammonia,2040,0.0,3.5452170302597364e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00028919370014296285
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0,3.0147679573438806e-06,0.0,0.0,4.407453538634815e-07,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,3.289196469181622e-05,0.0,0.0,1.937336270920455e-06,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0018117635949904442,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0001616885892566007,0.0,0.0008897866096448211,9.225228893564749e-05,0.0,0.00044491608703326293
Fossil Liquids,2040,0.0,0.0,0.0,0.0015536812409950166,0.0,0.008132169844824568,0.0005782756711363141,0.0,0.004356947474367793
Fossil Residuals,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0,1.4180868121038946e-05,0.0,1.3009477271661686e-05,0.0,0.00020130706611004934,7.996138463250352e-06,0.0,7.229842503574071e-05
Overall Demand,2040,0.0,0.0004347633703284,0.0,0.0023771303123626,0.0,0.0110350275133354,0.0008766468963782,0.0,0.0058733041468674
Power,2050,0.0,0.00029473774463236363,0.0,0.001470751623337825,0.0,0.0,0.00043525079696287995,0.0,0.0018807434529298224
Hydrogen,2050,0.0,7.368443615809091e-05,0.0,3.096319207027e-05,0.0,3.805620025449226e-10,5.1205976113279996e-05,0.0,0.0003902204547396079
Methanol,2050,0.0,4.421066169485455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0015608818189584315
Ammonia,2050,0.0,1.4736887231618185e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0015608818189584315
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.009501982386629668,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,5.894754892647274e-05,0.0,4.6444788105405e-05,0.0,0.0010557758207366298,2.5602988056639998e-05,0.0,0.0003902204547396079
Overall Demand,2050,0.0,0.0004863172786434,0.0,0.0015481596035135,0.0,0.0105577585879283,0.0005120597611328,0.0,0.0057829480003259
