FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0,0.0003362737310847,0.0,0.00039310200367900913,0.0,0.0,7.83282584682316e-05,0.0,0.0
Hydrogen,2030,0.0,0.0,0.0,1.8276244467962474e-05,0.0,4.1011282404321085e-10,5.162994137005635e-06,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0,6.4525539996316e-06,0.0,0.0,8.397989397361516e-07,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,7.039917543601224e-05,0.0,0.0,3.691412585452538e-06,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.00034606456220320796,0.0,0.0011221082647847977,0.00017577808536669643,0.0,0.0005524486940619093
Fossil Liquids,2030,0.0,0.0,0.0,0.0033253677389378762,0.0,0.01025546450643248,0.0011018500620335776,0.0,0.005409986315309091
Fossil Residuals,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0,0.0003362737310847,0.0,0.0041596622787237,0.0,0.0113775731813301,0.0013656506115307,0.0,0.005962435009371
Power,2040,0.0,0.0003824384670692888,0.0,0.0005522673200818297,0.0,0.0,0.00015305436856632564,0.0,0.00034845633510893786
Hydrogen,2040,0.0,3.488326883940748e-05,0.0,7.358642937999294e-05,0.0,3.977655159850705e-10,5.0686486115128717e-05,0.0,0.000506088975250185
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0,3.0147679573438806e-06,0.0,0.0,4.407453538634815e-07,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,3.289196469181622e-05,0.0,0.0,1.937336270920455e-06,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0018117635949904442,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0001616885892566007,0.0,0.0008897866096448211,9.225228893564749e-05,0.0,0.00044491608703326293
Fossil Liquids,2040,0.0,0.0,0.0,0.0015536812409950166,0.0,0.008132169844824568,0.0005782756711363141,0.0,0.004356947474367793
Fossil Residuals,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0,1.744163441970374e-05,0.0,0.0,0.0,0.00020130706611004934,0.0,0.0,0.00021689527510722215
Overall Demand,2040,0.0,0.0004347633703284,0.0,0.0023771303123626,0.0,0.0110350275133354,0.0008766468963782,0.0,0.0058733041468674
Power,2050,0.0,0.0002778955877962286,0.0,0.0013159356629864748,0.0,0.0,0.00035844183279295995,0.0,0.0018807434529298222
Hydrogen,2050,0.0,0.0001389477938981143,0.0,0.00023222394052702498,0.0,3.805620025449226e-10,0.00015361792833983997,0.0,0.0027315431831772545
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.009501982386629668,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,6.947389694905715e-05,0.0,0.0,0.0,0.0010557758207366298,0.0,0.0,0.0011706613642188234
Overall Demand,2050,0.0,0.0004863172786434,0.0,0.0015481596035135,0.0,0.0105577585879283,0.0005120597611328,0.0,0.0057829480003259
