FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0,0.0003362737310847,0.0,0.00039310200367900913,0.0,0.0,7.83282584682316e-05,0.0,0.0
Hydrogen,2030,0.0,0.0,0.0,1.8276244467962474e-05,0.0,4.1011282404321085e-10,5.162994137005635e-06,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0,6.4525539996316e-06,0.0,0.0,8.397989397361516e-07,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,7.039917543601224e-05,0.0,0.0,3.691412585452538e-06,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.00034606456220320796,0.0,0.0011221082647847977,0.00017577808536669643,0.0,0.0005524486940619093
Fossil Liquids,2030,0.0,0.0,0.0,0.0033253677389378762,0.0,0.01025546450643248,0.0011018500620335776,0.0,0.005409986315309091
Fossil Residuals,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0,0.0003362737310847,0.0,0.0041596622787237,0.0,0.0113775731813301,0.0013656506115307,0.0,0.005962435009371
Power,2040,0.0,0.0003886755489350234,0.0,0.0005951552153750287,0.0,0.0,0.00016093951026859452,0.0,0.00034845633510893786
Hydrogen,2040,0.0,1.772608515129868e-05,0.0,1.0435996396385562e-05,0.0,3.977655159850705e-10,3.3119769603514794e-06,0.0,0.0
Methanol,2040,0.0,1.4180868121038946e-05,0.0,2.1665097105800536e-05,0.0,0.0,3.196250994923109e-05,0.0,0.000506088975250185
Ammonia,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0,3.0123534950748313e-06,0.0,0.0,4.4044159010887554e-07,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,3.286562223069583e-05,0.0,0.0,1.936001049722023e-06,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0018117635949904442,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.00016155909637236563,0.0,0.0008897866096448211,9.218870822762088e-05,0.0,0.00044491608703326293
Fossil Liquids,2040,0.0,0.0,0.0,0.001552436931387249,0.0,0.008132169844824568,0.0005778771208452632,0.0,0.004356947474367793
Fossil Residuals,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0,1.4180868121038946e-05,0.0,0.0,0.0,0.00020130706611004934,7.990627487307773e-06,0.0,0.00021689527510722215
Overall Demand,2040,0.0,0.0004347633703284,0.0,0.0023771303123626,0.0,0.0110350275133354,0.0008766468963782,0.0,0.0058733041468674
Power,2050,0.0,0.00029473774463236363,0.0,0.0014643178723214888,0.0,0.0,0.0003825983651460705,0.0,0.0018807434529298222
Hydrogen,2050,0.0,7.368443615809091e-05,0.0,6.772369490880113e-06,0.0,3.805620025449226e-10,1.9286076047060127e-06,0.0,0.0
Methanol,2050,0.0,5.894754892647274e-05,0.0,7.7069361701131e-05,0.0,0.0,0.00010202623070561881,0.0,0.0027315431831772545
Ammonia,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.009501982386629668,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,5.894754892647274e-05,0.0,0.0,0.0,0.0010557758207366298,2.5506557676404702e-05,0.0,0.0011706613642188234
Overall Demand,2050,0.0,0.0004863172786434,0.0,0.0015481596035135,0.0,0.0105577585879283,0.0005120597611328,0.0,0.0057829480003259
