FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.007780804891708115,0.05047885156377295,0.0005869991914447078,0.01690386163585621,0.0073142933863905,0.0,0.0088639922243538,0.0012424747403241,0.0
Hydrogen,2030,0.004849937118253809,0.0,0.0,0.0007355988565083004,0.0,2.747231989446971e-09,0.0005684959714187,0.0,0.0
Methanol,2030,0.0,0.015532770043957015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.041093002564024435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.001117919891598615,0.00014450824431180007,0.0,0.0,0.0001045785519216,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0028298084922793016,0.0,0.0,0.0004257505736205,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.01268335088779421,0.000180631468834,0.007516691846521991,0.0201073086329636,0.0001371059994361,0.025997385434112907
Fossil Liquids,2030,0.0,0.0,0.0,0.13539008011380158,0.0012721344657017,0.06869851052436474,0.1270774641633629,0.0008299029030332,0.2440411302673871
Fossil Residuals,2030,0.04364943406428468,0.0,0.010855127959413144,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,8.820543722503355e-05,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0562801760742466,0.1071046241717544,0.0126482524796815,0.1686872082305514,0.0087670593209262,0.0762152051181187,0.1571475901176411,0.0022094836427934,0.2700385157015
Power,2040,0.010648504961781718,0.04898549772817383,0.0015085120470429347,0.0242703450876435,0.00882057121905181,0.0,0.018685244941582812,0.0013473947883274992,0.017629613794608028
Hydrogen,2040,0.008211021478487941,0.004740147889545965,0.0004975349592664565,0.00041466721732284306,0.0,2.6645207995201174e-09,0.0003695064206482598,0.0,0.0
Methanol,2040,0.0,0.01611562476682236,0.0,0.0008673540563644397,0.0,0.0,0.0037266441156468978,0.0,0.0214201682669128
Ammonia,2040,0.0,0.039877317359345354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0007883253160217312,6.660067125205961e-05,0.0,0.0,5.55730901542395e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0013041964906440333,0.0,0.0,0.000226244048863564,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.012136501503178609,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.005845477445770362,0.00017259341003698122,0.005960433555085162,0.010685032971736985,0.00010798046961323943,0.020809499386596545
Fossil Liquids,2040,0.0,0.0,0.0,0.06239830993305486,0.001215524774715787,0.05447514886528968,0.0675290223736984,0.0006536060097405225,0.19534171093758698
Fossil Residuals,2040,0.03630145841121256,0.0,0.007654727537608919,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0020887630497321797,0.0037921183116367716,0.00046022793334795655,0.0,3.73829021474219e-05,0.0013485001670198453,0.0009316610289117244,1.9413678142939056e-05,0.009180072114391202
Overall Demand,2040,0.0572497479012144,0.1135107060555243,0.010909327793288,0.0951669509020521,0.010246072305952,0.0739205867550941,0.1022089289912429,0.0021283949458242,0.2643810645000956
Power,2050,0.02349785191884864,0.03864053974438912,0.004592035453668796,0.062088310880498765,0.011171468139829494,0.0,0.04521806872179892,0.001994653943655135,0.09436137934598621
Hydrogen,2050,0.02349785191884864,0.020496605800787798,0.002087288842576725,0.0002850001800767059,0.0,2.5492792374843196e-09,0.00021810740577850256,0.0,0.0
Methanol,2050,0.0,0.016397284640630238,0.0,0.003267805835815725,0.0,0.0,0.01205815165914638,0.0,0.11465007952171959
Ammonia,2050,0.0,0.03145586219974591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.06365114291807825,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.01174892595942432,0.016397284640630238,0.0016698310740613802,0.0,0.000227989145710806,0.007072349213119806,0.003014537914786595,0.000104981786508165,0.04913574836645125
Overall Demand,2050,0.0587446297971216,0.1233875770261833,0.0083491553703069,0.0656411168963912,0.0113994572855403,0.0707234946804773,0.0605088657015104,0.0020996357301633,0.258147207234157
