FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.022066926315245095,0.032319029738399445,0.0055601525634920105,0.0363581611178184,0.011473867296550717,0.0,0.020593047966112003,0.0095252047009152,0.0
Hydrogen,2030,0.002592532533849711,0.0,0.0,0.0016381027941208,0.0,2.374543434429266e-09,0.0012865162506582005,0.0,0.0
Methanol,2030,0.0,0.00010385017135750015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.04209353237000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.004211019860912208,0.0004441480958818,0.0,0.0,0.00026366850145550006,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0063056012968686,0.0,0.0,0.0010065033100193001,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0290593775171794,0.0002833549863939979,0.005933231760417796,0.047181318604573905,0.0010510979965776,0.005347852960847101
Fossil Liquids,2030,0.0,0.0,0.0,0.2933332221728951,0.0019955860767068853,0.054126477923897166,0.30040941637519747,0.0063622983846043,0.052341228295723206
Fossil Residuals,2030,0.023332792804648,2.4428459255432276e-18,0.06231591602217432,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.028609998376365554,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.002712970808218205,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0479922516537428,0.0745164122797573,0.1034100576311623,0.3671386129947641,0.0137528083596516,0.0600597120588584,0.3707404710080164,0.0169386010820971,0.0576890812565703
Power,2040,0.021099870457341977,0.029915085385724224,0.015282202638777054,0.05237794755447734,0.013836752000608533,0.0,0.048910172783941,0.010329555004408957,0.0033764844479955824
Hydrogen,2040,0.005375233696132887,0.0031456433419196476,0.004830200254328114,0.0015030071673821257,0.0,2.305047956152356e-09,0.005142843532175446,0.0,0.0006989346058959542
Methanol,2040,0.0,0.001965975857865776,0.0,0.0,0.0,0.0,0.0,0.0,0.0027957384235838168
Ammonia,2040,0.0,0.03896254390147013,0.0,0.0,0.0,0.0,0.0,0.0,0.0027957384235838168
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.003526073495205045,0.0002037413199416317,0.0,0.0,0.00014185861634595783,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.002892529638563553,0.0,0.0,0.0005415177244107107,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.009572187663437134,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.013330229234187555,0.0002707457547038332,0.004708889343762493,0.025384437419242734,0.000827812464420179,0.004306571495102582
Fossil Liquids,2040,0.0,0.0,0.0,0.1345589419888956,0.0019067829555086731,0.04295729636107924,0.16162592008160134,0.005010750588703055,0.04214985779289509
Fossil Residuals,2040,0.018240300692747007,1.848652717485782e-18,0.05217987733917108,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.02395641918224264,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0016742668095805248,0.002516514673535718,0.006135850857054178,0.001127355545741407,5.8642227723262534e-05,0.0010635764070485707,0.0022253367877579106,0.00014883140260940871,0.0006989346058959542
Overall Demand,2040,0.0463896716558024,0.0765057631605155,0.1059106237667781,0.2059937524491892,0.0160729229385443,0.0583019520803754,0.2439720869454751,0.0163169494601416,0.0568222597949528
Power,2050,0.01929501705898561,0.021402151756358397,0.05988229744103668,0.13024541116518273,0.017524583192486006,0.0,0.12421473743020339,0.01529164859790058,0.018222159543229786
Hydrogen,2050,0.01678550607600226,0.012336474647132436,0.027219226109562126,0.00274200865610911,0.0,2.2018999881088717e-09,0.0146134985212004,0.0,0.0037719995738411216
Methanol,2050,0.0,0.007401884788279463,0.0,0.0,0.0,0.0,0.0,0.0,0.015087998295364486
Ammonia,2050,0.0,0.027874975673342954,0.0,0.0,0.0,0.0,0.0,0.0,0.015087998295364486
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.050123712043198536,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00839275303800113,0.00986917971770595,0.0217753808876497,0.004113012984163665,0.00035764455494869405,0.005569301338133171,0.0073067492606002,0.00080482361041582,0.0037719995738411216
Overall Demand,2050,0.044473276172989,0.0788846665828192,0.1088769044382485,0.1371004328054555,0.0178822277474347,0.0556930155832317,0.146134985212004,0.0160964722083164,0.055942155281641
