FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.022066926315245095,0.032319029738399445,0.0055601525634920105,0.0363581611178184,0.011473867296550717,0.0,0.020593047966112003,0.0095252047009152,0.0
Hydrogen,2030,0.002592532533849711,0.0,0.0,0.0016381027941208,0.0,2.374543434429266e-09,0.0012865162506582005,0.0,0.0
Methanol,2030,0.0,0.00010385017135750015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.04209353237000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.004211019860912208,0.0004441480958818,0.0,0.0,0.00026366850145550006,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0063056012968686,0.0,0.0,0.0010065033100193001,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0290593775171794,0.0002833549863939979,0.005933231760417796,0.047181318604573905,0.0010510979965776,0.005347852960847101
Fossil Liquids,2030,0.0,0.0,0.0,0.2933332221728951,0.0019955860767068853,0.054126477923897166,0.30040941637519747,0.0063622983846043,0.052341228295723206
Fossil Residuals,2030,0.023332792804648,2.4428459255432276e-18,0.06231591602217432,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.028609998376365554,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.002712970808218205,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0479922516537428,0.0745164122797573,0.1034100576311623,0.3671386129947641,0.0137528083596516,0.0600597120588584,0.3707404710080164,0.0169386010820971,0.0576890812565703
Power,2040,0.020543780566246523,0.0291883234973526,0.010452002384448938,0.04862009573533931,0.013895394228331795,0.0,0.04223416242066726,0.010329555004408957,0.0033764844479955824
Hydrogen,2040,0.006456174661360359,0.006138445154835462,0.00676228035605936,0.006388214532261556,0.0,2.305047956152356e-09,0.014044190683207088,0.0,0.004892542241271679
Methanol,2040,0.0,9.379032790816484e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.038015981603001556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.003526073495205045,0.0002037413199416317,0.0,0.0,0.00014185861634595783,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.002892529638563553,0.0,0.0,0.0005415177244107107,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.009572187663437134,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.013330229234187555,0.0002707457547038332,0.004708889343762493,0.025384437419242734,0.000827812464420179,0.004306571495102582
Fossil Liquids,2040,0.0,0.0,0.0,0.1345589419888956,0.0019067829555086731,0.04295729636107924,0.16162592008160134,0.005010750588703055,0.04214985779289509
Fossil Residuals,2040,0.017759575142972432,1.8037412514953003e-18,0.05217987733917108,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.02395641918224264,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0016301412852230805,0.003069222577417731,0.009033971009651044,0.0,0.0,0.0010635764070485707,0.0,0.00014883140260940871,0.0020968038176878627
Overall Demand,2040,0.0463896716558024,0.0765057631605155,0.1059106237667781,0.2059937524491892,0.0160729229385443,0.0583019520803754,0.2439720869454751,0.0163169494601416,0.0568222597949528
Power,2050,0.016902681034766727,0.019550637482364085,0.03266307133147455,0.11653536788463717,0.0178822277474347,0.0,0.10229448964840279,0.01529164859790058,0.018222159543229786
Hydrogen,2050,0.020218436434696334,0.02253847616651979,0.03810691655338697,0.020565064920818325,0.0,2.2018999881088717e-09,0.043840495563601194,0.0,0.026403997016887847
Methanol,2050,0.0,6.282172048870502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.025463493130186726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.050123712043198536,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00735215870352594,0.011269238083259895,0.03810691655338697,0.0,0.0,0.005569301338133171,0.0,0.00080482361041582,0.011315998721523364
Overall Demand,2050,0.044473276172989,0.0788846665828192,0.1088769044382485,0.1371004328054555,0.0178822277474347,0.0556930155832317,0.146134985212004,0.0160964722083164,0.055942155281641
