FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008085735270605,0.008947112198886928,0.0008199700040001185,0.013701956081362928,0.002453598169888242,0.0,0.003482020675532902,0.00042913381128666393,0.0
Hydrogen,2030,0.0,0.0,0.0,0.0006048130745747013,0.0,4.633996662316274e-09,0.0002300625028332001,0.0,0.0
Methanol,2030,0.0,7.473972156397323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0003621210925501081,0.0001346379081153003,0.0,0.0,3.700243579827919e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0023271883815952047,0.0,0.0,0.0001638215923338001,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.010420570800805523,6.0593281940268584e-05,0.008949073896290493,0.007806621961733902,4.7354540240360146e-05,0.0051304190079492
Fossil Liquids,2030,0.0,0.0,0.0,0.10880883606830853,0.0004267407160211899,0.08112766439441783,0.04889928946144372,0.0002866371317002759,0.0501792817045569
Fossil Residuals,2030,0.0,0.0,0.0032590898329514736,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.008085735270605,0.0090218519204509,0.0044411809295017,0.1359980023147622,0.0029409321678497,0.090076742924705,0.0606188186296758,0.0007631254832273,0.0553097007125061
Power,2040,0.0084793669579496,0.007986507099121557,0.0008546265345885478,0.018053647725017698,0.002971423057922141,0.0,0.0067884775726054815,0.0004653717633502288,0.0032431069615121862
Hydrogen,2040,0.0008507691273676463,0.000734556657676413,0.00026530627453328183,0.0023571203402439596,0.0,4.511657239152007e-09,0.0022476841662992042,0.0,0.0046859654347444525
Methanol,2040,0.0,6.671530473612476e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.00027699795032050053,6.154397484769561e-05,0.0,0.0,1.9396715320560355e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0010637748701509177,0.0,0.0,8.587544904293542e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.014398629833042033,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.004763319307621702,5.7896894837377336e-05,0.007123374877249618,0.004092239349660027,3.7294979902437376e-05,0.004131079412968231
Fossil Liquids,2040,0.0,0.0,0.0,0.049737316658695324,0.0004077508523578814,0.06457682360145472,0.025633058381129892,0.0002257465918113364,0.04040500342877276
Fossil Residuals,2040,0.0,0.0,0.0024929815528848876,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0003093705917700532,0.0003672783288382065,0.00026530627453328183,0.0,0.0,0.0015998477592268927,0.0,6.705219367597343e-06,0.002008270900604765
Overall Demand,2040,0.0096395066770873,0.0091550573903723,0.0041552185868605,0.0760367228765773,0.0034370708051174,0.0876986805826305,0.0388667316340581,0.0007351185544316,0.0544734261386024
Power,2050,0.006513717543693257,0.005273604065150333,0.0011482107664911299,0.0438280276329261,0.0038239767064257,0.0,0.01587220613689606,0.000688926238303515,0.01750007897076829
Hydrogen,2050,0.0035825446490312923,0.002658828564192662,0.0013395792275729848,0.007734357817575194,0.0,4.2867919273785314e-09,0.00680237405866974,0.0,0.025285865108834262
Methanol,2050,0.0,4.4053063234974026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0749949243163783,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0013027435087386516,0.001329414282096331,0.0013395792275729848,0.0,0.0,0.00833276936848648,0.0,3.6259275700185e-05,0.010836799332357542
Overall Demand,2050,0.0113990057014632,0.0093058999746743,0.0038273692216371,0.0515623854505013,0.0038239767064257,0.0833276979716567,0.0226745801955658,0.0007251855140037,0.0536227434119601
