FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.003347484038416737,0.01083623726744985,0.0038372947234971222,0.01645711450450431,0.0054385057909002,0.0,0.006753682897037712,0.0022912613703411004,0.0
Hydrogen,2030,0.0005636930456788063,0.0,0.0,0.0007755803143845004,0.0,1.5099343443555976e-09,0.00045049223642820084,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.01071868213731395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0013219237510494078,0.00029468190533960014,0.0,0.0,6.918841025270796e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.002988162941951502,0.0,0.0,0.00031557901936530056,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.014803441661572308,0.0001343076135147,0.0037493819089095956,0.015083355914879424,0.0002528386855318,0.0051948817831295
Fossil Liquids,2030,0.0,0.0,0.0,0.1394516376886296,0.0009458891369323001,0.03419953669536886,0.09419884985513946,0.0015304330954511002,0.0476846660239801
Fossil Residuals,2030,0.005073237411109857,0.0,0.024660534020233542,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.003278749924607419,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.001418135584532008,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0089844144952054,0.0215549194047638,0.0345166380039195,0.1747706190163818,0.0065187025413472,0.0379489201142128,0.1168711483331028,0.004074533151324,0.0528795478071096
Power,2040,0.002514544070931082,0.008693577080899151,0.006299679340207218,0.024927546139962772,0.006558491042090222,0.0,0.015086673422838441,0.002484745587897071,0.0036517398302315686
Hydrogen,2040,0.0008275459613469983,0.0009463968005970261,0.0015776969426343351,0.0007247157111479835,0.0,1.465834946438364e-09,0.0015954150711269255,0.0,0.0005761261170361099
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.008599266245886207,0.000315539388526867,0.0,0.0,0.0,0.0,0.0,0.004609008936288879
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0010831864431758904,0.00013729278451962893,0.0,0.0,3.6094038070837915e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0013921900308948392,0.0,0.0,0.00016463047926271784,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0060485954884118166,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.006896947825313332,0.0001283309556195571,0.0029758703898714284,0.00786864766279766,0.00019912797479619575,0.0041443627737680015
Fossil Liquids,2040,0.0,0.0,0.0,0.06497074743028525,0.0009037972880025476,0.02714404429093422,0.04914142210353034,0.0012053220503708134,0.038041780929669436
Fossil Residuals,2040,0.0030744197191312946,0.0,0.020206881154067737,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0026866129503153083,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00024297188516622518,0.0006309312003980175,0.0024241801280501427,0.0005450573499928986,2.779586749797343e-05,0.0006720661653790908,0.0006802016998832739,3.580097795272014e-05,0.0005761261170361099
Overall Demand,2040,0.0066594816365756,0.0188701713277804,0.0345937763469775,0.0995944972721167,0.0076184151532103,0.0368405778004315,0.0745730844775102,0.0039249965910168,0.0515991447040301
Power,2050,0.00228384116224724,0.005956738965066456,0.0173130762367659,0.06072332212480865,0.008306488537138484,0.0,0.03679348448723047,0.003678363334053365,0.019455670863360287
Hydrogen,2050,0.00228384116224724,0.0035546571694098908,0.00865653811838295,0.00127838572894334,0.0,1.40008214437568e-09,0.004328645233791821,0.0,0.0030694739028353916
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.005892118266299792,0.00173130762367659,0.0,0.0,0.0,0.0,0.0,0.024555791222683133
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.031669221303546984,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00114192058112362,0.0023697714462732607,0.00692523049470636,0.0019175785934150101,0.000169520174227316,0.003518802367060776,0.0021643226168959104,0.00019359807021333502,0.0030694739028353916
Overall Demand,2050,0.0057096029056181,0.0177732858470494,0.0346261524735318,0.063919286447167,0.0084760087113658,0.0351880250706899,0.0432864523379182,0.0038719614042667,0.0501504098917142
