FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.003347484038416737,0.01083623726744985,0.0038372947234971222,0.01645711450450431,0.0054385057909002,0.0,0.006753682897037712,0.0022912613703411004,0.0
Hydrogen,2030,0.0005636930456788063,0.0,0.0,0.0007755803143845004,0.0,1.5099343443555976e-09,0.00045049223642820084,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.01071868213731395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0013219237510494078,0.00029468190533960014,0.0,0.0,6.918841025270796e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.002988162941951502,0.0,0.0,0.00031557901936530056,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.014803441661572308,0.0001343076135147,0.0037493819089095956,0.015083355914879424,0.0002528386855318,0.0051948817831295
Fossil Liquids,2030,0.0,0.0,0.0,0.1394516376886296,0.0009458891369323001,0.03419953669536886,0.09419884985513946,0.0015304330954511002,0.0476846660239801
Fossil Residuals,2030,0.005073237411109857,0.0,0.024660534020233542,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.003278749924607419,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.001418135584532008,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0089844144952054,0.0215549194047638,0.0345166380039195,0.1747706190163818,0.0065187025413472,0.0379489201142128,0.1168711483331028,0.004074533151324,0.0528795478071096
Power,2040,0.002514544070931082,0.008480905409655555,0.006615218728734085,0.024907382355681885,0.006558491042090222,0.0,0.013716624787027351,0.002484745587897071,0.0036517398302315686
Hydrogen,2040,0.0008275459613469983,0.000769370849994033,0.0015776969426343351,0.0004416134129468413,0.0,1.465834946438364e-09,0.0002872478766882981,0.0,0.0
Methanol,2040,0.0,0.0006154966799952265,0.0,0.0009076940924323786,0.0,0.0,0.002718894930994229,0.0,0.004032882819252769
Ammonia,2040,0.0,0.008388901708140358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0010831864431758904,0.00013718172897991265,0.0,0.0,3.606867535274998e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0013910638943989584,0.0,0.0,0.00016451479599042713,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0060485954884118166,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.006891368914041227,0.0001283309556195571,0.0029758703898714284,0.007863118486704557,0.00019912797479619575,0.0041443627737680015
Fossil Liquids,2040,0.0,0.0,0.0,0.06491819287363548,0.0009037972880025476,0.02714404429093422,0.04910689119200402,0.0012053220503708134,0.038041780929669436
Fossil Residuals,2040,0.0030744197191312946,0.0,0.020206881154067737,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0026866129503153083,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00024297188516622518,0.0006154966799952265,0.0024241801280501427,0.0,2.779586749797343e-05,0.0006720661653790908,0.0006797237327485573,3.580097795272014e-05,0.0017283783511083295
Overall Demand,2040,0.0066594816365756,0.0188701713277804,0.0345937763469775,0.0995944972721167,0.0076184151532103,0.0368405778004315,0.0745730844775102,0.0039249965910168,0.0515991447040301
Power,2050,0.00228384116224724,0.005415217240969504,0.01904438386044249,0.06045504053600995,0.008306488537138484,0.0,0.032340180597375145,0.003678363334053365,0.019455670863360287
Hydrogen,2050,0.00228384116224724,0.0026929220980377953,0.00865653811838295,0.00028240167241967874,0.0,1.40008214437568e-09,0.0001662115414180098,0.0,0.0
Methanol,2050,0.0,0.002154337678430236,0.0,0.0031818442387373663,0.0,0.0,0.008624048159300039,0.0,0.021486317319847736
Ammonia,2050,0.0,0.005356471151181627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.031669221303546984,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00114192058112362,0.002154337678430236,0.00692523049470636,0.0,0.000169520174227316,0.003518802367060776,0.0021560120398250097,0.00019359807021333502,0.009208421708506173
Overall Demand,2050,0.0057096029056181,0.0177732858470494,0.0346261524735318,0.063919286447167,0.0084760087113658,0.0351880250706899,0.0432864523379182,0.0038719614042667,0.0501504098917142
